model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
gpt4o,length_bias,6.522,10.87,66.667,1.77,0.046,*,True
gpt4o,negation,17.273,17.273,0.0,0.0,1.0,ns,False
gpt4o,punctuation,10.0,12.0,20.0,1.0,0.157,ns,False
gpt4o,sentiment,7.317,8.943,22.222,0.703,0.157,ns,False
gpt4o,temporal_bias,9.89,12.088,22.222,1.094,0.157,ns,False
gpt4o,typo_bias,10.0,11.0,10.0,0.5,0.317,ns,False
llama,active_to_passive,7.407,7.407,0.0,0.0,1.0,ns,False
llama,capitalization,5.0,5.0,0.0,0.0,1.0,ns,False
llama,compound_word,8.14,9.302,14.286,0.529,0.317,ns,False
llama,concept_replacement,5.882,4.706,-20.0,-0.453,0.317,ns,False
llama,coordinating_conjunction,19.672,0.0,-100.0,-12.726,0.0,***,True
llama,derivation,5.797,5.797,0.0,0.0,1.0,ns,False
llama,dialectal,8.081,8.081,0.0,0.0,1.0,ns,False
llama,discourse,6.944,8.333,20.0,0.584,0.317,ns,False
llama,geographical_bias,29.412,0.0,-100.0,-21.596,0.0,***,True
llama,grammatical_role,15.663,3.614,-76.923,-7.198,0.002,**,True
llama,length_bias,4.348,4.348,0.0,0.0,1.0,ns,False
llama,negation,13.636,13.636,0.0,0.0,1.0,ns,False
llama,punctuation,8.0,8.0,0.0,0.0,1.0,ns,False
llama,sentiment,6.504,7.317,12.5,0.331,0.317,ns,False
llama,singlish,0.0,37.5,0.0,0.0,0.0,***,True
llama,temporal_bias,7.692,7.692,0.0,0.0,1.0,ns,False
llama,typo_bias,9.0,9.0,0.0,0.0,1.0,ns,False
