model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
gpt4o,discourse,74.0,73.0,-1.351,-0.935,0.819,ns,False
gpt4o,geographical_bias,77.0,73.0,-5.195,-3.773,0.206,ns,False
gpt4o,grammatical_role,88.889,83.333,-6.25,-5.413,0.317,ns,False
gpt4o,length_bias,79.798,84.848,6.329,4.803,0.197,ns,False
gpt4o,negation,81.633,70.408,-13.75,-10.73,0.016,*,True
gpt4o,punctuation,83.838,82.828,-1.205,-0.971,0.317,ns,False
gpt4o,sentiment,80.0,80.0,0.0,0.0,1.0,ns,False
gpt4o,singlish,71.569,68.627,-4.11,-2.728,0.549,ns,False
gpt4o,temporal_bias,81.0,79.0,-2.469,-1.908,0.48,ns,False
gpt4o,typo_bias,81.633,78.571,-3.75,-2.926,0.18,ns,False
llama,active_to_passive,82.105,81.053,-1.282,-1.008,0.853,ns,False
llama,capitalization,77.778,82.828,6.494,4.775,0.025,*,True
llama,casual,80.0,76.0,-5.0,-3.806,0.285,ns,False
llama,compound_word,87.5,87.5,0.0,0.0,1.0,ns,False
llama,concept_replacement,76.0,75.0,-1.316,-0.94,0.739,ns,False
llama,coordinating_conjunction,80.412,79.381,-1.282,-0.982,0.705,ns,False
llama,derivation,86.735,85.714,-1.176,-0.989,0.317,ns,False
llama,dialectal,87.0,81.0,-6.897,-5.819,0.109,ns,False
llama,discourse,79.0,76.0,-3.797,-2.846,0.257,ns,False
llama,geographical_bias,78.0,77.0,-1.282,-0.946,0.655,ns,False
llama,grammatical_role,83.333,83.333,0.0,0.0,1.0,ns,False
llama,length_bias,83.838,86.869,3.614,2.914,0.467,ns,False
llama,negation,79.592,71.429,-10.256,-7.759,0.088,.,False
llama,punctuation,77.778,76.768,-1.299,-0.955,0.317,ns,False
llama,sentiment,83.0,84.0,1.205,0.96,0.739,ns,False
llama,singlish,78.431,67.647,-13.75,-10.215,0.008,**,True
llama,temporal_bias,79.0,78.0,-1.266,-0.949,0.705,ns,False
llama,typo_bias,79.592,77.551,-2.564,-1.94,0.317,ns,False
