task,model,modification,rows,effective_rows,metric,metric2
gsm,gpt-5-standard,temporal_bias_100,100,100,0.98,
gsm,gpt-5-standard,typo_bias_100,100,100,0.98,
gsm,gpt-5-standard-context-aware,active_to_passive_100,100,100,0.9,0.9
gsm,gpt-5-standard-context-aware,capitalization_100,100,100,0.92,0.92
gsm,gpt-5-standard-context-aware,casual_100,100,100,0.92,0.92
gsm,gpt-5-standard-context-aware,concept_replacement_100,100,100,0.97,0.97
gsm,gpt-5-standard-context-aware,coordinating_conjunction_100,100,100,0.94,0.94
gsm,gpt-5-standard-context-aware,dialectal_100,100,100,0.89,0.89
gsm,gpt-5-standard-context-aware,geographical_bias_100,100,100,0.96,0.96
gsm,gpt-5-standard-context-aware,length_bias_100,100,100,0.94,0.94
gsm,gpt-5-standard-context-aware,negation_100,100,100,0.49,0.49
gsm,gpt-5-standard-context-aware,negation_change_100,100,100,0.42,0.42
gsm,gpt-5-standard-context-aware,punctuation_100,100,100,0.92,0.92
gsm,gpt-5-standard-context-aware,sentiment_100,100,100,0.93,0.93
gsm,gpt-5-standard-context-aware,temporal_bias_100,100,100,0.93,0.93
gsm,gpt-5-standard-context-aware,typo_bias_100,100,100,0.95,0.95
gsm,gpt4o,active_to_passive_100,100,100,0.88,
gsm,gpt4o,active_to_passive_100_backup,100,100,0.76,0.76
gsm,gpt4o,capitalization_100,100,100,0.92,
gsm,gpt4o,capitalization_100_backup,100,100,0.95,0.95
gsm,gpt4o,casual_100,100,100,0.88,
gsm,gpt4o,casual_100_backup,100,100,0.94,0.94
gsm,gpt4o,concept_replacement_100,100,100,0.94,
gsm,gpt4o,concept_replacement_100_backup,100,100,0.96,0.96
gsm,gpt4o,coordinating_conjunction_100,100,100,0.92,
gsm,gpt4o,coordinating_conjunction_100_backup,100,100,0.98,0.98
gsm,gpt4o,dialectal_100,100,100,0.89,
gsm,gpt4o,dialectal_100_backup,100,100,0.97,0.97
gsm,gpt4o,geographical_bias_100,100,100,0.91,
gsm,gpt4o,geographical_bias_100_backup,100,100,0.96,0.96
gsm,gpt4o,length_bias_100,100,100,0.93,
gsm,gpt4o,length_bias_100_backup,100,100,0.95,0.95
gsm,gpt4o,negation_100,100,100,0.44,0.91
gsm,gpt4o,negation_100_backup,100,100,0.44,0.88
gsm,gpt4o,negation_change_100,100,100,0.43,0.89
gsm,gpt4o,negation_change_100_backup,100,100,0.43,0.89
gsm,gpt4o,punctuation_100,100,100,0.89,
gsm,gpt4o,punctuation_100_backup,100,100,0.95,0.95
gsm,gpt4o,sentiment_100,100,100,0.91,
gsm,gpt4o,sentiment_100_backup,100,100,0.98,0.98
gsm,gpt4o,temporal_bias_100,100,100,0.9,
gsm,gpt4o,temporal_bias_100_backup,100,100,0.96,0.96
gsm,gpt4o,typo_bias_100,100,100,0.92,
gsm,gpt4o,typo_bias_100_backup,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.89,0.89
gsm,unknown,unknown,100,100,0.57,0.57
gsm,unknown,unknown,100,100,0.91,0.91
gsm,unknown,unknown,100,100,0.55,0.55
gsm,unknown,unknown,100,100,0.88,0.88
gsm,unknown,unknown,100,100,0.61,0.61
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.61,0.61
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.64,0.64
gsm,unknown,unknown,100,100,0.91,0.91
gsm,unknown,unknown,100,100,0.5,0.5
gsm,unknown,unknown,100,100,0.91,0.91
gsm,unknown,unknown,100,100,0.54,0.54
gsm,unknown,unknown,100,100,0.96,0.96
gsm,unknown,unknown,100,100,0.54,0.54
gsm,unknown,unknown,100,100,0.47,0.85
gsm,unknown,unknown,100,100,0.41,0.79
gsm,unknown,unknown,100,100,0.49,0.91
gsm,unknown,unknown,100,100,0.45,0.91
gsm,unknown,unknown,100,100,0.91,0.91
gsm,unknown,unknown,100,100,0.61,0.61
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.64,0.64
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.54,0.54
gsm,unknown,unknown,100,100,0.93,0.93
gsm,unknown,unknown,100,100,0.56,0.56
gsm,unknown,unknown,200,200,,
gsm,unknown,unknown,200,200,,
gsm,unknown,unknown,200,200,,
gsm,unknown,unknown,200,200,,
gsm,unknown,unknown,100,100,,
gsm,unknown,unknown,8,8,,
gsm,unknown,unknown,146,146,,
