task,model,modification,rows,effective_rows,metric,metric2
dialogue,gpt-5-standard-context-aware,temporal_bias_100,100,100,0.94,
dialogue,gpt-5-standard-context-aware,typo_bias_100,100,100,0.96,
dialogue,gpt4o,active_to_passive_100,100,100,0.0,
dialogue,gpt4o,capitalization_100,96,96,0.9166666666666666,
dialogue,gpt4o,casual_100,100,100,0.94,
dialogue,gpt4o,compound_word_100,100,100,0.94,
dialogue,gpt4o,concept_replacement_100,100,100,0.89,
dialogue,gpt4o,coordinating_conjunction_100,100,100,0.93,
dialogue,gpt4o,derivation_100,93,93,0.9247311827956989,
dialogue,gpt4o,dialectal_100,106,106,0.8018867924528302,
dialogue,gpt4o,dialogue,4216,4216,,
dialogue,gpt4o,dialogue_capitalization,100,100,0.91,
dialogue,gpt4o,dialogue_punctuation,100,100,0.9,
dialogue,gpt4o,dialogue_typo_bias,100,100,0.94,
dialogue,gpt4o,discourse_100,87,87,0.896551724137931,
dialogue,gpt4o,geographical_bias_100,92,92,0.8804347826086957,
dialogue,gpt4o,grammatical_role_100,68,68,0.7941176470588235,
dialogue,gpt4o,length_bias_100,100,100,0.92,
dialogue,gpt4o,negation_100,100,100,0.0,
dialogue,gpt4o,punctuation_100,100,100,0.91,
dialogue,gpt4o,sentiment_100,100,100,0.92,
dialogue,gpt4o,temporal_bias_100,100,100,0.92,
dialogue,gpt4o,typo_bias_100,100,100,0.92,
dialogue,unknown,unknown,18,18,,
dialogue,llama,active_to_passive_100,100,100,0.95,
dialogue,llama,capitalization_100,96,96,0.9583333333333334,
dialogue,llama,casual_100,100,100,0.95,
dialogue,llama,compound_word_100,100,100,0.91,
dialogue,llama,concept_replacement_100,100,100,0.95,
dialogue,llama,coordinating_conjunction_100,100,100,0.97,
dialogue,llama,derivation_100,93,93,0.956989247311828,
dialogue,llama,dialectal_100,106,106,0.8113207547169812,
dialogue,llama,dialogue,4216,4216,,
dialogue,llama,discourse_100,87,87,0.9195402298850575,
dialogue,llama,geographical_bias_100,92,92,0.8586956521739131,
dialogue,llama,grammatical_role_100,68,68,0.8676470588235294,
dialogue,llama,length_bias_100,100,100,0.91,
dialogue,llama,negation_100,100,100,0.64,
dialogue,llama,punctuation_100,100,100,0.9,
dialogue,llama,sentiment_100,100,100,0.92,
dialogue,llama,temporal_bias_100,100,100,0.91,
dialogue,llama,typo_bias_100,100,100,0.93,
dialogue,unknown,unknown,18,18,,
dialogue,unknown,unknown,115,115,,
