task,model,modification,rows,effective_rows,metric,metric2
ner,gpt-5-standard-context-aware,concept_replacement_100,85,85,0.6447074859012576,
ner,gpt-5-standard-context-aware,coordinating_conjunction_100,61,61,0.7219690359998941,
ner,gpt-5-standard-context-aware,derivation_100,69,69,0.6037853876728556,
ner,gpt-5-standard-context-aware,dialectal_100,96,96,0.6386372325251002,
ner,gpt-5-standard-context-aware,discourse_100,72,72,0.6505170391199804,
ner,gpt-5-standard-context-aware,geographical_bias_100,102,102,0.7207884163766517,
ner,gpt-5-standard-context-aware,grammatical_role_100,83,83,0.678384636074218,
ner,gpt-5-standard-context-aware,length_bias_100,92,92,0.6004221588300872,
ner,gpt-5-standard-context-aware,negation_100,110,110,0.6150992763686263,
ner,gpt-5-standard-context-aware,punctuation_100,100,100,0.593039359333477,
ner,gpt-5-standard-context-aware,sentiment_100,123,123,0.62972478338332,
ner,gpt-5-standard-context-aware,temporal_bias_100,91,91,0.6203190905194784,
ner,gpt-5-standard-context-aware,typo_bias_100,100,100,0.5755613667378373,
ner,gpt4o,active_to_passive_100,81,81,0.6107495748018623,
ner,gpt4o,capitalization_100,100,100,0.5878925812749342,
ner,gpt4o,casual_100,98,98,0.6314986617357565,
ner,gpt4o,compound_word_100,86,86,0.5689151629644106,
ner,gpt4o,concept_replacement_100,85,85,0.6075520596281843,
ner,gpt4o,coordinating_conjunction_100,61,61,0.7175729552778733,
ner,gpt4o,derivation_100,69,69,0.5893574645492804,
ner,gpt4o,dialectal_100,96,96,0.5569588125654302,
ner,gpt4o,discourse_100,72,72,0.5868100649350649,
ner,gpt4o,geographical_bias_100,102,102,0.7315621197974139,
ner,gpt4o,grammatical_role_100,83,83,0.6533101790720501,
ner,gpt4o,length_bias_100,92,92,0.585865466587973,
ner,gpt4o,negation_100,110,110,0.5416916209162198,
ner,gpt4o,ner,251,251,0.5753465253952469,
ner,gpt4o,punctuation_100,100,100,0.5128920816026079,
ner,gpt4o,sentiment_100,123,123,0.6036514975539367,
ner,gpt4o,temporal_bias_100,91,91,0.5760645050561017,
ner,gpt4o,typo_bias_100,100,100,0.5471736058059588,
ner,llama,active_to_passive_100,81,81,0.6229438277368561,
ner,llama,capitalization_100,100,100,0.5876162464985994,
ner,llama,casual_100,98,98,0.6230148836091213,
ner,llama,compound_word_100,86,86,0.6208808329533363,
ner,llama,concept_replacement_100,85,85,0.5954929422749492,
ner,llama,coordinating_conjunction_100,61,61,0.7655844155844156,
ner,llama,derivation_100,69,69,0.6371908710783392,
ner,llama,dialectal_100,96,96,0.6149862596553773,
ner,llama,discourse_100,72,72,0.619328202661536,
ner,llama,geographical_bias_100,102,102,0.7419315892226109,
ner,llama,grammatical_role_100,83,83,0.6844017782359384,
ner,llama,length_bias_100,92,92,0.5968634164925725,
ner,llama,negation_100,110,110,0.5761300612637511,
ner,llama,ner,251,251,0.6147738078134141,
ner,llama,punctuation_100,100,100,0.5340021645021644,
ner,llama,sentiment_100,123,123,0.6297422541324981,
ner,llama,temporal_bias_100,91,91,0.615341894333491,
ner,llama,typo_bias_100,100,100,0.5962302436125966,
ner,unknown,unknown,108,108,0.0,
