model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
claude-3-5-sonnet,temporal_bias,85.000,86.000,1.176,0.965,0.317,ns,False
gpt-5-standard,negation,84.694,76.531,-9.639,-7.869,0.088,.,False
gpt-5-standard-context-aware,capitalization,94.949,93.939,-1.064,-0.999,0.317,ns,False
gpt-5-standard-context-aware,typo_bias,85.714,86.735,1.190,0.986,0.564,ns,False
gpt-5-standard,capitalization,92.929,92.929,0.000,0.000,1.000,ns,False
gpt-5-standard,compound_word,93.750,92.708,-1.111,-1.027,0.564,ns,False
gpt-5-standard-context-aware,negation,83.673,77.551,-7.317,-5.885,0.180,ns,False
gpt-5-standard,active_to_passive,91.579,88.421,-3.448,-3.098,0.317,ns,False
claude-3-5-sonnet,typo_bias,81.633,83.673,2.500,1.951,0.157,ns,False
gpt4o,sentiment,80.000,80.000,0.000,0.000,1.000,ns,False
deepseek-r1-deepseek,concept_replacement,80.000,74.000,-7.500,-5.709,0.058,.,False
claude-3-5-sonnet,dialectal,76.471,70.588,-7.692,-5.540,0.083,.,False
gpt4o,punctuation,83.838,82.828,-1.205,-0.971,0.317,ns,False
gpt-5-standard,grammatical_role,93.056,81.944,-11.940,-10.937,0.021,*,True
gpt4o,length_bias,79.798,84.848,6.329,4.803,0.197,ns,False
gpt-5-standard,casual,92.000,84.000,-8.696,-7.855,0.033,*,True
gpt4o,dialectal,71.569,68.627,-4.110,-2.728,0.549,ns,False
llama,casual,80.000,76.000,-5.000,-3.806,0.285,ns,False
gpt-5-standard,concept_replacement,85.000,79.000,-7.059,-5.788,0.058,.,False
deepseek-r1-deepseek,discourse,84.000,80.000,-4.762,-3.849,0.206,ns,False
gpt4o,typo_bias,81.633,78.571,-3.750,-2.926,0.180,ns,False
claude-3-5-sonnet,sentiment,82.000,81.000,-1.220,-0.957,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,83.505,85.567,2.469,1.981,0.317,ns,False
llama,derivation,86.735,85.714,-1.176,-0.989,0.317,ns,False
gpt-5-standard,temporal_bias,91.000,90.000,-1.099,-0.980,0.564,ns,False
deepseek-r1-deepseek,geographical_bias,81.000,79.000,-2.469,-1.908,0.527,ns,False
claude-3-5-sonnet,compound_word,89.583,87.500,-2.326,-2.034,0.414,ns,False
gpt-5-standard-context-aware,concept_replacement,87.000,82.000,-5.747,-4.849,0.166,ns,False
gpt-5-standard-context-aware,sentiment,88.000,88.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,casual,84.000,80.000,-4.762,-3.849,0.285,ns,False
deepseek-r1-deepseek,grammatical_role,87.500,86.111,-1.587,-1.349,0.796,ns,False
gpt4o,negation,81.633,70.408,-13.750,-10.730,0.016,*,True
gpt4o,concept_replacement,74.000,73.000,-1.351,-0.935,0.763,ns,False
gpt4o,compound_word,86.458,83.333,-3.614,-3.026,0.180,ns,False
llama,sentiment,83.000,84.000,1.205,0.960,0.739,ns,False
gpt-5-standard,typo_bias,85.714,82.653,-3.571,-2.959,0.257,ns,False
claude-3-5-sonnet,derivation,84.694,85.714,1.205,0.984,0.317,ns,False
gpt-5-standard,geographical_bias,87.000,83.000,-4.598,-3.879,0.102,ns,False
gpt-5-standard,dialectal,76.471,75.490,-1.282,-0.923,0.564,ns,False
