model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
gpt-5-standard-context-aware,capitalization,95.833,95.833,0.0,0.0,1.0,ns,False
gpt-5-standard-context-aware,casual,94.0,89.0,-5.319,-4.933,0.059,.,False
gpt-5-standard-context-aware,compound_word,94.0,90.0,-4.255,-3.946,0.102,ns,False
gpt-5-standard-context-aware,concept_replacement,93.0,94.0,1.075,0.984,0.655,ns,False
gpt-5-standard-context-aware,coordinating_conjunction,91.0,92.0,1.099,0.98,0.655,ns,False
gpt-5-standard-context-aware,derivation,95.699,91.398,-4.494,-4.26,0.157,ns,False
gpt-5-standard-context-aware,dialectal,79.245,81.132,2.381,1.791,0.317,ns,False
gpt-5-standard-context-aware,discourse,93.103,95.402,2.469,2.263,0.157,ns,False
gpt-5-standard-context-aware,geographical_bias,91.304,76.087,-16.667,-14.917,0.0,**,True
gpt-5-standard-context-aware,grammatical_role,95.588,80.882,-15.385,-14.562,0.004,**,True
gpt-5-standard-context-aware,length_bias,96.0,95.0,-1.042,-0.991,0.655,ns,False
gpt-5-standard-context-aware,negation,94.0,72.0,-23.404,-21.704,0.0,**,True
gpt-5-standard-context-aware,punctuation,95.0,96.0,1.053,0.989,0.564,ns,False
gpt-5-standard-context-aware,sentiment,96.0,90.0,-6.25,-5.947,0.058,.,False
gpt-5-standard-context-aware,temporal_bias,95.0,94.0,-1.053,-0.989,0.564,ns,False
gpt-5-standard-context-aware,typo_bias,92.0,96.0,4.348,3.928,0.046,*,True
gpt2,active_to_passive,84.0,87.0,3.571,2.886,0.366,ns,No
gpt2,capitalization,90.625,86.458,-4.598,-4.078,0.102,ns,No
gpt2,casual,93.0,85.0,-8.602,-7.874,0.011,*,Yes
gpt2,compound_word,86.0,86.0,0.0,0.0,1.0,ns,No
gpt2,concept_replacement,90.0,85.0,-5.556,-4.886,0.025,*,Yes
gpt2,coordinating_conjunction,90.0,88.0,-2.222,-1.954,0.317,ns,No
gpt2,derivation,82.796,84.946,2.597,2.062,0.157,ns,No
gpt2,dialectal,80.189,77.358,-3.529,-2.694,0.467,ns,No
gpt2,discourse,91.954,89.655,-2.5,-2.257,0.48,ns,No
gpt2,geographical_bias,82.609,72.826,-11.842,-9.377,0.02,*,Yes
gpt2,grammatical_role,83.824,79.412,-5.263,-4.243,0.317,ns,No
gpt2,length_bias,85.0,83.0,-2.353,-1.929,0.414,ns,No
gpt2,negation,88.0,62.0,-29.545,-25.278,0.0,**,Yes
gpt2,punctuation,90.0,88.0,-2.222,-1.954,0.157,ns,No
gpt2,sentiment,87.0,85.0,-2.299,-1.94,0.564,ns,No
gpt2,temporal_bias,85.0,83.0,-2.353,-1.929,0.414,ns,No
gpt2,typo_bias,89.0,87.0,-2.247,-1.949,0.414,ns,No
gpt4o,active_to_passive,88.0,87.0,-1.136,-0.972,0.705,ns,False
gpt4o,capitalization,90.625,91.667,1.149,1.019,0.564,ns,False
gpt4o,casual,94.0,94.0,0.0,0.0,1.0,ns,False
gpt4o,compound_word,96.0,94.0,-2.083,-1.982,0.317,ns,False
gpt4o,concept_replacement,89.0,89.0,0.0,0.0,1.0,ns,False
gpt4o,coordinating_conjunction,95.0,93.0,-2.105,-1.978,0.414,ns,False
gpt4o,derivation,96.774,92.473,-4.444,-4.27,0.046,*,True
gpt4o,dialectal,89.0,88.0,-1.124,-0.975,0.739,ns,False
gpt4o,discourse,88.506,89.655,1.299,1.119,0.564,ns,False
gpt4o,geographical_bias,90.217,88.043,-2.41,-2.125,0.564,ns,False
gpt4o,grammatical_role,91.176,79.412,-12.903,-11.529,0.033,*,True
gpt4o,length_bias,92.0,92.0,0.0,0.0,1.0,ns,False
gpt4o,negation,89.0,70.0,-21.348,-18.519,0.001,**,True
gpt4o,punctuation,90.0,91.0,1.111,0.977,0.564,ns,False
gpt4o,sentiment,91.0,92.0,1.099,0.98,0.705,ns,False
gpt4o,temporal_bias,90.0,92.0,2.222,1.954,0.157,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,ns,False
llama,active_to_passive,94.0,95.0,1.064,0.987,0.564,ns,False
llama,capitalization,95.833,95.833,0.0,0.0,1.0,ns,False
llama,casual,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,compound_word,90.0,91.0,1.111,0.977,0.317,ns,False
llama,concept_replacement,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,coordinating_conjunction,99.0,97.0,-2.02,-1.996,0.157,ns,False
llama,derivation,96.774,95.699,-1.111,-1.068,0.317,ns,False
llama,dialectal,94.0,93.0,-1.064,-0.987,0.564,ns,False
llama,discourse,95.402,91.954,-3.614,-3.413,0.083,.,False
llama,geographical_bias,91.304,85.87,-5.952,-5.327,0.132,ns,False
llama,grammatical_role,95.588,86.765,-9.231,-8.737,0.034,*,True
llama,length_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,negation,94.0,64.0,-31.915,-29.597,0.0,**,True
llama,punctuation,91.0,90.0,-1.099,-0.98,0.317,ns,False
llama,sentiment,96.0,92.0,-4.167,-3.965,0.046,*,True
llama,temporal_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,typo_bias,95.0,93.0,-2.105,-1.978,0.157,ns,False
t5-base,active_to_passive,85.0,82.0,-3.529,-2.894,0.257,ns,No
t5-base,capitalization,79.167,79.167,0.0,0.0,1.0,ns,No
t5-base,casual,82.0,88.0,7.317,5.741,0.083,.,No
t5-base,compound_word,81.0,82.0,1.235,0.954,0.564,ns,No
t5-base,concept_replacement,87.0,85.0,-2.299,-1.94,0.317,ns,No
t5-base,coordinating_conjunction,80.0,83.0,3.75,2.855,0.257,ns,No
t5-base,derivation,84.946,83.871,-1.266,-1.037,0.317,ns,No
t5-base,dialectal,83.962,81.132,-3.371,-2.723,0.366,ns,No
t5-base,discourse,94.253,93.103,-1.22,-1.135,0.564,ns,No
t5-base,geographical_bias,75.0,72.826,-2.899,-2.038,0.637,ns,No
t5-base,grammatical_role,91.176,83.824,-8.065,-7.205,0.025,*,Yes
t5-base,length_bias,84.0,81.0,-3.571,-2.886,0.18,ns,No
t5-base,negation,90.0,68.0,-24.444,-21.497,0.0,**,Yes
t5-base,punctuation,86.0,86.0,0.0,0.0,1.0,ns,No
t5-base,sentiment,84.0,81.0,-3.571,-2.886,0.366,ns,No
t5-base,temporal_bias,81.0,76.0,-6.173,-4.771,0.059,.,No
t5-base,typo_bias,84.0,82.0,-2.381,-1.924,0.317,ns,No
