model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
gpt4o,discourse,88.506,89.655,1.299,1.119,0.564,ns,False
claude-3-5-sonnet,active_to_passive,95.000,93.000,-2.105,-1.978,0.157,ns,False
gpt-5-standard-context-aware,coordinating_conjunction,91.000,92.000,1.099,0.980,0.655,ns,False
gpt-5-standard-context-aware,active_to_passive,93.000,88.000,-5.376,-4.921,0.096,.,False
gpt4o,casual,94.000,94.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,capitalization,96.875,96.875,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,derivation,95.699,91.398,-4.494,-4.260,0.157,ns,False
deepseek-r1-deepseek,capitalization,90.625,82.292,-9.195,-8.155,0.046,*,True
deepseek-r1-deepseek,negation,89.000,68.000,-23.596,-20.469,0.000,**,True
claude-3-5-sonnet,negation,94.000,70.000,-25.532,-23.678,0.000,**,True
gpt-5-standard,punctuation,97.000,96.000,-1.031,-0.993,0.655,ns,False
gpt-5-standard,length_bias,95.000,95.000,0.000,0.000,1.000,ns,False
deepseek-r1-deepseek,compound_word,92.000,86.000,-6.522,-5.891,0.134,ns,False
gpt-5-standard-context-aware,casual,94.000,89.000,-5.319,-4.933,0.059,.,False
gpt-5-standard,discourse,94.253,93.103,-1.220,-1.135,0.655,ns,False
llama,active_to_passive,94.000,95.000,1.064,0.987,0.564,ns,False
claude-3-5-sonnet,grammatical_role,95.588,94.118,-1.538,-1.456,0.655,ns,False
gpt-5-standard-context-aware,temporal_bias,95.000,94.000,-1.053,-0.989,0.564,ns,False
deepseek-r1-deepseek,coordinating_conjunction,93.000,83.000,-10.753,-9.842,0.025,*,True
llama,compound_word,90.000,91.000,1.111,0.977,0.317,ns,False
deepseek-r1-deepseek,length_bias,86.000,86.000,0.000,0.000,1.000,ns,False
gpt4o,active_to_passive,88.000,87.000,-1.136,-0.972,0.705,ns,False
deepseek-r1-deepseek,punctuation,92.000,91.000,-1.087,-0.982,0.796,ns,False
gpt4o,derivation,96.774,92.473,-4.444,-4.270,0.046,*,True
llama,dialectal,94.000,93.000,-1.064,-0.987,0.564,ns,False
gpt-5-standard,sentiment,96.000,88.000,-8.333,-7.929,0.011,*,True
deepseek-r1-deepseek,active_to_passive,90.000,89.000,-1.111,-0.977,0.796,ns,False
deepseek-r1-deepseek,casual,90.000,84.000,-6.667,-5.863,0.201,ns,False
llama,typo_bias,95.000,93.000,-2.105,-1.978,0.157,ns,False
gpt4o,temporal_bias,90.000,92.000,2.222,1.954,0.157,ns,False
gpt-5-standard-context-aware,grammatical_role,95.588,80.882,-15.385,-14.562,0.004,**,True
claude-3-5-sonnet,punctuation,97.000,96.000,-1.031,-0.993,0.564,ns,False
gpt-5-standard-context-aware,length_bias,96.000,95.000,-1.042,-0.991,0.655,ns,False
gpt-5-standard-context-aware,dialectal,79.245,81.132,2.381,1.791,0.317,ns,False
claude-3-5-sonnet,length_bias,92.000,96.000,4.348,3.928,0.102,ns,False
gpt-5-standard-context-aware,punctuation,95.000,96.000,1.053,0.989,0.564,ns,False
claude-3-5-sonnet,temporal_bias,91.000,94.000,3.297,2.939,0.180,ns,False
gpt-5-standard,negation,94.000,77.000,-18.085,-16.772,0.001,**,True
gpt-5-standard-context-aware,capitalization,95.833,95.833,0.000,0.000,1.000,ns,False
gpt-5-standard-context-aware,typo_bias,92.000,96.000,4.348,3.928,0.046,*,True
gpt-5-standard,capitalization,94.792,94.792,0.000,0.000,1.000,ns,False
gpt-5-standard,compound_word,95.000,89.000,-6.316,-5.933,0.034,*,True
gpt-5-standard-context-aware,negation,94.000,72.000,-23.404,-21.704,0.000,**,True
gpt-5-standard,active_to_passive,95.000,90.000,-5.263,-4.944,0.096,.,False
claude-3-5-sonnet,typo_bias,97.000,96.000,-1.031,-0.993,0.564,ns,False
gpt4o,sentiment,91.000,92.000,1.099,0.980,0.705,ns,False
deepseek-r1-deepseek,concept_replacement,88.000,85.000,-3.409,-2.917,0.491,ns,False
claude-3-5-sonnet,dialectal,94.000,90.000,-4.255,-3.946,0.248,ns,False
gpt4o,punctuation,90.000,91.000,1.111,0.977,0.564,ns,False
gpt-5-standard,grammatical_role,95.588,82.353,-13.846,-13.106,0.007,**,True
gpt4o,length_bias,92.000,92.000,0.000,0.000,1.000,ns,False
gpt-5-standard,casual,93.000,91.000,-2.151,-1.968,0.414,ns,False
gpt4o,dialectal,89.000,88.000,-1.124,-0.975,0.739,ns,False
llama,casual,97.000,95.000,-2.062,-1.987,0.157,ns,False
gpt-5-standard,concept_replacement,93.000,85.000,-8.602,-7.874,0.011,*,True
deepseek-r1-deepseek,discourse,87.356,86.207,-1.316,-1.116,0.808,ns,False
gpt4o,typo_bias,92.000,92.000,0.000,0.000,1.000,ns,False
claude-3-5-sonnet,sentiment,97.000,95.000,-2.062,-1.987,0.414,ns,False
claude-3-5-sonnet,coordinating_conjunction,96.000,95.000,-1.042,-0.991,0.317,ns,False
llama,derivation,96.774,95.699,-1.111,-1.068,0.317,ns,False
gpt-5-standard,temporal_bias,97.000,96.000,-1.031,-0.993,0.564,ns,False
deepseek-r1-deepseek,geographical_bias,85.870,75.000,-12.658,-10.510,0.050,*,True
claude-3-5-sonnet,compound_word,94.000,95.000,1.064,0.987,0.705,ns,False
gpt-5-standard-context-aware,concept_replacement,93.000,94.000,1.075,0.984,0.655,ns,False
gpt-5-standard-context-aware,sentiment,96.000,90.000,-6.250,-5.947,0.058,.,False
claude-3-5-sonnet,casual,98.000,98.000,0.000,0.000,1.000,ns,False
deepseek-r1-deepseek,grammatical_role,86.765,70.588,-18.644,-15.678,0.022,*,True
gpt4o,negation,89.000,70.000,-21.348,-18.519,0.001,**,True
gpt4o,concept_replacement,89.000,89.000,0.000,0.000,1.000,ns,False
gpt4o,compound_word,96.000,94.000,-2.083,-1.982,0.317,ns,False
llama,sentiment,96.000,92.000,-4.167,-3.965,0.046,*,True
gpt-5-standard,typo_bias,92.000,93.000,1.087,0.982,0.317,ns,False
claude-3-5-sonnet,derivation,94.624,97.849,3.409,3.187,0.180,ns,False
gpt-5-standard,geographical_bias,91.304,77.174,-15.476,-13.851,0.002,**,True
gpt-5-standard,dialectal,78.302,78.302,0.000,0.000,1.000,ns,False
