,text,modified_label,modified_pred,original_text,original_pred,original_label
10,"Early communities began to form at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor's Point"", 'value': 'LOCATION'}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]","Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor's Point"", 'value': 'LOCATION'}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]"
11,"Lawrence claims that she was given cash, whereas Stephens claims that his life was in danger.","[{'text': 'Stephens', 'value': 'PERSON'}]",[],"Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.",[],[{'Stephens': 'PERSON'}]
12,Gonu caused strong gusty winds and heavy rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan's Arabian Sea coast"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Gonu': 'EVENT'}, {'Pakistan': 'LOCATION'}, {'Arabian Sea': 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]",Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': 'Pakistan', 'value': 'LOCATION'}, {'text': ""Arabian Sea"", 'value': 'LOCATION'}, {'text': 'Karachi', 'value': 'LOCATION'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]"
13,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid breakdown, and photorespiration.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}]",[],"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.",[],"[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]"
14,He also appeared in and Raj Kanwar's action success ``Jeet``.,"[{'text': 'Raj Kanwar', 'value': 'PERSON'}, {'text': 'Jeet', 'value': 'ART'}]","[{'Raj Kanwar': 'PERSON'}, {'Jeet': 'ART'}]",He also appeared in and Raj Kanwar's action hit ``Jeet``.,"[{'text': 'Raj Kanwar', 'value': 'PERSON'}, {'text': 'Jeet', 'value': 'ART'}]","[{'Raj Kanwar': 'PERSON'}, {'Jeet': 'ART'}]"
15,almost more than 75 members of parliament join the alliance.,[],[],almost over 75 members of parliament join the alliance.,"[{'text': 'parliament', 'value': 'ORGANIZATION'}]",[]
16,"Construction was basic so that some of the gold could be removed and melted for coin or bullion in times of severe financial hardship, to be replaced later when finances had recovered.",[],[],"Construction was modular so that some of the gold could be removed and melted for coin or bullion in times of severe financial hardship, to be replaced later when finances had recovered.",[],[]
17,"Less commonly, cases of excess sexuality have been reported.",[],[],"Less commonly, cases of hypersexuality have been reported.",[],[]
18,"Kadavu Province is one of fourteen provinces of Fiji, and is part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'text': 'Kadavu Province', 'value': 'LOCATION'}, {'text': 'Fiji', 'value': 'LOCATION'}, {'text': 'Lau', 'value': 'LOCATION'}, {'text': 'Lomaiviti', 'value': 'LOCATION'}, {'text': 'Rotuma', 'value': 'LOCATION'}]","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Eastern Division': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]","Kadavu Province is one of fourteen provinces of Fiji, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'text': 'Kadavu Province', 'value': 'LOCATION'}, {'text': 'Fiji', 'value': 'LOCATION'}, {'text': 'Eastern Division', 'value': 'LOCATION'}, {'text': 'Lau', 'value': 'LOCATION'}, {'text': 'Lomaiviti', 'value': 'LOCATION'}, {'text': 'Rotuma', 'value': 'LOCATION'}]","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]"
19,"Mike Moreton led the team, joining TWR to run the XJ220 project.","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'XJ220', 'value': 'PRODUCT'}]","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]","Mike Moreton headed the team, joining TWR to run the XJ220 project.","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'XJ220', 'value': 'PRODUCT'}]","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]"
20,"Halfway through the season, they traded Stacey King to the Minnesota Timberwolves for Luc Longley.","[{'text': 'Stacey King', 'value': 'PERSON'}, {'text': 'Minnesota Timberwolves', 'value': 'ORGANIZATION'}, {'text': 'Luc Longley', 'value': 'PERSON'}]","[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]","Midway through the season, they traded Stacey King to the Minnesota Timberwolves for Luc Longley.","[{'text': 'Stacey King', 'value': 'PERSON'}, {'text': 'Minnesota Timberwolves', 'value': 'ORGANIZATION'}, {'text': 'Luc Longley', 'value': 'PERSON'}]","[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]"
21,"In some cases, black community groups fought the attacks, especially in Chicago and Washington, D.C.","[{'text': 'Chicago', 'value': 'LOCATION'}, {'text': 'Washington, D.C', 'value': 'LOCATION'}]","[{'Chicago': 'LOCATION'}, {'Washington, D.C.': 'LOCATION'}]","In some cases, black community groups resisted the attacks, especially in Chicago and Washington, D.C.","[{'text': 'Chicago', 'value': 'LOCATION'}, {'text': 'Washington, D.C.', 'value': 'LOCATION'}]","[{'Chicago': 'LOCATION'}, {'Washington, D.C': 'LOCATION'}]"
22,Liz Weir won the first International Story Bridge Award of the National Storytelling Network in 2002.,"[{'text': 'Liz Weir', 'value': 'PERSON'}, {'text': 'International Story Bridge Award', 'value': 'OTHER'}, {'text': 'National Storytelling Network', 'value': 'EVENT'}]","[{'Liz Weir': 'PERSON'}, {'International Story Bridge Award': 'EVENT'}, {'National Storytelling Network': 'ORGANIZATION'}, {'2002': 'OTHER'}]",Liz Weir won the inaugural International Story Bridge Award of the National Storytelling Network in 2002.,"[{'text': 'Liz Weir', 'value': 'PERSON'}, {'text': 'International Story Bridge Award', 'value': 'OTHER'}, {'text': 'National Storytelling Network', 'value': 'ORGANIZATION'}, {'text': '2002', 'value': 'EVENT'}]","[{'Liz Weir': 'PERSON'}, {'International Story Bridge Award': 'OTHER'}, {'National Storytelling Network': 'EVENT'}]"
23,The Papacy in central Italy maintained major cultural and political influence during the Catholic Reformation started by the conclusion of the Tridentine council (resumed by the terms of the treaty).,"[{'text': 'Papacy', 'value': 'EVENT'}, {'text': 'Catholic Reformation', 'value': 'ORGANIZATION'}, {'text': 'Tridentine council', 'value': 'ORGANIZATION'}]","[{'Papacy': 'ORGANIZATION'}, {'central Italy': 'LOCATION'}, {'Catholic Reformation': 'EVENT'}, {'Tridentine council': 'EVENT'}]",The Papacy in central Italy maintained major cultural and political influence during the Catholic Reformation initiated by the conclusion of the Tridentine council (resumed by the terms of the treaty).,"[{'text': 'Papacy', 'value': 'ORGANIZATION'}, {'text': 'central Italy', 'value': 'LOCATION'}, {'text': 'Catholic Reformation', 'value': 'EVENT'}, {'text': 'Tridentine council', 'value': 'EVENT'}]","[{'Papacy': 'EVENT'}, {'Catholic Reformation': 'ORGANIZATION'}, {'Tridentine council': 'ORGANIZATION'}]"
24,The festival is dedicated to world television and digital content and its creation and growth.,[],[{'world television and digital content': 'EVENT'}],The festival is dedicated to world television and digital content and its creation and development.,"[{'text': 'world television and digital content', 'value': 'EVENT'}]",[]
25,"At a festival, Siddhi saves Vin from being shot by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}, {'festival': 'EVENT'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{'text': 'Siddhi', 'value': 'PERSON'}, {'text': 'Vin', 'value': 'PERSON'}, {'text': 'Rudra', 'value': 'PERSON'}, {'text': 'festival', 'value': 'EVENT'}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]"
26,"Her brother ran without success for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'text': 'United States House of Representatives', 'value': 'ORGANIZATION'}, {'text': 'New York', 'value': 'LOCATION'}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'upstate New York': 'LOCATION'}, {'1992': 'EVENT'}, {'1994': 'EVENT'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'text': 'United States House of Representatives', 'value': 'ORGANIZATION'}, {'text': 'upstate New York', 'value': 'LOCATION'}, {'text': '1992', 'value': 'EVENT'}, {'text': '1994', 'value': 'EVENT'}]","[{'United States House of Representatives': 'ORGANIZATION'}, {'New York': 'LOCATION'}]"
27,"The album had remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'Like It or Not', 'value': 'ART'}, {'text': 'Tearing Me Up', 'value': 'ART'}, {'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'PERSON'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'PERSON'}]","[{'A-Trak': 'PERSON'}, {'RAC': 'ORGANIZATION'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'ORGANIZATION'}]","The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'A-Trak', 'value': 'PERSON'}, {'text': 'RAC', 'value': 'ORGANIZATION'}, {'text': 'Joris Voorn', 'value': 'PERSON'}, {'text': 'Tale of Us', 'value': 'ORGANIZATION'}]","[{'Like It or Not': 'ART'}, {'Tearing Me Up': 'ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]"
28,USP42 has also been shown to remove p53 and may be required for the ability of p53 to respond to stress.,"[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'USP42': 'OTHER'}, {'p53': 'OTHER'}]",USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'USP42': 'OTHER'}, {'p53': 'OTHER'}, {'p53': 'OTHER'}]"
29,It was made by Richard D.Zanuck and David Brown.,"[{'text': 'Richard D.Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D. Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{'text': 'Richard D. Zanuck', 'value': 'PERSON'}, {'text': 'David Brown', 'value': 'PERSON'}]","[{'Richard D.Zanuck': 'PERSON'}, {'David Brown': 'PERSON'}]"
30,Mediaite named her in a four-way tie among the ``Best TV Pundits`` of 2014 for bringing ``a thorough understanding to women's health and justice issues that goes beyond the usual talking points.'',"[{'text': 'Mediaite', 'value': 'PERSON'}, {'text': 'Best TV Pundits', 'value': 'OTHER'}]","[{'Mediaite': 'ORGANIZATION'}, {'2014': 'EVENT'}]",Mediaite named her in a four-way tie among the ``Best TV Pundits`` of 2014 for bringing ``a comprehensive understanding to women's health and justice issues that goes beyond the usual talking points.'',"[{'text': 'Mediaite', 'value': 'ORGANIZATION'}, {'text': '2014', 'value': 'EVENT'}]","[{'Mediaite': 'PERSON'}, {'Best TV Pundits': 'OTHER'}]"
31,Royal Malaysia Police Air Operations Force or ``Pasukan Gerakan Udara (PGU)'' is a unique aviation unit of Royal Malaysia Police.,"[{'text': 'Royal Malaysia Police Air Operations Force', 'value': 'ORGANIZATION'}, {'text': 'Pasukan Gerakan Udara', 'value': 'ORGANIZATION'}, {'text': 'PGU', 'value': 'ORGANIZATION'}, {'text': 'Royal Malaysia Police', 'value': 'ORGANIZATION'}]","[{'Royal Malaysia Police Air Operations Force': 'ORGANIZATION'}, {'Pasukan Gerakan Udara (PGU)': 'ORGANIZATION'}, {'Royal Malaysia Police': 'ORGANIZATION'}]",Royal Malaysia Police Air Operations Force or ``Pasukan Gerakan Udara (PGU)'' is a special aviation unit of Royal Malaysia Police.,"[{'text': 'Royal Malaysia Police Air Operations Force', 'value': 'ORGANIZATION'}, {'text': 'Pasukan Gerakan Udara (PGU)', 'value': 'ORGANIZATION'}, {'text': 'Royal Malaysia Police', 'value': 'ORGANIZATION'}]","[{'Royal Malaysia Police Air Operations Force': 'ORGANIZATION'}, {'Pasukan Gerakan Udara': 'ORGANIZATION'}, {'PGU': 'ORGANIZATION'}, {'Royal Malaysia Police': 'ORGANIZATION'}]"
32,"The situation began to clear after 1961 when South Africa left the Commonwealth of Nations and so, under the rules of the day, its cricket board had to leave the International Cricket Conference (ICC).","[{'text': 'South Africa', 'value': 'LOCATION'}, {'text': 'Commonwealth of Nations', 'value': 'ORGANIZATION'}, {'text': 'International Cricket Conference', 'value': 'ORGANIZATION'}, {'text': 'ICC', 'value': 'ORGANIZATION'}]","[{'South Africa': 'LOCATION'}, {'Commonwealth of Nations': 'ORGANIZATION'}, {'International Cricket Conference': 'ORGANIZATION'}, {'1961': 'EVENT'}]","The situation began to crystallise after 1961 when South Africa left the Commonwealth of Nations and so, under the rules of the day, its cricket board had to leave the International Cricket Conference (ICC).","[{'text': 'South Africa', 'value': 'LOCATION'}, {'text': 'Commonwealth of Nations', 'value': 'ORGANIZATION'}, {'text': 'International Cricket Conference', 'value': 'ORGANIZATION'}, {'text': '1961', 'value': 'EVENT'}]","[{'South Africa': 'LOCATION'}, {'Commonwealth of Nations': 'ORGANIZATION'}, {'International Cricket Conference': 'ORGANIZATION'}, {'ICC': 'ORGANIZATION'}]"
33,``Patrick Morris`` sent out her own distress call at 6:51 am and sank 35 minutes later.,"[{'text': 'Patrick Morris', 'value': 'PRODUCT'}]",[{'Patrick Morris': 'OTHER'}],``Patrick Morris`` sent out her own mayday call at 6:51 am and sank 35 minutes later.,"[{'text': 'Patrick Morris', 'value': 'OTHER'}]",[{'Patrick Morris': 'PRODUCT'}]
34,"For the 2019 Frieze Art Fair in London, Agostinelli arranged his fourth intervention by depositing a 1 tonne block of translucent ice pulled by a Tesla to the entrance of the fair on opening day.","[{'text': 'Frieze Art Fair', 'value': 'EVENT'}, {'text': 'London', 'value': 'LOCATION'}, {'text': 'Agostinelli', 'value': 'PERSON'}, {'text': 'Tesla', 'value': 'ORGANIZATION'}]","[{'2019 Frieze Art Fair': 'EVENT'}, {'London': 'LOCATION'}, {'Agostinelli': 'PERSON'}, {'Tesla': 'PRODUCT'}]","For the 2019 Frieze Art Fair in London, Agostinelli staged his fourth intervention by depositing a 1 tonne block of translucent ice pulled by a Tesla to the entrance of the fair on opening day.","[{'text': '2019 Frieze Art Fair', 'value': 'EVENT'}, {'text': 'London', 'value': 'LOCATION'}, {'text': 'Agostinelli', 'value': 'PERSON'}, {'text': 'Tesla', 'value': 'PRODUCT'}]","[{'Frieze Art Fair': 'EVENT'}, {'London': 'LOCATION'}, {'Agostinelli': 'PERSON'}, {'Tesla': 'ORGANIZATION'}]"
35,"From 1927 to 1944, he was listed with the All-Union Communist Party (Bolsheviks), later known as the Communist Party of the Soviet Union.","[{'text': 'All-Union Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Bolsheviks', 'value': 'ORGANIZATION'}, {'text': 'Communist Party of the Soviet Union', 'value': 'ORGANIZATION'}]","[{'All-Union Communist Party (Bolsheviks)': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]","From 1927 to 1944, he was on the books of the All-Union Communist Party (Bolsheviks), later known as the Communist Party of the Soviet Union.","[{'text': 'All-Union Communist Party (Bolsheviks)', 'value': 'ORGANIZATION'}, {'text': 'Communist Party of the Soviet Union', 'value': 'ORGANIZATION'}]","[{'All-Union Communist Party': 'ORGANIZATION'}, {'Bolsheviks': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]"
36,"The basis of the column is oriented northwest/southeast, while its capital is aligned north/south, possibly so that the statue could look towards the nearby Church of the Holy Apostles.","[{'text': 'Church of the Holy Apostles', 'value': 'BUILDING'}]",[{'Church of the Holy Apostles': 'BUILDING'}],"The basis of the column is orientated northwest/southeast, while its capital is aligned north/south, possibly so that the statue could look towards the nearby Church of the Holy Apostles.","[{'text': 'Church of the Holy Apostles', 'value': 'BUILDING'}]",[{'Church of the Holy Apostles': 'BUILDING'}]
37,"Sosa was not called to the World Cup 2010 team by then-manager Diego Maradona, but was reinstated by new coach Alejandro Sabella for the World Cup 2014 qualifiers, and has played in several games since 2011.","[{'text': 'Sosa', 'value': 'PERSON'}, {'text': 'World Cup', 'value': 'EVENT'}, {'text': 'Diego Maradona', 'value': 'PERSON'}, {'text': 'Alejandro Sabella', 'value': 'PERSON'}, {'text': 'World Cup', 'value': 'EVENT'}]","[{'World Cup 2010': 'EVENT'}, {'Diego Maradona': 'PERSON'}, {'Alejandro Sabella': 'PERSON'}, {'World Cup 2014': 'EVENT'}]","Sosa was not called to the World Cup 2010 team by then-manager Diego Maradona, but was reinstated by new coach Alejandro Sabella for the World Cup 2014 qualifiers, and has been featured in several games since 2011.","[{'text': 'World Cup 2010', 'value': 'EVENT'}, {'text': 'Diego Maradona', 'value': 'PERSON'}, {'text': 'Alejandro Sabella', 'value': 'PERSON'}, {'text': 'World Cup 2014', 'value': 'EVENT'}]","[{'Sosa': 'PERSON'}, {'World Cup': 'EVENT'}, {'Diego Maradona': 'PERSON'}, {'Alejandro Sabella': 'PERSON'}, {'World Cup': 'EVENT'}]"
38,Police investigations revealed the shotgun used to perform the murders was the same weapon used earlier in a failed attempt to blast open a bank door during a robbery at the State Bank in Oak Park seven months earlier.,"[{'text': 'State Bank', 'value': 'BUILDING'}, {'text': 'Oak Park', 'value': 'LOCATION'}]","[{'State Bank': 'ORGANIZATION'}, {'Oak Park': 'LOCATION'}]",Police investigations revealed the shotgun used to perform the murders was the same weapon used earlier in a bungled attempt to blast open a bank door during a robbery at the State Bank in Oak Park seven months earlier.,"[{'text': 'State Bank', 'value': 'ORGANIZATION'}, {'text': 'Oak Park', 'value': 'LOCATION'}]","[{'State Bank': 'BUILDING'}, {'Oak Park': 'LOCATION'}]"
39,"In July 1944, the 503rd landed again, onto Noemfoor Island, off Dutch New Guinea, in the Battle of Noemfoor.","[{'text': 'Noemfoor Island', 'value': 'LOCATION'}, {'text': 'Dutch New Guinea', 'value': 'LOCATION'}, {'text': 'Battle of Noemfoor', 'value': 'EVENT'}]","[{'Noemfoor Island': 'LOCATION'}, {'Dutch New Guinea': 'LOCATION'}, {'Battle of Noemfoor': 'EVENT'}]","In July 1944, the 503rd jumped again, onto Noemfoor Island, off Dutch New Guinea, in the Battle of Noemfoor.","[{'text': '503rd', 'value': 'ORGANIZATION'}, {'text': 'Noemfoor Island', 'value': 'LOCATION'}, {'text': 'Dutch New Guinea', 'value': 'LOCATION'}, {'text': 'Battle of Noemfoor', 'value': 'EVENT'}]","[{'Noemfoor Island': 'LOCATION'}, {'Dutch New Guinea': 'LOCATION'}, {'Battle of Noemfoor': 'EVENT'}]"
40,Of the company's first direct signings The Rasmus managed to launch a successful worldwide career with the release of their album Dead Letters (2003).,"[{'text': 'Rasmus', 'value': 'ORGANIZATION'}, {'text': 'Dead Letters', 'value': 'ART'}]","[{'The Rasmus': 'ORGANIZATION'}, {'Dead Letters': 'PRODUCT'}, {'2003': 'EVENT'}]",Of the company's first direct signings The Rasmus managed to launch a successful international career with the release of their album Dead Letters (2003).,"[{'text': 'The Rasmus', 'value': 'ORGANIZATION'}, {'text': 'Dead Letters', 'value': 'PRODUCT'}, {'text': '2003', 'value': 'EVENT'}]","[{'Rasmus': 'ORGANIZATION'}, {'Dead Letters': 'ART'}]"
41,DMUs in Taiwan are sorted as Class DR.,"[{'text': 'DMUs', 'value': 'PRODUCT'}, {'text': 'Taiwan', 'value': 'LOCATION'}]","[{'Taiwan': 'LOCATION'}, {'Class DR': 'OTHER'}]",DMUs in Taiwan are classified as Class DR.,"[{'text': 'Taiwan', 'value': 'LOCATION'}, {'text': 'Class DR', 'value': 'OTHER'}]","[{'DMUs': 'PRODUCT'}, {'Taiwan': 'LOCATION'}]"
42,The new batch of contestants converged on New Orleans to meet with Tyler and receive a beignet cooking challenge right off the bat.,"[{'text': 'New Orleans', 'value': 'LOCATION'}, {'text': 'Tyler', 'value': 'PERSON'}]","[{'New Orleans': 'LOCATION'}, {'Tyler': 'PERSON'}]",The newest batch of contestants converged on New Orleans to meet with Tyler and receive a beignet cooking challenge right off the bat.,"[{'text': 'New Orleans', 'value': 'LOCATION'}, {'text': 'Tyler', 'value': 'PERSON'}]","[{'New Orleans': 'LOCATION'}, {'Tyler': 'PERSON'}]"
