model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
gpt4o,punctuation,0.838,0.828,-1.2,0.317,ns,False
gpt4o,sentiment,0.8,0.8,0.0,1.0,ns,False
gpt4o,temporal_bias,0.81,0.79,-2.5,0.48,ns,False
gpt4o,typo_bias,0.816,0.786,-3.8,0.18,ns,False
llama,active_to_passive,0.821,0.811,-1.3,0.853,ns,False
llama,capitalization,0.778,0.828,6.5,0.025,*,True
llama,casual,0.8,0.76,-5.0,0.285,ns,False
llama,compound_word,0.875,0.875,0.0,1.0,ns,False
llama,concept_replacement,0.76,0.75,-1.3,0.739,ns,False
llama,coordinating_conjunction,0.804,0.794,-1.3,0.705,ns,False
llama,derivation,0.867,0.857,-1.2,0.317,ns,False
llama,dialectal,0.87,0.81,-6.9,0.109,ns,False
llama,discourse,0.79,0.76,-3.8,0.257,ns,False
llama,geographical_bias,0.78,0.77,-1.3,0.655,ns,False
llama,grammatical_role,0.833,0.833,0.0,1.0,ns,False
llama,length_bias,0.838,0.869,3.6,0.467,ns,False
llama,negation,0.796,0.714,-10.3,0.088,.,False
llama,punctuation,0.778,0.768,-1.3,0.317,ns,False
llama,sentiment,0.83,0.84,1.2,0.739,ns,False
llama,temporal_bias,0.79,0.78,-1.3,0.705,ns,False
llama,typo_bias,0.796,0.776,-2.6,0.317,ns,False
t5-base,active_to_passive,0.568,0.684,20.4,0.078,.,No
t5-base,capitalization,0.495,0.525,6.1,0.257,ns,No
t5-base,casual,0.53,0.49,-7.5,0.346,ns,No
t5-base,compound_word,0.604,0.594,-1.7,0.564,ns,No
t5-base,concept_replacement,0.54,0.49,-9.3,0.025,*,Yes
t5-base,coordinating_conjunction,0.66,0.619,-6.2,0.157,ns,No
t5-base,derivation,0.52,0.531,2.0,0.655,ns,No
t5-base,dialectal,0.58,0.54,-6.9,0.206,ns,No
t5-base,discourse,0.53,0.51,-3.8,0.48,ns,No
t5-base,geographical_bias,0.54,0.53,-1.9,0.739,ns,No
t5-base,grammatical_role,0.556,0.583,5.0,0.593,ns,No
t5-base,length_bias,0.566,0.586,3.6,0.593,ns,No
t5-base,negation,0.592,0.571,-3.4,0.683,ns,No
t5-base,punctuation,0.586,0.596,1.7,0.317,ns,No
t5-base,sentiment,0.64,0.64,0.0,1.0,ns,No
t5-base,temporal_bias,0.6,0.58,-3.3,0.414,ns,No
t5-base,typo_bias,0.633,0.643,1.6,0.705,ns,No
