task,model,modification,rows,effective_rows,metric,metric2
coref,gpt4o,discourse_100,100,100,0.73,
coref,gpt4o,geographical_bias_100,100,100,0.73,
coref,gpt4o,grammatical_role_100,72,72,0.8333333333333334,
coref,gpt4o,length_bias_100,99,99,0.8484848484848485,
coref,gpt4o,negation_100,98,98,0.7040816326530612,
coref,gpt4o,punctuation_100,99,99,0.8282828282828283,
coref,gpt4o,sentiment_100,100,100,0.8,
coref,gpt4o,temporal_bias_100,100,100,0.79,
coref,gpt4o,typo_bias_100,98,98,0.7857142857142857,
coref,unknown,unknown,18,18,,
coref,llama,active_to_passive_100,95,95,0.8105263157894737,
coref,llama,capitalization_100,99,99,0.8282828282828283,
coref,llama,casual_100,100,100,0.76,
coref,llama,compound_word_100,96,96,0.875,
coref,llama,concept_replacement_100,100,100,0.75,
coref,llama,coordinating_conjunction_100,97,97,0.7938144329896907,
coref,llama,coref,2118,2118,,
coref,llama,derivation_100,98,98,0.8571428571428571,
coref,llama,dialectal_100,102,102,0.6764705882352942,
coref,llama,discourse_100,100,100,0.76,
coref,llama,geographical_bias_100,100,100,0.77,
coref,llama,grammatical_role_100,72,72,0.8333333333333334,
coref,llama,length_bias_100,99,99,0.8686868686868687,
coref,llama,negation_100,98,98,0.0,
coref,llama,punctuation_100,99,99,0.7676767676767676,
coref,llama,sentiment_100,100,100,0.84,
coref,llama,temporal_bias_100,100,100,0.78,
coref,llama,typo_bias_100,98,98,0.7755102040816326,
coref,unknown,unknown,18,18,,
coref,unknown,unknown,112,112,,
