text,original_text,pronoun,candidates,type,modified_label,original_label,modified_pred,original_pred,raw_output,reasoning,original_raw_output,original_reasoning,id
Laila grows closer to Cora when she holds her a late birthday celebration since everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,she,"0: Cora, 1: Laila",reverse,0,0,0,0,0,"**Exploring pronoun resolution**

The clause “since everyone forgets the date” probably relates to Cora's birthday being overlooked, prompting Laila to hold the celebration, which makes sense. If “she” refers to Cora, then Cora is celebrating Laila's birthday late because it’s forgotten. However, I need to consider how pronoun resolution works here. Typically, pronouns refer to the subject of the main clause, which is Laila. In this case, ""she"" leans towards Laila based on context. **Clarifying the birthday celebration dynamics**

I’m trying to figure out whose date was forgotten. Typically, it’s the birthday person being celebrated. When I see “holds her a late birthday celebration,” “her” likely refers to the recipient. So, “she” must be the celebrant. It suggests that if everyone forgets the date, it's likely pointing to Cora's birthday if Laila is the one holding the celebration. Alternatively, it could be Cora hosting Laila’s celebration. I need to determine which scenario makes more sense for Laila and Cora’s closeness. **Examining relationship dynamics**

I see that both interpretations could work regarding Cora and Laila's closeness. If Laila is the one holding the celebration, then it’s her kind act that brings her closer to Cora. That makes sense, as performing acts of kindness usually strengthens bonds. On the flip side, if Cora holds the celebration, then Laila grows closer as a response to Cora’s gesture. However, it feels more natural that Laila’s act of kindness is what drives their closeness. There’s often a tendency for the pronoun to refer back to the subject in these scenarios. **Interpreting growth in relationships**

In the phrase ""X grows closer to Y when she [does something],"" I usually expect ""she"" to refer to Y, indicating that Y's action is why X grows closer. Here, ""she"" likely refers to Cora, who holds a late birthday celebration for Laila, prompting Laila to feel closer to her. However, there are multiple pronouns in play. I need to consider who “everyone forgets the date” refers to; if it’s Laila's birthday that’s forgotten, Cora’s gesture stands out as a nice act, fostering their closeness. **Assessing emotional impact and clarity**

It seems more emotionally impactful if everyone forgot Laila's birthday but Cora remembered and held a late celebration, which leads to Laila growing closer to Cora. This aligns well with the clause “since everyone forgets the date.” If it's Cora's date being forgotten, then Laila holding the celebration would suggest the opposite kind of closeness. The sentence is clearer if “she” refers to Cora, making her the one doing something kind for Laila. So, I conclude that ""she"" is indeed Cora, hence my answer is 0.",0,,1451
"Joseph did not defeat William in the match, and as a result, he earned $100.","Joseph did not defeat William in the match, so he earned $100.",he,"0: Joseph, 1: William",reverse,1,1,1,1,1,,1,"**Resolving pronoun ambiguity**

I need to clarify the pronoun ""he"" in the sentence about Joseph and William, as it’s ambiguous. The phrase ""so he earned $100"" usually implies a consequence. If Joseph didn't defeat William, it suggests that William likely earned the money for winning. However, since ""he"" could refer to Joseph as the subject, I need to consider that aspect as well. Ultimately, the context suggests that ""he"" refers to William, who benefited from the outcome. **Clarifying pronoun reference**

In this context, ""he"" likely refers to William since he is the one who would earn the prize money for winning. The structure suggests a Winograd schema, where we've determined that the correct candidate index for William is 1. However, we must remember that a lack of defeat doesn't always guarantee a win—there could be a draw. Still, if Joseph didn't defeat William, then it makes sense for William to be the one who earned the money, confirming that the answer is 1.",189
"Jason built Rocky a robot, and as a result, he had more free time.","Jason built Rocky a robot, so he had more free time.",he,"0: Jason, 1: Rocky",reverse,1,1,1,1,1,"**Resolving the pronoun ambiguity**

I need to clarify who ""he"" refers to in the sentence about Jason building Rocky a robot. It could mean either Jason or Rocky. It makes sense that Rocky would have more free time because the robot is meant to assist him. The phrase ""as a result"" hints that the one who gained free time is the recipient of the robot, which is Rocky. So, I'll conclude that ""he"" refers to Rocky and index it as one. **Checking pronoun syntax**

I need to examine the sentence: ""Jason built Rocky a robot, and as a result, he had more free time."" Here, the main subject is Jason, but the pronoun ""he"" could refer to either Jason or Rocky. The linking phrase ""as a result"" indicates that the one who received the robot experienced more free time. Therefore, I conclude that ""he"" refers to Rocky. I’ll provide just the index number: 1.",1,,73
Robin goes to speak to Gael and then he discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,he,"0: Robin, 1: Gael",reverse,1,1,0,1,0,"**Analyzing pronoun resolution**

I need to figure out what the pronoun ""he"" refers to in the sentence about Robin and Gael. There are two mentions of ""he,"" so I have to determine if it's Robin or Gael—usually, it refers to the first occurrence, but that can vary. Analyzing the semantics: Robin speaks to Gael, and then ""he discovers"" could point to Robin discovering that Gael invited backpackers. I need to clarify which ""he"" fits best. **Resolving pronoun ambiguity**

It seems Gael is the one who invited the backpackers, and Robin discovers this. So, if I break it down, the first ""he"" likely refers to Robin, while the second ""he"" probably refers to Gael. The problem asks for a specific pronoun candidate, which makes it ambiguous. Usually, ""he"" refers to the subject of the last clause unless context suggests otherwise. Most likely, it's Robin discovering Gael's invitation, but the grammar could support Robin as well. **Clarifying pronoun references**

The phrase ""has invited more backpackers"" could imply Gael or Robin as the one who invited. However, the construction ""he discovers he has invited"" suggests the subjects may be the same unless there’s a shift. Here, both occurrences of ""he"" create some ambiguity, as each typically refers to Robin (the discoverer) and Gael (the inviter). But since the task only asks for the pronoun ""he,"" it introduces some uncertainty. Generally, I'd say the first ""he"" refers to Robin, making that the likely answer. **Testing pronoun references**

I’m analyzing if ""he"" refers to Gael. If it does, then ""he discovers"" would also mean Gael discovers he has invited people, which seems odd since he'd already know that. It makes more sense for ""he"" to refer to Robin, the main subject in the narrative. If the first ""he"" is Robin and the second is Gael, it fits: Robin discovers that Gael invited more backpackers. So, I’ll conclude that the answer is 0 for Robin.",1,"**Resolving pronouns**

I need to clarify who ""he"" refers to in the sentence about Robin and Gael. Typically, in a structure like ""goes to speak to Gael but discovers he has invited more backpackers,"" it seems clearer that ""he"" would refer to Gael, since Robin is speaking to him. The use of ""them"" likely means both Robin and Gael are included. However, there's a small edge case where ""he"" could refer to Robin if interpreted differently, but that feels less likely here. **Evaluating phrasing**

I find the phrasing a bit strange when saying ""discover you have invited."" It feels more typical to say that Robin discovers Gael has invited more backpackers. I think that’s a more natural interpretation of the sentence. So, I'm settling on answer 1 here. I’ll stick with that and return ""1."" It just seems to fit better with the context!",691
The humans were afraid of the robots since they were weak.,The humans were afraid of the robots because they were weak.,they,"0: The humans, 1: the robots",reverse,0,0,0,0,0,"**Resolving pronoun ambiguity**

I need to resolve the pronoun ""they"" in the sentence about humans and robots. There's some ambiguity about who is weak. The causal link suggests that if humans are weak, they would be afraid of the robots. It makes more sense that ""they"" refers to humans because if robots were weak, it seems odd for humans to be afraid of them. So, I conclude that ""they"" refers to humans. The index is 0. I'll return just ""0.""",0,"**Resolving pronoun ambiguity**

I need to figure out what ""they"" refers to in the sentence: ""The humans were afraid of the robots because they were weak."" I’m considering whether ""they"" refers to the humans or the robots. If it’s the robots, the humans wouldn’t be afraid. So it seems more logical that “they” refers to the humans, meaning they feel weak in comparison to the robots. Therefore, the answer is index 0.",1424
Cosby supported Jay since Thea really liked him.,Cosby supported Jay because Thea really liked him.,him,"0: Cosby, 1: Jay",reverse,1,1,1,1,1,,1,,828
John fired Bill since he was incompetent.,John fired Bill because he was incompetent.,he,"0: John, 1: Bill",reverse,1,1,1,1,1,,1,"**Resolving pronouns clearly**

I need to figure out the pronoun ""he"" in the sentence ""John fired Bill because he was incompetent."" This situation is ambiguous, but the conventional interpretation is that ""he"" refers to Bill, which means Bill's incompetence is the reason for the firing. The context usually favors the subordinate clause pronoun pointing to the object, so my answer is ""1"". I’ll simply provide that answer.",1095
"Joe crashed into Mike, and as a result, he had to pay for the damage.",Joe crashed into Mike and he had to pay for the damage.,he,"0: Joe, 1: Mike",reverse,1,1,0,0,0,,0,"**Resolving pronouns**

I need to figure out the pronoun ""he"" in the sentence, ""Joe crashed into Mike and he had to pay for the damage."" Generally, in English, if Joe is the one crashing, it's likely he’s also responsible for the damages. So ""he"" more likely refers to Joe rather than Mike, since typically, the person who causes the accident pays. While it's theoretically possible that ""he"" could refer to Mike, it’s less likely. In this case, I'll go with index 0 for Joe.",117
"Celine attempts to contact the resurrected Juliana, however, seeing she has no memory of her previous life, she decides to leave her alone.","Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.",she,"0: Celine, 1: the resurrected Juliana",reverse,1,1,0,0,0,"**Resolving pronouns**

I need to clarify the pronoun ""she"" in the sentence about Celine and Juliana. There are multiple uses of ""she,"" and it’s crucial to figure out which one refers to whom. Typically, the last mention of ""she"" would indicate the reference. In this context, ""she"" could first refer to Juliana (since she has no memory) and then to Celine deciding to leave Juliana alone. The task is to determine which pronoun leads to which candidate. **Determining pronouns**

I need to identify which candidate the pronoun ""she"" refers to, but there are two occurrences here. Typically, it should point to one candidate—often the second mention does. In this case, the second ""she"" likely refers to Celine when she decides to leave Juliana alone, while the first ""she"" refers to Juliana since she has no memory of her previous life. The context suggests that the first instance of ""she"" is coreferenced with Juliana. **Clarifying pronoun ambiguity**

In the context of deciding which ""she"" is referred to, we can identify two uses of ""she."" The first ""she"" in ""seeing she has no memory"" likely refers to Juliana, while the second ""she"" in ""she decides to leave her alone"" refers to Celine. This leads to confusion about which ""she"" should be selected, especially since the task does not specify which instance to use. The ambiguity is pronounced here, but I think they might be indicating the first ""she"" as the focus. **Guessing dataset expectations**

I need to determine which pronoun the dataset expects. In the given text, there are two instances of ""she."" Typically, similar tasks resolve the second ""she,"" which refers to Celine, while the first ""she"" regarding memory is straightforward and refers to Juliana. Since the dataset likely wants ""she"" to refer to Celine, I think the correct response should be 0, indicating Celine as the candidate. Ultimately, I just need to provide the index, which is 0. **Checking logic**

I need to confirm the logic in the sentence: ""Celine attempts to contact the resurrected Juliana, however, seeing she has no memory of her previous life, she decides to leave her alone."" The second ""she,"" referring to ""decides,"" must be Celine; it wouldn’t make sense for Juliana to decide anything since she has no memory. If Celine realizes that Juliana has no memory, it logically leads to Celine deciding to leave her alone. Therefore, the answer should simply be 0.",0,"**Evaluating pronoun resolution**

I'm thinking through a reading example regarding pronoun resolution. Celine is trying to reach Juliana, who has forgotten her past. Celine is the one who decides to leave Juliana alone, so the answer index is 0. I wonder about edge cases where they might ask about the first ""she"" instead. It seems that datasets may choose the last pronoun, but typically heuristics lead me to choose 'she decides' as the main subject to resolve, hence answer 0. **Deciding on pronoun reference**

I'm considering how some frameworks choose the ambiguous pronoun ""she"" in the clause ""seeing she has no memory"" since it seems more unclear. While ""she has no memory of her previous life"" clearly refers to Juliana, the decider isn't ambiguous grammatically but can be logically. However, both can lead to confusion. In the end, I'll keep it straightforward and go with answer 0—so concise! I'll just output ""0.""",626
Ken tried to sneak past the boss since he was looking for late people.,Ken tried to sneak past the boss because he was looking for late people.,he,"0: Ken, 1: the boss",reverse,1,1,1,1,1,,1,,34
Chris then breaks up with Anthony again once he realizes that he is not who he wants.,Chris then breaks up with Anthony again after he realizes that he is not who he wants.,he,"0: Chris, 1: Anthony",reverse,1,1,0,0,0,"**Determining pronoun references**

The question involves identifying which candidate the pronoun ""he"" refers to in the provided text. Typically, the first occurrence is chosen for pronoun resolution. In the example, ""Chris then breaks up with Anthony again once he realizes that he is not who he wants,"" ""he"" refers to Chris. So the answer is 0. It’s interesting how some tasks might consider different pronouns, but here, we’re going with the first one.",0,"**Resolving pronoun ambiguity**

I've got to figure out the pronoun ""he"" in the sentence about Chris and Anthony. The tricky part is that it occurs twice, leading to confusion about which person it refers to. It seems usual to resolve this to the first occurrence, yet some datasets expect a distinction. It could mean both refer to the same person, but the prompt isn’t clear. I need to pinpoint who realizes what in this context. **Clarifying pronoun usage**

I need to look closely at the pronouns in the sentence about Chris and Anthony. Usually, the pronoun in the subordinate clause ""after he realizes..."" refers to the subject of the main clause, which is Chris. So, ""he realizes"" means ""Chris realizes."" However, the phrase ""that he is not who he wants"" creates ambiguity. It suggests that Chris realizes Anthony isn't who he wants romantically, but the second ""he"" could also refer to Anthony. It’s tricky with both pronouns being “he”! **Resolving pronoun references**

Alright, if I resolve the first ""he"" in ""he realizes"" as Chris, then the second ""he"" in ""he is not who he wants"" turns into something trickier. Here, the first ""he"" likely refers to Anthony while the second corresponds to Chris. Yet, the question may expect the pronoun to primarily mean Chris since that's the main focus. Typically, datasets focus on the first occurrence. So I'll conclude that ""he"" refers to Chris, making the answer index 0. So, I’ll just output “0.”",1191
"A chicken pecked at a bug, subsequently it ate it.",A chicken pecked at a bug and it ate it.,it,"0: A chicken, 1: a bug",reverse,0,0,0,0,0,"**Resolving pronouns**

I need to resolve the pronoun ""it"" in the sentence about a chicken pecking at a bug and then ""it"" ate ""it."" There are two occurrences of ""it,"" which makes things a bit tricky. Typically in these Winograd-like tasks, the second occurrence is often the one referenced. But here, I see that the first ""it"" likely refers to the chicken. I have to decide which ""it"" is correct, given the ambiguity. **Choosing the right pronoun**

In the sentence, the second ""it"" refers to the bug, which makes things a bit tricky. I need to decide which ""it"" they want me to focus on. Typically, the first occurrence is chosen unless stated otherwise. The first ""it"" is the chicken (the subject), while the second ""it"" is the bug (the object). Since there are two, I'm left wondering which candidate is being asked for. Should I go with the first or the second? **Determining the pronoun reference**

Many tasks require resolving pronouns based on commonsense reasoning. In the phrase ""subsequently it ate it,"" the subject pronoun typically is the most relevant. Here, ""chicken ate bug"" makes more sense than the reverse. Each ""it"" can be resolved: the first ""it"" is the chicken, and the second is the bug. Usually, frameworks look for the first occurring pronoun when there's ambiguity. So, the answer is index 0, referring to the chicken, as it seems they intend for the first ""it.""",0,"**Resolving pronoun ambiguity**

I need to clarify the pronoun ""it"" in the sentence: ""A chicken pecked at a bug and it ate it."" There are two occurrences of ""it,"" making it ambiguous. Typically, prompts specify which ""it"" to refer to. The first ""it"" might refer to the chicken (the subject), while the second ""it"" likely refers to the bug (the object). However, since pronouns can be tricky, it’s best to consider that they often emphasize the first occurrence when deciding. **Interpreting ambiguous pronouns**

In the sentence, ""A chicken pecked at a bug and it ate it,"" the first ""it"" likely refers to the chicken, while the second ""it"" refers to the bug. Typically, in Winograd schemas, the structure is similar: ""The chicken pecked at the bug because it was tasty."" When asked to identify which ""it"" they're referring to, they might expect the first pronoun to be associated with ""A chicken"" as it represents the eater. However, there can be different interpretations depending on the dataset and task context. **Choosing the candidate pronoun**

I’m looking at the ""GAP coreference"" dataset, which has a single pronoun location, yet my sentence contains two “it”s. They're giving only one pronoun — ""it,"" making it ambiguous. The simplest assumption is to choose candidate 0, referring to the eater. Typically, many solutions to similar prompts pick the subject. So, in the phrase ""A chicken pecked at a bug and it ate it,"" the first ""it"" likely refers to the chicken. Therefore, I’ll answer with candidate 0.",1481
"Georgina says Lucille is dead, she couldn't live with what she had done.",Georgina says Lucille is dead because she couldn't live with what she had done.,she,"0: Georgina, 1: Lucille",reverse,1,1,1,1,1,,1,,1315
"Tina is scared, however, Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes after her and protects herself with a gun.",her,"0: Tina, 1: Emma",reverse,0,0,0,0,0,,0,,887
"Ray William Johnson surpassed NigaHiga in Youtube subscribers, yet he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.",he,"0: Ray William Johnson, 1: NigaHiga",reverse,0,0,0,0,0,,0,,360
"Jubilant, Gandhi tries to reach Ram Mohan Rao, yet realizes that he is leaving the country with his daughter.","Jubilant, Gandhi tries to reach Ram Mohan Rao, but realizes that he is leaving the country with his daughter.",he,"0: Ram Mohan Rao, 1: Gandhi",reverse,1,1,0,0,0,,0,"**Resolving pronouns**

I need to resolve the pronoun ""he"" in this context. The sentence says, ""Jubilant, Gandhi tries to reach Ram Mohan Rao, but realizes that he is leaving the country with his daughter."" It's unclear whether ""he"" refers to Gandhi or Ram Mohan Rao. In English, pronouns usually refer to the nearest male subject, but since both are mentioned, it creates ambiguity. The phrase “with his daughter” adds to the confusion. Whose daughter is in question here? **Clarifying pronoun reference**

If ""he"" refers to Ram Mohan Rao, then ""his daughter"" would mean she is his daughter. However, if ""he"" refers to Gandhi, it complicates things since he's trying to reach Ram Mohan Rao. The phrase “he is leaving the country with his daughter” would suggest self-reference, which seems unusual. In general, standard pronoun resolution indicates that ""he"" in this context likely refers to the most recent subject, Ram Mohan Rao. Therefore, the answer is 0.",396
"Joe raced against Steven, he thought it would be easy.",Joe raced against Steven because he thought it would be easy.,he,"0: Joe, 1: Steven",reverse,0,0,0,0,0,,0,,1164
"Delilah tries to reconcile with Lizzy, yet she insists that their relationship is over.","Delilah tries to reconcile with Lizzy, but she insists that their relationship is over.",she,"0: Delilah, 1: Lizzy",reverse,1,1,1,1,1,"**Resolving pronoun usage**

I need to clarify the pronoun ""she"" in the sentence about Delilah and Lizzy. It could refer to either character, but usually, it makes more sense for ""she"" to refer to Lizzy. The phrase ""yet she insists"" suggests contrast, indicating Lizzy is rejecting the reconciliation while Delilah is attempting to mend their relationship. Since the typical subject of ""insists it's over"" is the one rejecting, it’s more likely that Lizzy is the one insisting. **Clarifying pronoun reference**

With two female candidates, the pronoun ""she"" in “with Lizzy, yet she insists” can be tricky. Typically, ""she"" would refer to the subject of the main clause (Delilah), but ""with Lizzy"" complicates things. Pronoun resolution often favors the nearest candidate or the object of the verb ""insists."" In similar sentences, ""she"" usually refers to Lizzy, but if ""she"" points to Delilah, it could suggest Delilah is conflicted, trying to reconcile while insisting it's over, which feels contradictory. **Analyzing reconciliation attempts**

It does seem strange that one would try to reconcile while insisting it's over. If ""she"" refers to Lizzy, then it makes sense: Delilah attempts to reconcile, but Lizzy is clear that their relationship is over, which makes Delilah's efforts feel rebuffed. So, I conclude the pronoun “she” should refer to Lizzy, as it fits someone rejecting reconciliation. Therefore, my answer is index 1, pointing to Lizzy as the one insisting it's over.",1,"**Analyzing contradictions**

I’m noticing that the ""but"" indicates contrast in the statements. The phrase ""she insists it's over"" directly opposes ""tries to reconcile."" This means the same subject can't be doing both at once, as that would be contradictory. Given this, I infer that Lizzy must be the one insisting it's over. So for my answer choice, I conclude it's referring to Lizzy, and that leads me to return index 1.",1066
The violin fell off the table after someone knocked it off.,The violin fell off the table because someone knocked it off.,it,"0: The violin, 1: the table",reverse,0,0,0,0,0,,0,"**Resolving pronouns**

Alright, I need to resolve the pronoun ""it"" in the sentence ""The violin fell off the table because someone knocked it off."" The candidates are either the violin or the table. Clearly, someone knocked off the violin, which caused it to fall. You wouldn’t knock the table off in this context. So, it's straightforward: ""it"" refers to the violin, which means the index is 0. I'll just provide that index.",324
Megan accidentally fires a shot that injures Barbara; she shoots Larry dead.,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.",she,"0: Megan, 1: Larry",reverse,0,0,0,0,0,,0,"**Analyzing pronoun reference**

I need to figure out what ""she"" refers to in the sentence. The context is: ""Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead."" The beginning mentions Megan, making it a likely subject for ""she."" While ""but"" indicates contrast, suggesting a shift in focus, it seems most plausible that ""she"" refers to Megan, clarifying that despite the accidental injury to Barbara, Megan intentionally shoots Larry dead. However, there's a possibility that ""she"" could refer to Barbara, implying an entirely different scenario. **Determining pronoun reference**

It would be unusual for the pronoun to refer to Barbara after she gets injured by Megan. While it's grammatically possible for Barbara to shoot Larry, the context of ""accidentally ... but she shoots Larry dead"" really contrasts between accidental and purposeful actions, both linked to the same agent. So, I conclude that ""she"" is most likely referring to Megan. Therefore, the index should be 0. I'll just return ""0.""",1499
James Cameron is more successful than Michael Bay since his movies sell more worldwide.,James Cameron is more successful than Michael Bay because his movies sell more worldwide.,his,"0: James Cameron, 1: Michael Bay",reverse,0,0,0,0,0,,0,,159
Rebecca kissed Dina because she is such a sweet girl.,Rebecca kissed Dina because she is a sweet girl.,she,"0: Rebecca, 1: Dina",add,1,1,1,1,1,,1,"**Resolving pronoun ambiguity**

I noticed the ambiguity in the sentence: ""Rebecca kissed Dina because she is a sweet girl."" The pronoun ""she"" could refer to either Rebecca or Dina. Typically, the cause of the action would suggest ""she"" refers to Dina since that's more natural. There's a known pattern in sentences like this, where the attribute usually points to the object, making ""she"" likely refer to Dina. So, I’d conclude that ""she"" refers to Dina in this case. **Resolving the pronoun reference**

I'm recalling the WS challenge about the sentence, ""Rebecca kissed Dina because she is a sweet girl."" In this case, ""she"" refers to Dina. The phrase ""because she is a sweet girl"" indicates that the sweetness is suggesting a connection to the object, which makes it clearer. So, I'd say the answer is index 1, meaning ""she"" refers to Dina. It's a straightforward conclusion!",120
"Naji is supposed to come over for a visit with Khalil, but unfortunately he does not come.","Naji is supposed to come over for a visit with Khalil, but he doesn't come.",he,"0: Naji, 1: Khalil",add,0,0,0,0,0,,0,,405
