model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
gpt4o,grammatical_role,91.176,79.412,-12.903,-11.529,0.033,*,True
gpt4o,length_bias,92.0,92.0,0.0,0.0,1.0,ns,False
gpt4o,negation,89.0,70.0,-21.348,-18.519,0.001,***,True
gpt4o,punctuation,90.0,91.0,1.111,0.977,0.564,ns,False
gpt4o,sentiment,91.0,92.0,1.099,0.98,0.705,ns,False
gpt4o,singlish,83.962,80.189,-4.494,-3.63,0.248,ns,False
gpt4o,temporal_bias,90.0,92.0,2.222,1.954,0.157,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,ns,False
llama,active_to_passive,94.0,95.0,1.064,0.987,0.564,ns,False
llama,capitalization,95.833,95.833,0.0,0.0,1.0,ns,False
llama,casual,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,compound_word,90.0,91.0,1.111,0.977,0.317,ns,False
llama,concept_replacement,97.0,95.0,-2.062,-1.987,0.157,ns,False
llama,coordinating_conjunction,99.0,97.0,-2.02,-1.996,0.157,ns,False
llama,derivation,96.774,95.699,-1.111,-1.068,0.317,ns,False
llama,dialectal,94.0,93.0,-1.064,-0.987,0.564,ns,False
llama,discourse,95.402,91.954,-3.614,-3.413,0.083,.,False
llama,geographical_bias,91.304,85.87,-5.952,-5.327,0.132,ns,False
llama,grammatical_role,95.588,86.765,-9.231,-8.737,0.034,*,True
llama,length_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,negation,94.0,64.0,-31.915,-29.597,0.0,***,True
llama,punctuation,91.0,90.0,-1.099,-0.98,0.317,ns,False
llama,sentiment,96.0,92.0,-4.167,-3.965,0.046,*,True
llama,singlish,77.358,81.132,4.878,3.563,0.157,ns,False
llama,temporal_bias,92.0,91.0,-1.087,-0.982,0.317,ns,False
llama,typo_bias,95.0,93.0,-2.105,-1.978,0.157,ns,False
