model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,geographical_bias,90.0,91.0,0.9771212547196625,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
gpt4o,geographical_bias,92.0,91.0,-0.9818939136727777,1.0,1.0,9.0,0.7388826803635273,ns,,n/a
deepseek-r1-deepseek,derivation,97.70114942528735,93.10344827586206,-4.5744820071164956,4.597701149425291,4.597701149425291,4.597701149425287,0.045500263896358396,*,,n/a
gpt-5-standard,derivation,95.40229885057471,94.25287356321839,-1.1376774941134808,1.1494252873563227,1.1494252873563227,3.4482758620689653,0.5637028616507731,ns,,n/a
claude,discourse,82.82828282828282,84.84848484848484,1.9375541997840073,2.0202020202020208,2.0202020202020208,12.121212121212121,0.5637028616507731,ns,,n/a
gpt4o,capitalization,90.9090909090909,91.91919191919192,0.9891956135564522,1.0101010101010104,1.0101010101010104,1.0101010101010102,0.31731050786291415,ns,,n/a
claude,concept_replacement,94.0,94.0,0.0,0.0,0.0,4.0,1.0,ns,,n/a
llama,punctuation,93.0,96.0,2.9527244228309026,3.0,3.0,3.0,0.08326451666355039,.,,n/a
deepseek-r1-deepseek,sentiment,95.0,93.0,-1.9777236052888478,2.0,2.0,10.0,0.5270892568655381,ns,,n/a
llama,length_bias,96.0,96.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a
deepseek-r1-deepseek,typo_bias,96.0,96.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
llama,capitalization,95.95959595959596,96.96969696969697,1.0010547528743932,1.0101010101010104,1.0101010101010104,3.0303030303030303,0.5637028616507731,ns,,n/a
gpt-5-standard,coordinating_conjunction,95.0,95.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
deepseek-r1-deepseek,dialectal,95.09803921568627,93.13725490196079,-1.939383884808157,1.9607843137254832,1.9607843137254832,3.9215686274509802,0.31731050786291415,ns,,n/a
gpt4o,discourse,85.85858585858585,86.86868686868688,0.976658450058975,1.0101010101010246,1.0101010101010246,1.0101010101010102,0.31731050786291415,ns,,n/a
claude,active_to_passive,90.0,88.0,-1.954242509439325,2.0,2.0,10.0,0.5270892568655381,ns,,n/a
gpt-5-standard-context-aware,coordinating_conjunction,97.0,97.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
gpt-5-standard-context-aware,active_to_passive,97.0,93.0,-3.9735434685324895,4.0,4.0,4.0,0.045500263896358396,*,,n/a
gpt4o,casual,94.0,93.0,-0.9865639267998493,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
claude,capitalization,90.9090909090909,95.95959595959596,4.945978067782261,5.050505050505052,5.050505050505052,7.07070707070707,0.05878172135535887,.,,n/a
gpt-5-standard-context-aware,derivation,96.55172413793103,94.25287356321839,-2.2813333717738673,2.2988505747126453,2.2988505747126453,4.597701149425287,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,capitalization,93.93939393939394,94.94949494949495,0.9963877545234271,1.0101010101010104,1.0101010101010104,3.0303030303030303,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,negation,89.58333333333334,78.125,-11.184635104293754,11.458333333333343,11.458333333333343,17.708333333333336,0.007632881787792299,**,,n/a
claude,negation,89.58333333333334,76.04166666666666,-13.218205123256263,13.541666666666686,13.541666666666686,17.708333333333336,0.0016162222150599855,**,,n/a
gpt-5-standard,punctuation,94.0,95.0,0.9865639267998493,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt-5-standard,length_bias,97.0,96.0,-0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,compound_word,93.6842105263158,93.6842105263158,0.0,0.0,0.0,4.2105263157894735,1.0,ns,,n/a
gpt-5-standard-context-aware,casual,97.0,94.0,-2.980157601399367,3.0,3.0,3.0,0.08326451666355039,.,,n/a
gpt-5-standard,discourse,90.9090909090909,90.9090909090909,0.0,0.0,0.0,2.0202020202020203,1.0,ns,,n/a
llama,active_to_passive,95.0,94.0,-0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
claude,grammatical_role,93.93939393939394,92.42424242424242,-1.4945816317851406,1.5151515151515156,1.5151515151515156,7.575757575757576,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,temporal_bias,95.0,97.0,1.9777236052888478,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
deepseek-r1-deepseek,coordinating_conjunction,94.0,94.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
llama,compound_word,96.84210526315789,95.78947368421052,-1.0452969589772159,1.05263157894737,1.05263157894737,1.0526315789473684,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,length_bias,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt4o,active_to_passive,93.0,89.0,-3.93696589710787,4.0,4.0,4.0,0.045500263896358396,*,,n/a
deepseek-r1-deepseek,punctuation,94.0,95.0,0.9865639267998493,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt4o,derivation,93.10344827586206,90.80459770114942,-2.2631790416781983,2.2988505747126453,2.2988505747126453,2.2988505747126435,0.15729920705028505,ns,,n/a
llama,dialectal,94.11764705882352,98.0392156862745,3.869943257407159,3.9215686274509807,3.9215686274509807,5.88235294117647,0.10247043485974945,ns,,n/a
gpt-5-standard,sentiment,95.0,92.0,-2.966585407933272,3.0,3.0,11.0,0.36571229628151325,ns,,n/a
deepseek-r1-deepseek,active_to_passive,95.0,91.0,-3.9554472105776957,4.0,4.0,4.0,0.045500263896358396,*,,n/a
deepseek-r1-deepseek,casual,97.0,95.0,-1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
llama,typo_bias,95.0,94.0,-0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt4o,temporal_bias,90.0,90.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
gpt-5-standard-context-aware,grammatical_role,95.45454545454545,93.93939393939394,-1.4998459196300862,1.5151515151515156,1.5151515151515156,4.545454545454546,0.5637028616507731,ns,,n/a
claude,punctuation,92.0,93.0,0.9818939136727777,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,length_bias,97.0,95.0,-1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt-5-standard-context-aware,dialectal,95.09803921568627,93.13725490196079,-1.939383884808157,1.9607843137254832,1.9607843137254832,1.9607843137254901,0.15729920705028505,ns,,n/a
claude,length_bias,91.0,94.0,2.9385620884816404,3.0,3.0,9.0,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,punctuation,94.0,95.0,0.9865639267998493,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
claude,temporal_bias,90.0,94.0,3.90848501887865,4.0,4.0,8.0,0.15729920705028505,ns,,n/a
gpt-5-standard,negation,91.66666666666666,81.25,-10.2198512453677,10.416666666666657,10.416666666666657,16.666666666666664,0.012419330651552268,*,,n/a
gpt-5-standard-context-aware,capitalization,95.95959595959596,95.95959595959596,0.0,0.0,0.0,0.0,1.0,ns,,n/a
gpt-5-standard-context-aware,typo_bias,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt-5-standard,capitalization,95.95959595959596,95.95959595959596,0.0,0.0,0.0,0.0,1.0,ns,,n/a
gpt-5-standard,compound_word,96.84210526315789,95.78947368421052,-1.0452969589772159,1.05263157894737,1.05263157894737,3.1578947368421053,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,negation,91.66666666666666,85.41666666666666,-6.131910747220626,6.25,6.25,16.666666666666664,0.13361440253771611,ns,,n/a
gpt-5-standard,active_to_passive,96.0,91.0,-4.955678082598921,5.0,5.0,5.0,0.025347318677468256,*,,n/a
claude,typo_bias,91.0,95.0,3.9180827846421873,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
gpt4o,sentiment,93.0,91.0,-1.968482948553935,2.0,2.0,14.000000000000002,0.5929800980174267,ns,,n/a
deepseek-r1-deepseek,concept_replacement,94.0,89.0,-4.932819633999246,5.0,5.0,5.0,0.025347318677468256,*,,n/a
claude,dialectal,96.07843137254902,91.17647058823529,-4.859377215516125,4.901960784313729,4.901960784313729,6.862745098039216,0.05878172135535887,.,,n/a
gpt4o,punctuation,90.0,91.0,0.9771212547196625,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt-5-standard,grammatical_role,95.45454545454545,93.93939393939394,-1.4998459196300862,1.5151515151515156,1.5151515151515156,4.545454545454546,0.5637028616507731,ns,,n/a
gpt4o,length_bias,92.0,93.0,0.9818939136727777,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt-5-standard,casual,97.0,94.0,-2.980157601399367,3.0,3.0,3.0,0.08326451666355039,.,,n/a
gpt4o,dialectal,91.17647058823529,88.23529411764706,-2.8821805541059047,2.941176470588232,2.941176470588232,4.901960784313726,0.17971249487899976,ns,,n/a
llama,casual,97.0,93.0,-3.9735434685324895,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
gpt-5-standard,concept_replacement,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,discourse,90.9090909090909,87.87878787878788,-2.9675868406693566,3.030303030303031,3.030303030303031,3.0303030303030303,0.08326451666355039,.,,n/a
gpt4o,typo_bias,92.0,92.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
claude,sentiment,91.0,90.0,-0.9795206961605468,1.0,1.0,15.0,0.7962534147376392,ns,,n/a
claude,coordinating_conjunction,95.0,94.0,-0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
llama,derivation,97.70114942528735,95.40229885057471,-2.2872410035582478,2.2988505747126453,2.2988505747126453,2.2988505747126435,0.15729920705028505,ns,,n/a
gpt-5-standard,temporal_bias,95.0,96.0,0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,geographical_bias,88.0,88.0,0.0,0.0,0.0,8.0,1.0,ns,,n/a
claude,compound_word,93.6842105263158,94.73684210526315,1.0377191586084427,1.0526315789473557,1.0526315789473557,5.263157894736842,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,concept_replacement,97.0,96.0,-0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,sentiment,95.0,92.0,-2.966585407933272,3.0,3.0,11.0,0.36571229628151325,ns,,n/a
claude,casual,94.0,95.0,0.9865639267998493,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
deepseek-r1-deepseek,grammatical_role,90.9090909090909,92.42424242424242,1.4837934203346783,1.5151515151515156,1.5151515151515156,4.545454545454546,0.5637028616507731,ns,,n/a
gpt4o,negation,85.41666666666666,75.0,-10.060117809084096,10.416666666666657,10.416666666666657,16.666666666666664,0.012419330651552268,*,,n/a
gpt4o,concept_replacement,90.0,88.0,-1.954242509439325,2.0,2.0,4.0,0.31731050786291415,ns,,n/a
gpt4o,compound_word,93.6842105263158,91.57894736842105,-2.0754383172169133,2.10526315789474,2.10526315789474,2.1052631578947367,0.15729920705028505,ns,,n/a
llama,sentiment,95.0,89.0,-5.933170815866544,6.0,6.0,16.0,0.13361440253771611,ns,,n/a
gpt-5-standard,typo_bias,96.0,96.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a
claude,derivation,90.80459770114942,95.40229885057471,4.501397330280056,4.597701149425291,4.597701149425291,6.896551724137931,0.10247043485974945,ns,,n/a
gpt-5-standard,geographical_bias,92.0,92.0,0.0,0.0,0.0,4.0,1.0,ns,,n/a
gpt-5-standard,dialectal,95.09803921568627,92.15686274509804,-2.909075827212243,2.941176470588232,2.941176470588232,2.941176470588235,0.08326451666355039,.,,n/a
