model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance,total_samples
gpt-5-standard-context-aware,length_bias,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a,100
deepseek-r1,coordinating_conjunction,98.0,99.0,0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard-context-aware,dialectal,98.0,96.0,-1.9912260756924949,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
gpt-5-standard-context-aware,punctuation,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a,100
llama,negation,94.0,84.0,-9.865639267998493,10.0,10.0,18.0,0.018422125454099002,*,,n/a,100
gpt4o,length_bias,95.0,97.0,1.9777236052888478,2.0,2.0,4.0,0.31731050786291415,ns,,n/a,100
claude,casual,98.0,97.0,-0.9956130378462474,1.0,1.0,3.0,0.5637028616507731,ns,,n/a,100
deepseek-r1,punctuation,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,punctuation,95.0,95.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
deepseek-r1,length_bias,97.0,95.0,-1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
deepseek-r1,geographical_bias,98.0,98.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
gpt-5-standard,negation,99.0,94.0,-4.989087986493875,5.0,5.0,7.000000000000001,0.05878172135535887,.,,n/a,100
deepseek-r1,sentiment,98.0,97.0,-0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard-context-aware,capitalization,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard-context-aware,typo_bias,99.0,97.0,-1.99563519459755,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
gpt4o,dialectal,98.0,96.0,-1.9912260756924949,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
llama,dialectal,98.0,94.0,-3.9824521513849898,4.0,4.0,6.0,0.10247043485974945,ns,,n/a,100
gpt-5-standard,capitalization,97.0,96.0,-0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
claude,coordinating_conjunction,99.0,98.0,-0.997817597298775,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,typo_bias,98.0,97.0,-0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard-context-aware,negation,97.0,88.0,-8.940472804198102,9.0,9.0,11.0,0.006655605482949377,**,,n/a,100
gpt-5-standard,active_to_passive,97.0,98.0,0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
llama,typo_bias,98.0,98.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
llama,capitalization,97.0,94.0,-2.980157601399367,3.0,3.0,5.0,0.17971249487899976,ns,,n/a,100
claude,typo_bias,98.0,98.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
claude,negation,98.0,87.0,-10.951743416308721,11.0,11.0,15.0,0.004508698364904236,**,,n/a,100
deepseek-r1,capitalization,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
claude,dialectal,99.0,97.0,-1.99563519459755,2.0,2.0,4.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard,casual,99.0,97.0,-1.99563519459755,2.0,2.0,4.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard,concept_replacement,99.0,99.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
deepseek-r1,active_to_passive,96.0,96.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
claude,sentiment,99.0,99.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
llama,sentiment,98.0,97.0,-0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,sentiment,99.0,99.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
gpt-5-standard,temporal_bias,98.0,98.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
claude,length_bias,98.0,98.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
claude,punctuation,97.0,97.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
gpt-5-standard-context-aware,concept_replacement,100.0,99.0,-1.0,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
deepseek-r1,typo_bias,98.0,98.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
gpt-5-standard-context-aware,sentiment,99.0,98.0,-0.997817597298775,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,capitalization,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a,100
gpt4o,casual,99.0,95.0,-3.9912703891951,4.0,4.0,4.0,0.045500263896358396,*,,n/a,100
gpt4o,coordinating_conjunction,99.0,99.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
deepseek-r1,dialectal,98.0,96.0,-1.9912260756924949,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
gpt-5-standard,typo_bias,99.0,98.0,-0.997817597298775,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard,geographical_bias,99.0,98.0,-0.997817597298775,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard,dialectal,98.0,99.0,0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
