model,modification,original_mean_f1,modified_mean_f1,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,length_bias,54.24769710255643,55.62248883540443,1.1922065408561278,1.3747917328480028,1.3747917328480028,6.418598451846533,0.5195720050168753,ns,,n/a
deepseek-r1-deepseek,typo_bias,46.87263527666004,50.907956096191384,3.371347863063988,4.035320819531343,4.035320819531343,11.415562799773326,0.08547973727006397,.,,n/a
llama,capitalization,62.3314659197012,55.16638655462184,-6.429610266987999,7.1650793650793645,7.1650793650793645,15.312698412698412,0.04101242208944287,*,,n/a
gpt-5-standard,coordinating_conjunction,69.5335083859674,70.60174690840073,0.9839513745279403,1.068238522433333,1.068238522433333,11.736986896099724,0.613802976077871,ns,,n/a
deepseek-r1-deepseek,dialectal,50.220829079188206,54.409306651953706,3.562056988568832,4.1884775727655,4.1884775727655,13.169777597989672,0.20833858120603477,ns,,n/a
claude,active_to_passive,51.051976346093994,52.90907309425827,1.5859722848901643,1.857096748164274,1.857096748164274,5.468006132494151,0.33256561496743764,ns,,n/a
gpt4o,discourse,54.91177438545859,55.0067139650473,0.08258155452761783,0.09493957958870425,0.09493957958870425,2.1563430883606323,0.8125422341993517,ns,,n/a
gpt-5-standard-context-aware,coordinating_conjunction,69.94464551841601,70.09017153424097,0.13422988435172492,0.14552601582495583,0.14552601582495583,7.799702440493183,0.777444765784612,ns,,n/a
gpt-5-standard-context-aware,active_to_passive,57.96900863349665,60.91690939730156,2.5988632307840045,2.9479007638049097,2.9479007638049097,8.909206463672694,0.26824710179811384,ns,,n/a
claude,temporal_bias,53.26713902344154,48.99481470910042,-3.6879971752195417,4.27232431434112,4.27232431434112,4.272324314341121,0.017960477526078763,*,,n/a
gpt4o,casual,56.961200730708526,57.416081817342324,0.39928987242894937,0.45488108663379734,0.45488108663379734,3.5616692564471677,0.3317638792470782,ns,,n/a
gpt-5-standard-context-aware,derivation,57.66234192065394,57.714632625118554,0.04603914882569438,0.05229070446461748,0.05229070446461748,4.318539753322362,0.7670968684102772,ns,,n/a
claude,typo_bias,46.69337068160598,45.66666666666666,-0.8569155211085899,1.0267040149393196,1.0267040149393196,3.0267040149393085,0.23672357063785732,ns,,n/a
claude,coordinating_conjunction,69.67993754879001,69.38152011922503,-0.27500773899493486,0.29841742956497797,0.29841742956497797,7.507274146618409,0.8612203651582346,ns,,n/a
deepseek-r1-deepseek,capitalization,59.19470823294352,57.71938355761885,-1.3073463354252495,1.4753246753246714,1.4753246753246714,13.61976911976912,0.550998459315188,ns,,n/a
deepseek-r1-deepseek,negation,42.130663110539274,53.696549439864945,9.39495960369736,11.565886329325672,11.565886329325672,15.21029695825643,4.4275015353416515e-05,***,,n/a
claude,dialectal,52.18675727866904,47.12384259259259,-4.34793066391729,5.062914686076454,5.062914686076454,8.940229500891265,0.049307961359425445,*,,n/a
gpt-5-standard,punctuation,54.791452991452985,53.831114310526075,-0.8348765868150149,0.9603386809269097,0.9603386809269097,7.795403615991852,0.9757136493899539,ns,,n/a
gpt-5-standard,length_bias,54.907876295344316,57.55363349353118,2.3013254441858795,2.645757198186864,2.645757198186864,9.710431654165669,0.19159362602761243,ns,,n/a
deepseek-r1-deepseek,compound_word,56.42270861833105,53.8702418952077,-2.235263937957613,2.552466723123352,2.552466723123352,12.885615486504683,0.4724490188010081,ns,,n/a
gpt-5-standard-context-aware,casual,58.23527746096773,57.74460500150776,-0.43306411456742677,0.4906724594599723,0.4906724594599723,7.514408360746896,0.6764985008897477,ns,,n/a
gpt-5-standard,discourse,58.101827268493935,58.823109380707415,0.6362392693674562,0.7212821122134798,0.7212821122134798,6.289299898368526,0.8398928732712689,ns,,n/a
llama,active_to_passive,54.76084635126029,56.83021730952014,1.7987698218777493,2.069370958259846,2.069370958259846,4.456202233980012,0.21976847950216116,ns,,n/a
gpt-5-standard-context-aware,temporal_bias,55.07220209224087,58.59391847110011,3.065535148323671,3.5217163788592387,3.5217163788592387,5.426478283621141,0.04771488023735121,*,,n/a
claude,concept_replacement,49.185148569231615,49.10364145658262,-0.06894825170380467,0.08150711264899257,0.08150711264899257,4.7873894655901585,0.9160510722818964,ns,,n/a
deepseek-r1-deepseek,coordinating_conjunction,66.20608899297423,64.98284957301351,-1.1136970659693917,1.22323941996072,1.22323941996072,13.197785820736643,0.6105104632151152,ns,,n/a
llama,compound_word,58.0611555107559,57.09216326269388,-0.8545957726468966,0.9689922480620226,0.9689922480620226,0.9689922480620153,0.17971249487899976,ns,,n/a
deepseek-r1-deepseek,length_bias,55.75883976779118,55.34758755027297,-0.3590876966366506,0.4112522175182107,0.4112522175182107,12.615612222389714,0.9765350625960076,ns,,n/a
gpt4o,active_to_passive,52.99539643766223,55.88923785002216,2.494835874803178,2.893841412359933,2.893841412359933,7.496481570555644,0.3257891629860271,ns,,n/a
deepseek-r1-deepseek,punctuation,47.50033241612189,49.76185807656396,1.8959462481421296,2.261525660442068,2.261525660442068,15.00606347556812,0.381458054336854,ns,,n/a
gpt4o,derivation,55.5091328109231,55.50181323838612,-0.00638400103440643,0.007319572536978569,0.007319572536978569,3.6788171570780266,1.0,ns,,n/a
llama,dialectal,59.55034276725453,56.67659036225212,-2.5502889634230788,2.8737524050024064,2.8737524050024064,4.729813011063012,0.0927440846684101,.,,n/a
gpt-5-standard,sentiment,58.17766610449537,58.86250520396862,0.6042870558611712,0.6848390994732441,0.6848390994732441,7.094698436161851,0.6023558020144157,ns,,n/a
deepseek-r1-deepseek,active_to_passive,51.830278255000195,53.41516105132663,1.358706978014686,1.5848827963264327,1.5848827963264327,11.265228441584366,0.49240480568845146,ns,,n/a
deepseek-r1-deepseek,casual,54.70350977553859,57.98535065041667,2.851944648391011,3.2818408748780783,3.2818408748780783,10.87026152452323,0.12497588980602185,ns,,n/a
llama,typo_bias,53.18006293671928,54.72835353500988,1.3359803573856797,1.548290598290599,1.548290598290599,3.881623931623932,0.228870849260967,ns,,n/a
gpt4o,temporal_bias,57.03606850665673,53.207357535088626,-3.361894586118168,3.828710971568107,3.828710971568107,6.246293389150532,0.027470536176293376,*,,n/a
gpt-5-standard-context-aware,grammatical_role,60.7620995431059,64.11882314079338,2.993581107428204,3.356723597687484,3.356723597687484,7.117554466952058,0.08375636484509487,.,,n/a
gpt-5-standard-context-aware,length_bias,53.70791080190056,57.513747974106025,3.2921219576612746,3.8058371722054645,3.8058371722054645,7.837385334188404,0.04851087951103143,*,,n/a
gpt-5-standard-context-aware,dialectal,57.49034836351012,60.75074248327925,2.8684864982109874,3.260394119769124,3.260394119769124,7.180253195878197,0.04198895020451199,*,,n/a
gpt-5-standard-context-aware,punctuation,54.321152050563825,55.911811391223154,1.379872300491615,1.5906593406593288,1.5906593406593288,7.705311355311355,0.11267559947135951,ns,,n/a
gpt-5-standard,negation,55.41981547863901,58.637597696421224,2.805367236786126,3.217782217782215,3.217782217782215,10.508047508047508,0.3069267709144148,ns,,n/a
gpt-5-standard-context-aware,capitalization,63.892937781173075,66.00740664564194,1.9087869265580362,2.1144688644688614,2.1144688644688614,5.4573260073260075,0.16995514242478582,ns,,n/a
gpt-5-standard-context-aware,typo_bias,50.858534276181324,53.68472475237181,2.4112546165026196,2.826190476190483,2.826190476190483,4.800549450549451,0.05135850968458764,.,,n/a
gpt-5-standard,capitalization,61.14470823294352,65.69293778117307,4.0623851140452105,4.54822954822955,4.54822954822955,9.139072039072039,0.049869473946418004,*,,n/a
gpt-5-standard,compound_word,56.28092533701288,57.983844700670964,1.490362015325396,1.7029193636580828,1.7029193636580828,6.989654212636429,0.386781015575805,ns,,n/a
gpt-5-standard-context-aware,negation,56.13193669076022,59.25957697742105,2.7354498746890354,3.127640286660828,3.127640286660828,7.508723349702804,0.12071229289440583,ns,,n/a
gpt-5-standard,active_to_passive,56.59628670521917,58.94917729885049,2.0620591259362593,2.3528905936313222,2.3528905936313222,8.323360452990082,0.3504045310779552,ns,,n/a
gpt4o,sentiment,57.025363976583485,57.08108964206525,0.04892903080275204,0.055725665481766384,0.055725665481766384,3.1937258766527057,0.9547075542182767,ns,,n/a
deepseek-r1-deepseek,concept_replacement,59.863349261273136,57.055315887495816,-2.495163715131549,2.80803337377732,2.80803337377732,9.393976842073728,0.198503363510237,ns,,n/a
claude,derivation,56.30446469321149,54.351393609705624,-1.709467294600201,1.9530710835058684,1.9530710835058684,1.9530710835058656,0.06788915486182899,.,,n/a
gpt4o,punctuation,50.58538975644239,47.10551962657225,-2.9648930239723965,3.479870129870136,3.479870129870136,7.113203463203463,0.09782264085462093,.,,n/a
gpt-5-standard,grammatical_role,61.19092105626476,66.40849464733235,4.661085428101596,5.217573591067584,5.217573591067584,10.772099386557219,0.029432949039708715,*,,n/a
gpt4o,length_bias,50.42162583083299,55.33775438826589,4.18514164769159,4.916128557432906,4.916128557432906,12.680103712712409,0.07502816649594726,.,,n/a
gpt-5-standard,casual,59.64255193989193,60.112227375132534,0.4169675696098193,0.4696754352406032,0.4696754352406032,7.4323726020194085,0.2775073401833156,ns,,n/a
gpt4o,dialectal,54.25242309433486,53.29012728828906,-0.8345121321714661,0.9622958060458018,0.9622958060458018,5.9221623284123295,0.9031311287173209,ns,,n/a
llama,casual,57.33864061073892,54.85839857088356,-2.180687573805354,2.480242039855362,2.480242039855362,6.411886240028022,0.32006017527077124,ns,,n/a
gpt-5-standard,concept_replacement,56.69614737434805,60.46378170080592,3.303374271583377,3.7676343264578662,3.7676343264578662,8.488527812057223,0.22297072351989677,ns,,n/a
deepseek-r1-deepseek,discourse,53.466404238463056,55.41331759533513,1.6822119685169705,1.9469133568720736,1.9469133568720736,8.699643245566879,0.5537929812191733,ns,,n/a
gpt4o,typo_bias,49.70293071221863,50.25031373854903,0.4642853557960089,0.5473830263304009,0.5473830263304009,6.62697594802858,0.7087599983545603,ns,,n/a
claude,negation,46.497071555895076,46.38791274085391,-0.09100710140567848,0.10915881504116243,0.10915881504116243,3.8667345726169255,0.6767925648835518,ns,,n/a
llama,derivation,60.10592892945834,58.87038508521884,-1.0989651680567123,1.2355438442394941,1.2355438442394941,1.3409456887717763,0.14412703481601533,ns,,n/a
gpt-5-standard,temporal_bias,57.508300792075836,57.99927501931381,0.43199116993446024,0.49097422723797024,0.49097422723797024,7.717959695981674,0.5158871121424602,ns,,n/a
deepseek-r1-deepseek,geographical_bias,58.14878892733563,62.01291627762216,3.4092049396427853,3.8641273502865303,3.8641273502865303,27.809795932633296,0.18672100606964115,ns,,n/a
gpt-5-standard-context-aware,concept_replacement,57.4072924384343,61.0557518221878,3.2087599456476954,3.6484593837535044,3.6484593837535044,5.12091503267974,0.04283332241837765,*,,n/a
gpt-5-standard-context-aware,sentiment,57.78535741950376,59.975962658889486,1.929723655990507,2.190605239385725,2.190605239385725,4.397341592463544,0.06385301013793712,.,,n/a
claude,discourse,53.17179733846401,52.15217652717653,-0.8797703043607973,1.0196208112874814,1.0196208112874814,1.945546737213404,0.2785170238295781,ns,,n/a
deepseek-r1-deepseek,grammatical_role,63.18903672907925,58.397235491494875,-4.31415864689593,4.791801237584373,4.791801237584373,12.374339181568097,0.07673679593331428,.,,n/a
gpt4o,negation,50.77629233511586,50.88517335308779,0.09285705221809633,0.10888101797192462,0.10888101797192462,8.246097337006427,0.4869553398235882,ns,,n/a
gpt4o,concept_replacement,52.96241705238244,57.130484279273205,3.5928068371014046,4.168067226890763,4.168067226890763,6.521008403361344,0.04642778129410519,*,,n/a
gpt4o,compound_word,54.48938694204732,52.89003973682496,-1.3884828096837258,1.599347205222358,1.599347205222358,3.129334965320278,0.5281061253470648,ns,,n/a
llama,sentiment,59.94233860087518,58.20598552305869,-1.543386675643763,1.7363530778164886,1.7363530778164886,2.9171506000774294,0.19212716862511903,ns,,n/a
gpt-5-standard,typo_bias,51.79896508720038,53.21460043224749,1.2134267588450633,1.4156353450471073,1.4156353450471073,7.3110601816484175,0.28130235044552154,ns,,n/a
gpt-5-standard,geographical_bias,66.12886984859303,67.44680700563053,1.1995805359207585,1.3179371570375054,1.3179371570375054,22.023784558386634,0.5105266670112693,ns,,n/a
gpt-5-standard,dialectal,56.47303812744989,56.356123791785556,-0.10240767226525074,0.11691433566433318,0.11691433566433318,7.022127178377179,0.5428024537573732,ns,,n/a
