model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
gpt2,punctuation,94.0,92.0,-2.1,-1.973,0.15729920705028505,0.5822356012669514,0.15729920705028505,ns,False
gpt2,sentiment,88.0,80.0,-9.1,-7.778,0.045500263896358396,0.12423280594720978,0.045500263896358396,*,True
gpt2,typo_bias,88.0,90.0,2.3,1.944,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
t5,geographical_bias,94.0,93.0,-1.1,-0.987,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
t5,negation,95.833,70.833,-26.1,-24.769,9.633570086430963e-07,3.5962299687444368e-06,9.633570086430963e-07,**,True
t5,temporal_bias,94.0,91.0,-3.2,-2.96,0.08326451666355039,0.4233091813305673,0.08326451666355039,.,False
t5,active_to_passive,91.0,90.0,-1.1,-0.98,0.7388826803635273,0.8117668570523625,0.7388826803635273,ns,False
t5,capitalization,94.949,93.939,-1.1,-0.999,0.5637028616507731,0.7593441002143024,0.5637028616507731,ns,False
t5,casual,97.0,92.0,-5.2,-4.967,0.025347318677468256,0.12262920872999976,0.025347318677468256,*,True
t5,compound_word,97.895,94.737,-3.2,-3.143,0.08326451666355039,0.25084942325568205,0.08326451666355039,.,False
t5,concept_replacement,94.0,91.0,-3.2,-2.96,0.17971249487899976,0.4233091813305673,0.17971249487899976,ns,False
t5,coordinating_conjunction,95.0,96.0,1.1,0.989,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
t5,derivation,97.701,95.402,-2.4,-2.287,0.15729920705028505,0.4100555269880384,0.15729920705028505,ns,False
t5,dialectal,93.137,89.216,-4.2,-3.86,0.15729920705028505,0.3258346758020281,0.15729920705028505,ns,False
t5,discourse,89.899,89.899,0.0,0.0,1.0,1.0,1.0,ns,False
t5,grammatical_role,95.455,92.424,-3.2,-3.0,0.15729920705028505,0.4707339067932701,0.15729920705028505,ns,False
t5,length_bias,97.0,94.0,-3.1,-2.98,0.08326451666355039,0.30899876831281614,0.08326451666355039,.,False
t5,punctuation,93.0,93.0,0.0,0.0,1.0,1.0,1.0,ns,False
t5,sentiment,91.0,93.0,2.2,1.959,0.5637028616507731,0.604890024211644,0.5637028616507731,ns,False
t5,typo_bias,95.0,95.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,geographical_bias,92.0,91.0,-1.1,-0.982,0.7388826803635273,0.8022881040498031,0.7388826803635273,ns,False
gpt4o,negation,85.417,75.0,-12.2,-10.06,0.012419330651552268,0.0711171632250253,0.012419330651552268,*,True
gpt4o,temporal_bias,90.0,90.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt4o,active_to_passive,93.0,89.0,-4.3,-3.937,0.045500263896358396,0.3254136366177518,0.045500263896358396,*,True
gpt4o,capitalization,90.909,91.919,1.1,0.989,0.31731050786291415,0.8022218816712998,0.31731050786291415,ns,False
gpt4o,casual,94.0,93.0,-1.1,-0.987,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
gpt4o,compound_word,93.684,91.579,-2.2,-2.075,0.15729920705028505,0.5816361529474783,0.15729920705028505,ns,False
gpt4o,concept_replacement,90.0,88.0,-2.2,-1.954,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
gpt4o,coordinating_conjunction,94.0,93.0,-1.1,-0.987,0.31731050786291415,0.776985535073891,0.31731050786291415,ns,False
gpt4o,derivation,93.103,90.805,-2.5,-2.262,0.15729920705028505,0.5805242589058587,0.15729920705028505,ns,False
gpt4o,dialectal,86.0,81.0,-5.8,-4.836,0.05878172135535887,0.34301439257883637,0.05878172135535887,.,False
gpt4o,discourse,85.859,86.869,1.2,0.977,0.31731050786291415,0.8379809136774126,0.31731050786291415,ns,False
gpt4o,grammatical_role,90.909,92.424,1.7,1.484,0.5637028616507731,0.7573444945945516,0.5637028616507731,ns,False
gpt4o,length_bias,92.0,93.0,1.1,0.982,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
gpt4o,punctuation,90.0,91.0,1.1,0.977,0.31731050786291415,0.8117668570523625,0.31731050786291415,ns,False
gpt4o,sentiment,93.0,91.0,-2.2,-1.968,0.5929800980174267,0.604890024211644,0.5929800980174267,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,geographical_bias,90.0,92.0,2.2,1.954,0.47950012218695337,0.6238051729620078,0.47950012218695337,ns,False
claude-3-5-sonnet,negation,89.583,76.042,-15.1,-13.218,0.0016162222150599855,0.013200482889742909,0.0016162222150599855,**,True
claude-3-5-sonnet,temporal_bias,90.0,94.0,4.4,3.908,0.15729920705028505,0.29956696298984753,0.15729920705028505,ns,False
claude-3-5-sonnet,active_to_passive,90.0,88.0,-2.2,-1.954,0.5270892568655381,0.6537209762319763,0.5270892568655381,ns,False
claude-3-5-sonnet,capitalization,90.909,95.96,5.6,4.946,0.05878172135535887,0.1532548369381298,0.05878172135535887,.,False
claude-3-5-sonnet,casual,94.0,95.0,1.1,0.987,0.7054569861112734,0.7593829555995891,0.7054569861112734,ns,False
claude-3-5-sonnet,compound_word,93.684,94.737,1.1,1.038,0.6547208460185769,0.7591800207291919,0.6547208460185769,ns,False
claude-3-5-sonnet,concept_replacement,94.0,94.0,0.0,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,coordinating_conjunction,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
claude-3-5-sonnet,derivation,90.805,95.402,5.1,4.501,0.10247043485974945,0.23411296962034356,0.10247043485974945,ns,False
claude-3-5-sonnet,dialectal,89.0,83.0,-6.7,-5.848,0.03389485352468924,0.22337017098019374,0.03389485352468924,*,True
claude-3-5-sonnet,discourse,82.828,84.848,2.4,1.937,0.5637028616507731,0.7015651906360449,0.5637028616507731,ns,False
claude-3-5-sonnet,grammatical_role,93.939,92.424,-1.6,-1.494,0.6547208460185769,0.7347675380270102,0.6547208460185769,ns,False
claude-3-5-sonnet,length_bias,91.0,94.0,3.3,2.939,0.31731050786291415,0.4233091813305673,0.31731050786291415,ns,False
claude-3-5-sonnet,punctuation,92.0,93.0,1.1,0.982,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
claude-3-5-sonnet,sentiment,91.0,90.0,-1.1,-0.98,0.7962534147376392,0.8117668570523625,0.7962534147376392,ns,False
claude-3-5-sonnet,typo_bias,91.0,95.0,4.4,3.918,0.10247043485974945,0.27002338044753693,0.10247043485974945,ns,False
llama,geographical_bias,90.0,91.0,1.1,0.977,0.7054569861112734,0.8117668570523625,0.7054569861112734,ns,False
llama,negation,92.708,83.333,-10.1,-9.221,0.020136751550346346,0.04629076060281201,0.020136751550346346,*,True
llama,temporal_bias,95.0,94.0,-1.1,-0.989,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
llama,active_to_passive,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
llama,capitalization,95.96,96.97,1.1,1.001,0.5637028616507731,0.7039618511920571,0.5637028616507731,ns,False
llama,casual,97.0,93.0,-4.1,-3.974,0.10247043485974945,0.19660432660941196,0.10247043485974945,ns,False
llama,compound_word,96.842,95.789,-1.1,-1.046,0.31731050786291415,0.7038954065878588,0.31731050786291415,ns,False
llama,concept_replacement,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
llama,coordinating_conjunction,97.0,96.0,-1.0,-0.993,0.5637028616507731,0.7039775890299466,0.5637028616507731,ns,False
llama,derivation,97.701,95.402,-2.4,-2.287,0.15729920705028505,0.4100555269880384,0.15729920705028505,ns,False
llama,dialectal,92.0,93.0,1.1,0.982,0.6547208460185769,0.7909227822010564,0.6547208460185769,ns,False
llama,discourse,90.909,91.919,1.1,0.989,0.5637028616507731,0.8022218816712998,0.5637028616507731,ns,False
llama,grammatical_role,93.939,95.455,1.6,1.495,0.5637028616507731,0.7031537278408568,0.5637028616507731,ns,False
llama,length_bias,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
llama,punctuation,93.0,96.0,3.2,2.953,0.08326451666355039,0.35493405611632844,0.08326451666355039,.,False
llama,sentiment,95.0,89.0,-6.3,-5.933,0.13361440253771611,0.119388915978008,0.119388915978008,ns,False
llama,typo_bias,95.0,94.0,-1.1,-0.989,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
gpt-5-standard,geographical_bias,92.0,92.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard,negation,91.667,81.25,-11.4,-10.22,0.012419330651552268,0.03559966715957482,0.012419330651552268,*,True
gpt-5-standard,temporal_bias,95.0,96.0,1.1,0.989,0.5637028616507731,0.7362374382775687,0.5637028616507731,ns,False
gpt-5-standard,active_to_passive,96.0,91.0,-5.2,-4.956,0.025347318677468256,0.15338045558418553,0.025347318677468256,*,True
gpt-5-standard,capitalization,95.96,95.96,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard,casual,97.0,94.0,-3.1,-2.98,0.08326451666355039,0.30899876831281614,0.08326451666355039,.,False
gpt-5-standard,compound_word,96.842,95.789,-1.1,-1.046,0.5637028616507731,0.7038954065878588,0.5637028616507731,ns,False
gpt-5-standard,concept_replacement,96.0,95.0,-1.0,-0.991,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
gpt-5-standard,coordinating_conjunction,95.0,95.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard,derivation,95.402,94.253,-1.2,-1.137,0.5637028616507731,0.735818930208611,0.5637028616507731,ns,False
gpt-5-standard,dialectal,95.098,92.157,-3.1,-2.909,0.08326451666355039,0.39255854585286876,0.08326451666355039,.,False
gpt-5-standard,discourse,90.909,90.909,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard,grammatical_role,95.455,93.939,-1.6,-1.501,0.5637028616507731,0.7031537278408568,0.5637028616507731,ns,False
gpt-5-standard,length_bias,97.0,96.0,-1.0,-0.993,0.31731050786291415,0.7039775890299466,0.31731050786291415,ns,False
gpt-5-standard,punctuation,94.0,95.0,1.1,0.987,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
gpt-5-standard,sentiment,95.0,92.0,-3.2,-2.967,0.36571229628151325,0.39229050099736906,0.36571229628151325,ns,False
gpt-5-standard,typo_bias,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,geographical_bias,88.0,88.0,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,negation,89.583,78.125,-12.8,-11.184,0.007632881787792299,0.03156866178991686,0.007632881787792299,**,True
deepseek-r1-deepseek,temporal_bias,94.0,93.0,-1.1,-0.987,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
deepseek-r1-deepseek,active_to_passive,95.0,91.0,-4.2,-3.955,0.045500263896358396,0.27002338044753693,0.045500263896358396,*,True
deepseek-r1-deepseek,capitalization,93.939,94.949,1.1,0.996,0.5637028616507731,0.7593441002143024,0.5637028616507731,ns,False
deepseek-r1-deepseek,casual,97.0,95.0,-2.1,-1.987,0.15729920705028505,0.4738172703770649,0.15729920705028505,ns,False
deepseek-r1-deepseek,compound_word,93.684,93.684,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,concept_replacement,94.0,89.0,-5.3,-4.933,0.025347318677468256,0.2069302545688272,0.025347318677468256,*,True
deepseek-r1-deepseek,coordinating_conjunction,94.0,94.0,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,derivation,97.701,93.103,-4.7,-4.575,0.045500263896358396,0.14998773291906883,0.045500263896358396,*,True
deepseek-r1-deepseek,dialectal,95.098,93.137,-2.1,-1.94,0.31731050786291415,0.5546889277999347,0.31731050786291415,ns,False
deepseek-r1-deepseek,discourse,90.909,87.879,-3.3,-2.967,0.08326451666355039,0.4912483358703865,0.08326451666355039,.,False
deepseek-r1-deepseek,grammatical_role,90.909,92.424,1.7,1.484,0.5637028616507731,0.7573444945945516,0.5637028616507731,ns,False
deepseek-r1-deepseek,length_bias,96.0,95.0,-1.0,-0.991,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
deepseek-r1-deepseek,punctuation,94.0,95.0,1.1,0.987,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
deepseek-r1-deepseek,sentiment,95.0,93.0,-2.1,-1.978,0.5270892568655381,0.5544998267060415,0.5270892568655381,ns,False
deepseek-r1-deepseek,typo_bias,96.0,96.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard-context-aware,geographical_bias,93.0,92.0,-1.1,-0.984,0.6547208460185769,0.7909227822010564,0.6547208460185769,ns,False
gpt-5-standard-context-aware,negation,91.667,85.417,-6.8,-6.132,0.13361440253771611,0.17587681313415537,0.13361440253771611,ns,False
gpt-5-standard-context-aware,temporal_bias,95.0,97.0,2.1,1.978,0.15729920705028505,0.4738172703770649,0.15729920705028505,ns,False
gpt-5-standard-context-aware,active_to_passive,97.0,93.0,-4.1,-3.974,0.045500263896358396,0.19660432660941196,0.045500263896358396,*,True
gpt-5-standard-context-aware,capitalization,95.96,95.96,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard-context-aware,casual,97.0,94.0,-3.1,-2.98,0.08326451666355039,0.30899876831281614,0.08326451666355039,.,False
gpt-5-standard-context-aware,compound_word,97.895,96.842,-1.1,-1.048,0.5637028616507731,0.654684203415891,0.5637028616507731,ns,False
gpt-5-standard-context-aware,concept_replacement,97.0,96.0,-1.0,-0.993,0.31731050786291415,0.7039775890299466,0.31731050786291415,ns,False
gpt-5-standard-context-aware,coordinating_conjunction,97.0,97.0,0.0,0.0,1.0,1.0,1.0,ns,False
gpt-5-standard-context-aware,derivation,96.552,94.253,-2.4,-2.281,0.31731050786291415,0.472934213123538,0.31731050786291415,ns,False
gpt-5-standard-context-aware,dialectal,95.098,93.137,-2.1,-1.94,0.15729920705028505,0.5546889277999347,0.15729920705028505,ns,False
gpt-5-standard-context-aware,discourse,91.919,89.899,-2.2,-1.983,0.31731050786291415,0.6236581626549573,0.31731050786291415,ns,False
gpt-5-standard-context-aware,grammatical_role,95.455,93.939,-1.6,-1.501,0.5637028616507731,0.7031537278408568,0.5637028616507731,ns,False
gpt-5-standard-context-aware,length_bias,97.0,95.0,-2.1,-1.987,0.15729920705028505,0.4738172703770649,0.15729920705028505,ns,False
gpt-5-standard-context-aware,punctuation,94.0,95.0,1.1,0.987,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
gpt-5-standard-context-aware,sentiment,95.0,92.0,-3.2,-2.967,0.36571229628151325,0.39229050099736906,0.36571229628151325,ns,False
gpt-5-standard-context-aware,typo_bias,96.0,95.0,-1.0,-0.991,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
