model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
deepseek-r1-deepseek,dialectal,81.13207547169812,75.47169811320755,-5.403375243336217,5.660377358490564,5.660377358490564,13.20754716981132,0.10880943004054569,ns,,n/a
gpt4o,discourse,88.50574712643679,89.65517241379311,1.1189491221573935,1.1494252873563227,1.1494252873563227,3.4482758620689653,0.5637028616507731,ns,,n/a
claude,active_to_passive,95.0,93.0,-1.9777236052888478,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt-5-standard-context-aware,coordinating_conjunction,91.0,92.0,0.9795206961605468,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,active_to_passive,93.0,88.0,-4.921207371384837,5.0,5.0,9.0,0.09558070454562939,.,,n/a
gpt4o,casual,94.0,94.0,0.0,0.0,0.0,6.0,1.0,ns,,n/a
claude,capitalization,96.875,96.875,0.0,0.0,0.0,2.083333333333333,1.0,ns,,n/a
gpt-5-standard-context-aware,derivation,95.6989247311828,91.39784946236558,-4.260015178690285,4.301075268817215,4.301075268817215,8.60215053763441,0.15729920705028505,ns,,n/a
deepseek-r1-deepseek,capitalization,97.91666666666666,96.875,-1.0369044898750583,1.0416666666666572,1.0416666666666572,1.0416666666666665,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,negation,96.0,73.0,-22.79611917995504,23.0,23.0,25.0,1.5497207641601562e-06,***,,n/a
claude,negation,94.0,70.0,-23.677534243196384,24.0,24.0,30.0,8.430331945419312e-06,***,,n/a
gpt-5-standard,punctuation,97.0,96.0,-0.9933858671331224,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
gpt-5-standard,length_bias,95.0,95.0,0.0,0.0,0.0,6.0,1.0,ns,,n/a
deepseek-r1-deepseek,compound_word,97.0,93.0,-3.9735434685324895,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
gpt-5-standard-context-aware,casual,94.0,89.0,-4.932819633999246,5.0,5.0,7.000000000000001,0.05878172135535887,.,,n/a
gpt-5-standard,discourse,94.25287356321839,93.10344827586206,-1.134652068830517,1.1494252873563227,1.1494252873563227,5.747126436781609,0.6547208460185769,ns,,n/a
llama,active_to_passive,94.0,95.0,0.9865639267998493,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
claude,grammatical_role,95.58823529411765,94.11764705882352,-1.4561797381887032,1.4705882352941302,1.4705882352941302,7.352941176470589,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,temporal_bias,95.0,94.0,-0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,coordinating_conjunction,98.0,94.0,-3.9824521513849898,4.0,4.0,4.0,0.045500263896358396,*,,n/a
llama,compound_word,90.0,91.0,0.9771212547196625,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,length_bias,95.0,92.0,-2.966585407933272,3.0,3.0,7.000000000000001,0.25683925795785656,ns,,n/a
gpt4o,active_to_passive,88.0,87.0,-0.9722413360750843,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
deepseek-r1-deepseek,punctuation,95.0,97.0,1.9777236052888478,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt4o,derivation,96.7741935483871,92.47311827956989,-4.270450668570741,4.301075268817215,4.301075268817215,4.301075268817205,0.045500263896358396,*,,n/a
llama,dialectal,77.35849056603774,81.13207547169812,3.5632226172055534,3.773584905660371,3.773584905660371,7.547169811320755,0.15729920705028505,ns,,n/a
gpt-5-standard,sentiment,96.0,88.0,-7.929084932158274,8.0,8.0,10.0,0.011412036386001646,*,,n/a
deepseek-r1-deepseek,active_to_passive,94.0,93.0,-0.9865639267998493,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
deepseek-r1-deepseek,casual,99.0,95.0,-3.9912703891951,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
llama,typo_bias,95.0,93.0,-1.9777236052888478,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt4o,temporal_bias,90.0,92.0,1.954242509439325,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt-5-standard-context-aware,grammatical_role,95.58823529411765,80.88235294117648,-14.561797381886905,14.705882352941174,14.705882352941174,17.647058823529413,0.0038924171227786276,**,,n/a
claude,punctuation,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,length_bias,96.0,95.0,-0.9911356165197842,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,dialectal,79.24528301886792,81.13207547169812,1.7914843592425618,1.8867924528301927,1.8867924528301927,3.7735849056603774,0.31731050786291415,ns,,n/a
claude,length_bias,92.0,96.0,3.9275756546911107,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
gpt-5-standard-context-aware,punctuation,95.0,96.0,0.9888618026444239,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
claude,temporal_bias,91.0,94.0,2.9385620884816404,3.0,3.0,5.0,0.17971249487899976,ns,,n/a
gpt-5-standard,negation,94.0,77.0,-16.771586755597436,17.0,17.0,25.0,0.0006738585313537617,***,,n/a
gpt-5-standard-context-aware,capitalization,95.83333333333334,95.83333333333334,0.0,0.0,0.0,0.0,1.0,ns,,n/a
gpt-5-standard-context-aware,typo_bias,92.0,96.0,3.9275756546911107,4.0,4.0,4.0,0.045500263896358396,*,,n/a
gpt-5-standard,capitalization,94.79166666666666,94.79166666666666,0.0,0.0,0.0,4.166666666666666,1.0,ns,,n/a
gpt-5-standard,compound_word,95.0,89.0,-5.933170815866544,6.0,6.0,8.0,0.03389485352468924,*,,n/a
gpt-5-standard-context-aware,negation,94.0,72.0,-21.704406389596684,22.0,22.0,28.000000000000004,2.744048833847046e-05,***,,n/a
gpt-5-standard,active_to_passive,95.0,90.0,-4.94430901322212,5.0,5.0,9.0,0.09558070454562939,.,,n/a
claude,typo_bias,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt4o,sentiment,91.0,92.0,0.9795206961605468,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
deepseek-r1-deepseek,concept_replacement,98.0,94.0,-3.9824521513849898,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
claude,dialectal,82.0754716981132,82.0754716981132,0.0,0.0,0.0,15.09433962264151,1.0,ns,,n/a
gpt4o,punctuation,90.0,91.0,0.9771212547196625,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
gpt-5-standard,grammatical_role,95.58823529411765,82.35294117647058,-13.10561764369823,13.235294117647072,13.235294117647072,16.176470588235293,0.006655605482949377,**,,n/a
gpt4o,length_bias,92.0,92.0,0.0,0.0,0.0,4.0,1.0,ns,,n/a
gpt-5-standard,casual,93.0,91.0,-1.968482948553935,2.0,2.0,6.0,0.4142161782425253,ns,,n/a
gpt4o,dialectal,83.9622641509434,80.18867924528303,-3.630347436566301,3.773584905660371,3.773584905660371,11.320754716981133,0.2482130789899235,ns,,n/a
llama,casual,97.0,95.0,-1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a
gpt-5-standard,concept_replacement,93.0,85.0,-7.87393179421574,8.0,8.0,10.0,0.011412036386001646,*,,n/a
deepseek-r1-deepseek,discourse,96.55172413793103,93.10344827586206,-3.4220000576608007,3.448275862068968,3.448275862068968,5.747126436781609,0.17971249487899976,ns,,n/a
gpt4o,typo_bias,92.0,92.0,0.0,0.0,0.0,8.0,1.0,ns,,n/a
claude,sentiment,97.0,95.0,-1.9867717342662448,2.0,2.0,6.0,0.4142161782425253,ns,,n/a
claude,coordinating_conjunction,96.0,95.0,-0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
llama,derivation,96.7741935483871,95.6989247311828,-1.0676126671426853,1.0752688172043037,1.0752688172043037,1.0752688172043012,0.31731050786291415,ns,,n/a
gpt-5-standard,temporal_bias,97.0,96.0,-0.9933858671331224,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,geographical_bias,96.73913043478261,85.86956521739131,-10.791316191844327,10.869565217391298,10.869565217391298,13.043478260869565,0.0038924171227786276,**,,n/a
claude,compound_word,94.0,95.0,0.9865639267998493,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
gpt-5-standard-context-aware,concept_replacement,93.0,94.0,0.9842414742769675,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,sentiment,96.0,90.0,-5.946813699118705,6.0,6.0,10.0,0.05777957112359726,.,,n/a
claude,casual,98.0,98.0,0.0,0.0,0.0,4.0,1.0,ns,,n/a
deepseek-r1-deepseek,grammatical_role,98.52941176470588,79.41176470588235,-19.056144536713,19.117647058823536,19.117647058823536,19.11764705882353,0.000244140625,***,,n/a
gpt4o,negation,89.0,70.0,-18.519205063126673,19.0,19.0,31.0,0.0006436975254696865,***,,n/a
gpt4o,concept_replacement,89.0,89.0,0.0,0.0,0.0,8.0,1.0,ns,,n/a
gpt4o,compound_word,96.0,94.0,-1.9822712330395684,2.0,2.0,4.0,0.31731050786291415,ns,,n/a
llama,sentiment,96.0,92.0,-3.964542466079137,4.0,4.0,4.0,0.045500263896358396,*,,n/a
gpt-5-standard,typo_bias,92.0,93.0,0.9818939136727777,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
claude,derivation,94.6236559139785,97.84946236559139,3.187096328381015,3.225806451612897,3.225806451612897,5.376344086021505,0.17971249487899976,ns,,n/a
gpt-5-standard,geographical_bias,91.30434782608695,77.17391304347827,-13.851298349626212,14.130434782608688,14.130434782608688,18.478260869565215,0.0016162222150599855,**,,n/a
gpt-5-standard,dialectal,78.30188679245283,78.30188679245283,0.0,0.0,0.0,5.660377358490567,1.0,ns,,n/a
