model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
gpt-5-standard,length_bias,87.87878787878788,91.91919191919192,3.9270385010526647,4.0404040404040416,4.0404040404040416,8.080808080808081,0.15729920705028505,ns,,n/a
deepseek-r1-deepseek,compound_word,90.625,90.625,0.0,0.0,0.0,4.166666666666666,1.0,ns,,n/a
gpt-5-standard-context-aware,casual,90.0,85.0,-4.885606273598312,5.0,5.0,11.0,0.13166801602281422,ns,,n/a
gpt-5-standard,discourse,84.0,81.0,-2.886418929092822,3.0,3.0,9.0,0.31731050786291415,ns,,n/a
llama,active_to_passive,82.10526315789474,81.05263157894737,-1.007563682842966,1.05263157894737,1.05263157894737,30.526315789473685,0.8526836843346426,ns,,n/a
claude,grammatical_role,86.11111111111111,84.72222222222221,-1.3437911062965282,1.3888888888889,1.3888888888889,18.055555555555554,0.7815112949987133,ns,,n/a
gpt-5-standard-context-aware,temporal_bias,90.0,91.0,0.9771212547196625,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,coordinating_conjunction,87.62886597938144,85.56701030927834,-2.0027290633485095,2.0618556701030997,2.0618556701030997,6.185567010309279,0.4142161782425253,ns,,n/a
llama,compound_word,87.5,87.5,0.0,0.0,0.0,6.25,1.0,ns,,n/a
deepseek-r1-deepseek,length_bias,83.83838383838383,86.86868686868688,2.914307420876566,3.0303030303030454,3.0303030303030454,13.131313131313133,0.40538055645894233,ns,,n/a
gpt4o,active_to_passive,80.0,83.15789473684211,3.004878926829389,3.1578947368421098,3.1578947368421098,26.31578947368421,0.5485062355001472,ns,,n/a
deepseek-r1-deepseek,punctuation,87.87878787878788,89.8989898989899,1.9635192505263324,2.0202020202020208,2.0202020202020208,4.040404040404041,0.31731050786291415,ns,,n/a
gpt4o,derivation,80.61224489795919,80.61224489795919,0.0,0.0,0.0,4.081632653061225,1.0,ns,,n/a
llama,dialectal,78.43137254901961,67.64705882352942,-10.215386258593275,10.784313725490193,10.784313725490193,16.666666666666664,0.007632881787792299,**,,n/a
gpt-5-standard,sentiment,86.0,85.0,-0.9672492256217838,1.0,1.0,5.0,0.6547208460185769,ns,,n/a
deepseek-r1-deepseek,active_to_passive,88.42105263157895,87.36842105263159,-1.0245029898805318,1.0526315789473557,1.0526315789473557,15.789473684210526,0.7962534147376392,ns,,n/a
deepseek-r1-deepseek,casual,85.0,83.0,-1.9294189257142926,2.0,2.0,12.0,0.5637028616507731,ns,,n/a
llama,typo_bias,79.59183673469387,77.55102040816327,-1.9396617622428336,2.040816326530603,2.040816326530603,4.081632653061225,0.31731050786291415,ns,,n/a
gpt4o,temporal_bias,81.0,79.0,-1.9084850188786497,2.0,2.0,8.0,0.47950012218695337,ns,,n/a
gpt-5-standard-context-aware,grammatical_role,91.66666666666666,83.33333333333334,-8.175880996294149,8.333333333333314,8.333333333333314,13.88888888888889,0.05777957112359726,.,,n/a
claude,punctuation,85.85858585858585,84.84848484848484,-0.9766584500589612,1.0101010101010104,1.0101010101010104,3.0303030303030303,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,length_bias,86.86868686868688,90.9090909090909,3.9168954679717403,4.040404040404027,4.040404040404027,8.080808080808081,0.15729920705028505,ns,,n/a
gpt-5-standard-context-aware,dialectal,78.43137254901961,77.45098039215686,-0.9286714780539378,0.9803921568627487,0.9803921568627487,4.901960784313726,0.6547208460185769,ns,,n/a
claude,length_bias,84.84848484848484,84.84848484848484,0.0,0.0,0.0,20.2020202020202,1.0,ns,,n/a
gpt-5-standard-context-aware,punctuation,90.9090909090909,89.8989898989899,-0.9891956135564522,1.0101010101010104,1.0101010101010104,1.0101010101010102,0.31731050786291415,ns,,n/a
claude,temporal_bias,85.0,86.0,0.9647094628571463,1.0,1.0,1.0,0.31731050786291415,ns,,n/a
gpt-5-standard,negation,84.6938775510204,76.53061224489795,-7.868783741565634,8.163265306122454,8.163265306122454,22.448979591836736,0.0880815116621903,.,,n/a
gpt-5-standard-context-aware,capitalization,94.94949494949495,93.93939393939394,-0.9987336661627016,1.0101010101010104,1.0101010101010104,1.0101010101010102,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,typo_bias,85.71428571428571,86.73469387755102,0.9862516379435738,1.0204081632653157,1.0204081632653157,3.061224489795918,0.5637028616507731,ns,,n/a
gpt-5-standard,capitalization,92.92929292929293,92.92929292929293,0.0,0.0,0.0,2.0202020202020203,1.0,ns,,n/a
gpt-5-standard,compound_word,93.75,92.70833333333334,-1.0270683731248638,1.0416666666666572,1.0416666666666572,3.125,0.5637028616507731,ns,,n/a
gpt-5-standard-context-aware,negation,83.6734693877551,77.55102040816327,-5.885472785789455,6.122448979591837,6.122448979591837,20.408163265306122,0.17971249487899976,ns,,n/a
gpt-5-standard,active_to_passive,91.57894736842105,88.42105263157895,-3.0975720747312216,3.1578947368421098,3.1578947368421098,9.473684210526317,0.31731050786291415,ns,,n/a
claude,typo_bias,81.63265306122449,83.6734693877551,1.9508815421422994,2.040816326530617,2.040816326530617,2.0408163265306123,0.15729920705028505,ns,,n/a
gpt4o,sentiment,80.0,80.0,0.0,0.0,0.0,8.0,1.0,ns,,n/a
deepseek-r1-deepseek,concept_replacement,80.0,74.0,-5.70926996097583,6.0,6.0,10.0,0.05777957112359726,.,,n/a
claude,dialectal,76.47058823529412,70.58823529411765,-5.53968950273106,5.882352941176464,5.882352941176464,11.76470588235294,0.08326451666355039,.,,n/a
gpt4o,punctuation,83.83838383838383,82.82828282828282,-0.9714358069588508,1.0101010101010104,1.0101010101010104,1.0101010101010102,0.31731050786291415,ns,,n/a
gpt-5-standard,grammatical_role,93.05555555555556,81.94444444444444,-10.937457257053103,11.111111111111114,11.111111111111114,16.666666666666664,0.020921335337794018,*,,n/a
gpt4o,length_bias,79.7979797979798,84.84848484848484,4.803009840133552,5.050505050505038,5.050505050505038,15.151515151515152,0.19670560245894686,ns,,n/a
gpt-5-standard,casual,92.0,84.0,-7.855151309382221,8.0,8.0,14.000000000000002,0.032509444645719525,*,,n/a
gpt4o,dialectal,71.56862745098039,68.62745098039215,-2.7275333652331417,2.941176470588232,2.941176470588232,24.509803921568626,0.5485062355001472,ns,,n/a
llama,casual,80.0,76.0,-3.806179973983887,4.0,4.0,14.000000000000002,0.28504940740261275,ns,,n/a
gpt-5-standard,concept_replacement,85.0,79.0,-5.788256777142878,6.0,6.0,10.0,0.05777957112359726,.,,n/a
deepseek-r1-deepseek,discourse,84.0,79.0,-4.810698215154704,5.0,5.0,11.0,0.13166801602281422,ns,,n/a
gpt4o,typo_bias,81.63265306122449,78.57142857142857,-2.926322313213442,3.0612244897959187,3.0612244897959187,5.1020408163265305,0.17971249487899976,ns,,n/a
claude,sentiment,82.0,81.0,-0.9569069261918584,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a
claude,coordinating_conjunction,83.50515463917526,85.56701030927834,1.9811477160952558,2.0618556701030855,2.0618556701030855,4.123711340206185,0.31731050786291415,ns,,n/a
llama,derivation,86.73469387755102,85.71428571428571,-0.9888739030723552,1.0204081632653157,1.0204081632653157,1.0204081632653061,0.31731050786291415,ns,,n/a
gpt-5-standard,temporal_bias,91.0,90.0,-0.9795206961605468,1.0,1.0,3.0,0.5637028616507731,ns,,n/a
deepseek-r1-deepseek,geographical_bias,81.0,79.0,-1.9084850188786497,2.0,2.0,10.0,0.5270892568655381,ns,,n/a
claude,compound_word,89.58333333333334,87.5,-2.0335700189625086,2.083333333333343,2.083333333333343,6.25,0.4142161782425253,ns,,n/a
gpt-5-standard-context-aware,concept_replacement,87.0,82.0,-4.8487981315465465,5.0,5.0,13.0,0.16551785869747015,ns,,n/a
gpt-5-standard-context-aware,sentiment,88.0,88.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a
claude,casual,84.0,80.0,-3.848558572123763,4.0,4.0,14.000000000000002,0.28504940740261275,ns,,n/a
deepseek-r1-deepseek,grammatical_role,87.5,86.11111111111111,-1.3486167034877143,1.3888888888888857,1.3888888888888857,20.833333333333336,0.7962534147376392,ns,,n/a
gpt4o,negation,81.63265306122449,70.40816326530613,-10.729848481782613,11.224489795918359,11.224489795918359,21.428571428571427,0.016377308341494895,*,,n/a
gpt4o,concept_replacement,74.0,73.0,-0.9346158598654881,1.0,1.0,11.0,0.763024600552995,ns,,n/a
gpt4o,compound_word,86.45833333333334,83.33333333333334,-3.02626071771329,3.125,3.125,5.208333333333334,0.17971249487899976,ns,,n/a
llama,sentiment,83.0,84.0,0.959539046188037,1.0,1.0,9.0,0.7388826803635273,ns,,n/a
gpt-5-standard,typo_bias,85.71428571428571,82.6530612244898,-2.9587549138306803,3.0612244897959044,3.0612244897959044,7.142857142857142,0.25683925795785656,ns,,n/a
claude,derivation,84.6938775510204,85.71428571428571,0.9835979676956992,1.0204081632653015,1.0204081632653015,1.0204081632653061,0.31731050786291415,ns,,n/a
gpt-5-standard,geographical_bias,87.0,83.0,-3.879038505237237,4.0,4.0,6.0,0.10247043485974945,ns,,n/a
gpt-5-standard,dialectal,76.47058823529412,75.49019607843137,-0.9232815837885147,0.9803921568627487,0.9803921568627487,2.941176470588235,0.5637028616507731,ns,,n/a
