model,modification,task,model_type,accuracy,total_samples,filename
claude,discourse,dialogue,llm,0.0,87,claude-3-5-sonnet-0shot-discourse_100
gpt4o,capitalization,dialogue,llm,0.0,96,gpt4o-0shot-capitalization_100
claude,concept_replacement,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-concept_replacement_100
llama,punctuation,dialogue,llm,0.0,100,llama-0shot-punctuation_100
llama,length_bias,dialogue,llm,0.0,100,llama-0shot-length_bias_100
mixtral,capitalization,dialogue,llm,0.0,96,mixtral-0shot-capitalization_100
llama,capitalization,dialogue,llm,0.0,96,llama-0shot-capitalization_100
gpt-5,coordinating_conjunction,dialogue,llm,0.0,100,gpt-5-standard-0shot-coordinating_conjunction_100
gpt4o,discourse,dialogue,llm,0.0,87,gpt4o-0shot-discourse_100
claude,active_to_passive,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-active_to_passive_100
gpt4o,casual,dialogue,llm,0.0,100,gpt4o-0shot-casual_100
claude,capitalization,dialogue,llm,0.0,96,claude-3-5-sonnet-0shot-capitalization_100
mixtral,compound_word,dialogue,llm,0.0,100,mixtral-0shot-compound_word_100
claude,cot-dialogue,dialogue,llm,0.0,4215,claude-3-5-sonnet-0shot-cot-dialogue
llama,singlish,dialogue,llm,0.0,106,llama-0shot-singlish_100
claude,negation,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-negation_100
gpt-5,punctuation,dialogue,llm,0.0,100,gpt-5-standard-0shot-punctuation_100
gpt-5,length_bias,dialogue,llm,0.0,100,gpt-5-standard-0shot-length_bias_100
mixtral,negation,dialogue,llm,0.0,100,mixtral-0shot-negation_100
gpt-5,discourse,dialogue,llm,0.0,87,gpt-5-standard-0shot-discourse_100
llama,active_to_passive,dialogue,llm,0.0,100,llama-0shot-active_to_passive_100
claude,grammatical_role,dialogue,llm,0.0,68,claude-3-5-sonnet-0shot-grammatical_role_100
gpt4o,dialogue,dialogue,llm,93.1214421252372,4216,gpt4o-0shot-dialogue
llama,compound_word,dialogue,llm,0.0,100,llama-0shot-compound_word_100
gpt4o,active_to_passive,dialogue,llm,0.0,100,gpt4o-0shot-active_to_passive_100
mixtral,dialogue,dialogue,llm,85.64990512333965,4216,mixtral-0shot-dialogue
gpt4o,derivation,dialogue,llm,0.0,93,gpt4o-0shot-derivation_100
llama,dialectal,dialogue,llm,0.0,100,llama-0shot-dialectal_100
gpt4o,singlish,dialogue,llm,0.0,106,gpt4o-0shot-singlish_100
gpt-5,sentiment,dialogue,llm,0.0,100,gpt-5-standard-0shot-sentiment_100
llama,typo_bias,dialogue,llm,0.0,100,llama-0shot-typo_bias_100
gpt4o,temporal_bias,dialogue,llm,0.0,100,gpt4o-0shot-temporal_bias_100
gpt-5,dialogue,dialogue,llm,93.3111954459203,4216,gpt-5-standard-0shot-dialogue
claude,punctuation,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-punctuation_100
claude,length_bias,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-length_bias_100
claude,temporal_bias,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-temporal_bias_100
gpt-5,negation,dialogue,llm,0.0,100,gpt-5-standard-0shot-negation_100
mixtral,typo_bias,dialogue,llm,0.0,100,mixtral-0shot-typo_bias_100
gpt-5,capitalization,dialogue,llm,0.0,96,gpt-5-standard-0shot-capitalization_100
mixtral,geographical_bias,dialogue,llm,0.0,92,mixtral-0shot-geographical_bias_100
gpt-5,compound_word,dialogue,llm,0.0,100,gpt-5-standard-0shot-compound_word_100
mixtral,dialectal,dialogue,llm,0.0,100,mixtral-0shot-dialectal_100
gpt-5,active_to_passive,dialogue,llm,0.0,100,gpt-5-standard-0shot-active_to_passive_100
claude,typo_bias,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-typo_bias_100
gpt4o,sentiment,dialogue,llm,0.0,100,gpt4o-0shot-sentiment_100
claude,dialectal,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-dialectal_100
gpt4o,punctuation,dialogue,llm,0.0,100,gpt4o-0shot-punctuation_100
gpt-5,grammatical_role,dialogue,llm,0.0,68,gpt-5-standard-0shot-grammatical_role_100
gpt4o,length_bias,dialogue,llm,0.0,100,gpt4o-0shot-length_bias_100
gpt-5,casual,dialogue,llm,0.0,100,gpt-5-standard-0shot-casual_100
mixtral,grammatical_role,dialogue,llm,0.0,75,mixtral-0shot-grammatical_role_100
gpt4o,dialectal,dialogue,llm,0.0,100,gpt4o-0shot-dialectal_100
llama,casual,dialogue,llm,0.0,100,llama-0shot-casual_100
gpt-5,concept_replacement,dialogue,llm,0.0,100,gpt-5-standard-0shot-concept_replacement_100
claude,3-5-sonnet-DP,dialogue,llm,0.0,18,claude-3-5-sonnet-DP
mixtral,concept_replacement,dialogue,llm,0.0,100,mixtral-0shot-concept_replacement_100
mixtral,dialogue,dialogue,llm,86.12428842504744,4216,mixtral-8x22b-0shot-dialogue
gpt4o,typo_bias,dialogue,llm,0.0,100,gpt4o-0shot-typo_bias_100
claude,sentiment,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-sentiment_100
claude,coordinating_conjunction,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-coordinating_conjunction_100
llama,derivation,dialogue,llm,0.0,93,llama-0shot-derivation_100
gpt4o,cot-dialogue,dialogue,llm,90.7258064516129,4216,gpt4o-0shot-cot-dialogue
gpt-5,temporal_bias,dialogue,llm,0.0,100,gpt-5-standard-0shot-temporal_bias_100
mixtral,derivation,dialogue,llm,0.0,54,mixtral-0shot-derivation_100
mixtral,sentiment,dialogue,llm,0.0,100,mixtral-0shot-sentiment_100
claude,compound_word,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-compound_word_100
claude,casual,dialogue,llm,0.0,100,claude-3-5-sonnet-0shot-casual_100
mixtral,casual,dialogue,llm,0.0,100,mixtral-0shot-casual_100
gpt4o,negation,dialogue,llm,0.0,100,gpt4o-0shot-negation_100
claude,dialogue,dialogue,llm,94.82676791646891,4214,claude-3-5-sonnet-0shot-dialogue
gpt4o,concept_replacement,dialogue,llm,0.0,100,gpt4o-0shot-concept_replacement_100
gpt4o,compound_word,dialogue,llm,0.0,100,gpt4o-0shot-compound_word_100
llama,sentiment,dialogue,llm,0.0,100,llama-0shot-sentiment_100
gpt-5,typo_bias,dialogue,llm,0.0,100,gpt-5-standard-0shot-typo_bias_100
claude,derivation,dialogue,llm,0.0,93,claude-3-5-sonnet-0shot-derivation_100
gpt-5,geographical_bias,dialogue,llm,0.0,92,gpt-5-standard-0shot-geographical_bias_100
gpt-5,dialectal,dialogue,llm,0.0,106,gpt-5-standard-0shot-dialectal_100
mixtral,active_to_passive,dialogue,llm,0.0,100,mixtral-0shot-active_to_passive_100
llama,concept_replacement,ner,llm,0.0,85,llama-0shot-concept_replacement_100
claude,capitalization_new,ner,llm,0.0,100,claude-0shot-capitalization_100_new
gpt4o,sentiment_new,ner,llm,0.0,123,gpt4o-0shot-sentiment_100_new
llama,negation,ner,llm,0.0,110,llama-0shot-negation_100
llama,temporal_bias,ner,llm,0.0,91,llama-0shot-temporal_bias_100
llama,discourse_compare,ner,llm,0.0,72,llama-0shot-discourse_100_compare
gpt4o,coordinating_conjunction,ner,llm,0.0,61,gpt4o-0shot-coordinating_conjunction_100
llama,sentiment_compare,ner,llm,0.0,123,llama-0shot-sentiment_100_compare
llama,grammatical_role,ner,llm,0.0,83,llama-0shot-grammatical_role_100
gpt4o,grammatical_role,ner,llm,0.0,83,gpt4o-0shot-grammatical_role_100
claude,compound_word_compare,ner,llm,0.0,86,claude-0shot-compound_word_100_compare
llama,discourse,ner,llm,0.0,72,llama-0shot-discourse_100
gpt4o,discourse_compare,ner,llm,0.0,72,gpt4o-0shot-discourse_100_compare
gpt4o,sentiment_compare,ner,llm,0.0,123,gpt4o-0shot-sentiment_100_compare
llama,derivation_compare,ner,llm,0.0,69,llama-0shot-derivation_100_compare
llama,coordinating_conjunction,ner,llm,0.0,61,llama-0shot-coordinating_conjunction_100
gpt4o,ner,ner,llm,7.968127490039841,251,gpt4o-0shot-ner
claude,punctuation,ner,llm,0.0,100,claude-0shot-punctuation_100
llama,length_bias_compare,ner,llm,0.0,92,llama-0shot-length_bias_100_compare
claude,sentiment,ner,llm,0.0,123,claude-0shot-sentiment_100
claude,geographical_bias,ner,llm,0.0,102,claude-0shot-geographical_bias_100
claude,length_bias,ner,llm,0.0,92,claude-0shot-length_bias_100
gpt4o,concept_replacement_compare,ner,llm,0.0,85,gpt4o-0shot-concept_replacement_100_compare
claude,grammatical_role,ner,llm,0.0,83,claude-0shot-grammatical_role_100
gpt4o,punctuation_new,ner,llm,0.0,100,gpt4o-0shot-punctuation_100_new
claude,compound_word,ner,llm,0.0,86,claude-0shot-compound_word_100
llama,geographical_bias,ner,llm,0.0,102,llama-0shot-geographical_bias_100
gpt4o,coordinating_conjunction_compare,ner,llm,0.0,61,gpt4o-0shot-coordinating_conjunction_100_compare
llama,singlish_new,ner,llm,0.0,96,llama-0shot-singlish_100_new
gpt4o,geographical_bias,ner,llm,0.0,102,gpt4o-0shot-geographical_bias_100
gpt-5,derivation,ner,llm,0.0,69,gpt-5-standard-0shot-derivation_100
gpt4o,capitalization,ner,llm,0.0,100,gpt4o-0shot-capitalization_100
claude,capitalization,ner,llm,0.0,100,claude-0shot-capitalization_100
llama,punctuation,ner,llm,0.0,100,llama-0shot-punctuation_100
gpt4o,derivation_new,ner,llm,0.0,69,gpt4o-0shot-derivation_100_new
claude,derivation_new,ner,llm,0.0,69,claude-0shot-derivation_100_new
claude,discourse_compare,ner,llm,0.0,72,claude-0shot-discourse_100_compare
llama,compound_word_compare,ner,llm,0.0,86,llama-0shot-compound_word_100_compare
claude,sentiment_compare,ner,llm,0.0,123,claude-0shot-sentiment_100_compare
gpt4o,casual_compare,ner,llm,0.0,92,gpt4o-0shot-casual_100_compare
claude,punctuation_new,ner,llm,0.0,100,claude-0shot-punctuation_100_new
llama,length_bias,ner,llm,0.0,92,llama-0shot-length_bias_100
claude,casual_compare,ner,llm,0.0,92,claude-0shot-casual_100_compare
gpt4o,discourse_new,ner,llm,0.0,72,gpt4o-0shot-discourse_100_new
llama,capitalization,ner,llm,0.0,100,llama-0shot-capitalization_100
claude,temporal_bias_new,ner,llm,0.0,91,claude-0shot-temporal_bias_100_new
claude,negation_new,ner,llm,0.0,110,claude-0shot-negation_100_new
gpt4o,dialectal_new,ner,llm,0.0,99,gpt4o-0shot-dialectal_100_new
gpt-5,coordinating_conjunction,ner,llm,0.0,61,gpt-5-standard-0shot-coordinating_conjunction_100
llama,coordinating_conjunction_new,ner,llm,0.0,61,llama-0shot-coordinating_conjunction_100_new
llama,casual_compare,ner,llm,0.0,92,llama-0shot-casual_100_compare
claude,active_to_passive,ner,llm,0.0,81,claude-0shot-active_to_passive_100
llama,derivation_new,ner,llm,0.0,69,llama-0shot-derivation_100_new
gpt4o,discourse,ner,llm,0.0,72,gpt4o-0shot-discourse_100
gpt4o,typo_bias_new,ner,llm,0.0,100,gpt4o-0shot-typo_bias_100_new
claude,temporal_bias,ner,llm,0.0,91,claude-0shot-temporal_bias_100
claude,typo_bias,ner,llm,0.0,100,claude-0shot-typo_bias_100
claude,coordinating_conjunction,ner,llm,0.0,61,claude-0shot-coordinating_conjunction_100
gpt4o,compound_word_compare,ner,llm,0.0,86,gpt4o-0shot-compound_word_100_compare
llama,punctuation_new,ner,llm,0.0,100,llama-0shot-punctuation_100_new
claude,active_to_passive_compare,ner,llm,0.0,81,claude-0shot-active_to_passive_100_compare
llama,singlish,ner,llm,0.0,96,llama-0shot-singlish_100
claude,dialectal,ner,llm,0.0,99,claude-0shot-dialectal_100
claude,capitalization_compare,ner,llm,0.0,100,claude-0shot-capitalization_100_compare
gpt-5,punctuation,ner,llm,0.0,100,gpt-5-standard-0shot-punctuation_100
claude,concept_replacement_new,ner,llm,0.0,85,claude-0shot-concept_replacement_100_new
gpt-5,length_bias,ner,llm,0.0,92,gpt-5-standard-0shot-length_bias_100
gpt4o,derivation_compare,ner,llm,0.0,69,gpt4o-0shot-derivation_100_compare
claude,length_bias_compare,ner,llm,0.0,92,claude-0shot-length_bias_100_compare
gpt4o,singlish_new,ner,llm,0.0,96,gpt4o-0shot-singlish_100_new
gpt-5,discourse,ner,llm,0.0,72,gpt-5-standard-0shot-discourse_100
llama,active_to_passive,ner,llm,0.0,81,llama-0shot-active_to_passive_100
gpt4o,temporal_bias_new,ner,llm,0.0,91,gpt4o-0shot-temporal_bias_100_new
gpt4o,active_to_passive_compare,ner,llm,0.0,81,gpt4o-0shot-active_to_passive_100_compare
claude,concept_replacement,ner,llm,0.0,85,claude-0shot-concept_replacement_100
gpt4o,capitalization_compare,ner,llm,0.0,100,gpt4o-0shot-capitalization_100_compare
llama,compound_word,ner,llm,0.0,86,llama-0shot-compound_word_100
gpt4o,active_to_passive,ner,llm,0.0,81,gpt4o-0shot-active_to_passive_100
llama,temporal_bias_new,ner,llm,0.0,91,llama-0shot-temporal_bias_100_new
llama,geographical_bias_compare,ner,llm,0.0,102,llama-0shot-geographical_bias_100_compare
gpt4o,punctuation_compare,ner,llm,0.0,100,gpt4o-0shot-punctuation_100_compare
claude,grammatical_role_new,ner,llm,0.0,83,claude-0shot-grammatical_role_100_new
llama,ner,ner,llm,6.772908366533864,251,llama-0shot-ner
llama,capitalization_compare,ner,llm,0.0,100,llama-0shot-capitalization_100_compare
gpt4o,derivation,ner,llm,0.0,69,gpt4o-0shot-derivation_100
llama,dialectal,ner,llm,0.0,99,llama-0shot-dialectal_100
claude,length_bias_new,ner,llm,0.0,92,claude-0shot-length_bias_100_new
gpt-5,sentiment,ner,llm,0.0,123,gpt-5-standard-0shot-sentiment_100
llama,sentiment_new,ner,llm,0.0,123,llama-0shot-sentiment_100_new
llama,concept_replacement_new,ner,llm,0.0,85,llama-0shot-concept_replacement_100_new
llama,casual_new,ner,llm,0.0,98,llama-0shot-casual_100_new
claude,typo_bias_new,ner,llm,0.0,100,claude-0shot-typo_bias_100_new
llama,concept_replacement_compare,ner,llm,0.0,85,llama-0shot-concept_replacement_100_compare
llama,typo_bias,ner,llm,0.0,100,llama-0shot-typo_bias_100
gpt4o,temporal_bias,ner,llm,0.0,91,gpt4o-0shot-temporal_bias_100
llama,punctuation_compare,ner,llm,0.0,100,llama-0shot-punctuation_100_compare
claude,dialectal_new,ner,llm,0.0,99,claude-0shot-dialectal_100_new
claude,temporal_bias_compare,ner,llm,0.0,91,claude-0shot-temporal_bias_100_compare
gpt4o,dialectal_compare,ner,llm,0.0,99,gpt4o-0shot-dialectal_100_compare
claude,discourse_new,ner,llm,0.0,72,claude-0shot-discourse_100_new
claude,compound_word_new,ner,llm,0.0,86,claude-0shot-compound_word_100_new
gpt4o,length_bias_new,ner,llm,0.0,92,gpt4o-0shot-length_bias_100_new
llama,dialectal_compare,ner,llm,0.0,99,llama-0shot-dialectal_100_compare
gpt-5,negation,ner,llm,0.0,110,gpt-5-standard-0shot-negation_100
gpt4o,grammatical_role_new,ner,llm,0.0,83,gpt4o-0shot-grammatical_role_100_new
claude,active_to_passive_new,ner,llm,0.0,81,claude-0shot-active_to_passive_100_new
llama,geographical_bias_new,ner,llm,0.0,102,llama-0shot-geographical_bias_100_new
llama,grammatical_role_new,ner,llm,0.0,83,llama-0shot-grammatical_role_100_new
llama,temporal_bias_compare,ner,llm,0.0,91,llama-0shot-temporal_bias_100_compare
