model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
t5,casual,0.97,0.92,-5.2,0.025347318677468252,0.12262920872999979,0.025347318677468252,*,True
t5,concept_replacement,0.94,0.91,-3.2,0.17971249487899976,0.4233091813305673,0.17971249487899976,ns,False
t5,discourse,0.899,0.899,0.0,1.0,1.0,1.0,ns,False
t5,typo_bias,0.95,0.95,0.0,1.0,1.0,1.0,ns,False
t5,geographical_bias,0.94,0.93,-1.1,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
gpt4o,grammatical_role,0.909,0.924,1.7,0.5637028616507731,0.7573444945945516,0.5637028616507731,ns,False
gpt4o,temporal_bias,0.9,0.9,0.0,1.0,1.0,1.0,ns,False
gpt4o,length_bias,0.92,0.93,1.1,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
gpt4o,sentiment,0.93,0.91,-2.2,0.5929800980174267,0.604890024211644,0.5929800980174267,ns,False
gpt4o,dialectal,0.86,0.81,-5.8,0.05878172135535886,0.34301439257883637,0.05878172135535886,.,False
gpt4o,compound_word,0.937,0.916,-2.2,0.15729920705028502,0.5816361529474783,0.15729920705028502,ns,False
gpt4o,punctuation,0.9,0.91,1.1,0.31731050786291415,0.8117668570523625,0.31731050786291415,ns,False
gpt4o,negation,0.854,0.75,-12.2,0.012419330651552265,0.07111716322502529,0.012419330651552265,*,True
gpt4o,coordinating_conjunction,0.94,0.93,-1.1,0.31731050786291415,0.776985535073891,0.31731050786291415,ns,False
gpt4o,derivation,0.931,0.908,-2.5,0.15729920705028502,0.5805242589058587,0.15729920705028502,ns,False
gpt4o,capitalization,0.909,0.919,1.1,0.31731050786291415,0.8022218816712998,0.31731050786291415,ns,False
gpt4o,active_to_passive,0.93,0.89,-4.3,0.04550026389635839,0.3254136366177518,0.04550026389635839,*,True
gpt4o,casual,0.94,0.93,-1.1,0.5637028616507731,0.776985535073891,0.5637028616507731,ns,False
gpt4o,concept_replacement,0.9,0.88,-2.2,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
gpt4o,discourse,0.859,0.869,1.2,0.31731050786291415,0.8379809136774126,0.31731050786291415,ns,False
gpt4o,typo_bias,0.92,0.92,0.0,1.0,1.0,1.0,ns,False
gpt4o,geographical_bias,0.92,0.91,-1.1,0.7388826803635273,0.8022881040498031,0.7388826803635273,ns,False
claude-3-5-sonnet,grammatical_role,0.939,0.924,-1.6,0.6547208460185769,0.7347675380270102,0.6547208460185769,ns,False
claude-3-5-sonnet,temporal_bias,0.9,0.94,4.4,0.15729920705028502,0.29956696298984753,0.15729920705028502,ns,False
claude-3-5-sonnet,length_bias,0.91,0.94,3.3,0.31731050786291415,0.4233091813305673,0.31731050786291415,ns,False
claude-3-5-sonnet,sentiment,0.91,0.9,-1.1,0.7962534147376392,0.8117668570523625,0.7962534147376392,ns,False
claude-3-5-sonnet,dialectal,0.89,0.83,-6.7,0.033894853524689246,0.22337017098019374,0.033894853524689246,*,True
claude-3-5-sonnet,compound_word,0.937,0.947,1.1,0.6547208460185769,0.7591800207291919,0.6547208460185769,ns,False
claude-3-5-sonnet,punctuation,0.92,0.93,1.1,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
claude-3-5-sonnet,negation,0.896,0.76,-15.2,0.0016162222150599857,0.013200482889742907,0.0016162222150599857,**,True
claude-3-5-sonnet,coordinating_conjunction,0.95,0.94,-1.1,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
claude-3-5-sonnet,derivation,0.908,0.954,5.1,0.10247043485974941,0.23411296962034356,0.10247043485974941,ns,False
claude-3-5-sonnet,capitalization,0.909,0.96,5.6,0.05878172135535886,0.15325483693812983,0.05878172135535886,.,False
claude-3-5-sonnet,active_to_passive,0.9,0.88,-2.2,0.5270892568655381,0.6537209762319763,0.5270892568655381,ns,False
claude-3-5-sonnet,casual,0.94,0.95,1.1,0.7054569861112734,0.7593829555995891,0.7054569861112734,ns,False
claude-3-5-sonnet,concept_replacement,0.94,0.94,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,discourse,0.828,0.848,2.4,0.5637028616507731,0.7015651906360449,0.5637028616507731,ns,False
claude-3-5-sonnet,typo_bias,0.91,0.95,4.4,0.10247043485974941,0.27002338044753693,0.10247043485974941,ns,False
claude-3-5-sonnet,geographical_bias,0.9,0.92,2.2,0.47950012218695337,0.6238051729620078,0.47950012218695337,ns,False
llama,grammatical_role,0.939,0.955,1.7,0.5637028616507731,0.7031537278408568,0.5637028616507731,ns,False
llama,temporal_bias,0.95,0.94,-1.1,0.31731050786291415,0.7593829555995891,0.31731050786291415,ns,False
llama,length_bias,0.96,0.96,0.0,1.0,1.0,1.0,ns,False
llama,sentiment,0.95,0.89,-6.3,0.13361440253771614,0.11938891597800798,0.11938891597800798,ns,False
llama,dialectal,0.92,0.93,1.1,0.6547208460185769,0.7909227822010564,0.6547208460185769,ns,False
llama,compound_word,0.968,0.958,-1.0,0.31731050786291415,0.7038954065878588,0.31731050786291415,ns,False
llama,punctuation,0.93,0.96,3.2,0.0832645166635504,0.35493405611632844,0.0832645166635504,.,False
llama,negation,0.927,0.833,-10.1,0.02013675155034634,0.04629076060281201,0.02013675155034634,*,True
llama,coordinating_conjunction,0.97,0.96,-1.0,0.5637028616507731,0.7039775890299466,0.5637028616507731,ns,False
llama,derivation,0.977,0.954,-2.4,0.15729920705028502,0.4100555269880384,0.15729920705028502,ns,False
llama,capitalization,0.96,0.97,1.0,0.5637028616507731,0.7039618511920571,0.5637028616507731,ns,False
llama,active_to_passive,0.95,0.94,-1.1,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
llama,casual,0.97,0.93,-4.1,0.10247043485974941,0.19660432660941196,0.10247043485974941,ns,False
llama,concept_replacement,0.96,0.96,0.0,1.0,1.0,1.0,ns,False
llama,discourse,0.909,0.919,1.1,0.5637028616507731,0.8022218816712998,0.5637028616507731,ns,False
llama,typo_bias,0.95,0.94,-1.1,0.5637028616507731,0.7593829555995891,0.5637028616507731,ns,False
llama,geographical_bias,0.9,0.91,1.1,0.7054569861112734,0.8117668570523625,0.7054569861112734,ns,False
