task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_clusters,modified_clusters
coref,gpt2,active_to_passive_100,James Cameron is more successful than Michael Bay because his movies sell more worldwide.,More success is attributed to James Cameron than to Michael Bay because more worldwide sales are generated by his movies.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,41,0,0
coref,gpt2,active_to_passive_100,The program could successfully parse the file because it was programmed well.,The file could be successfully parsed by the program because it was programmed well.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,42,0,0
coref,gpt2,active_to_passive_100,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The price of the tickets to the dance for the students was increased by the committee, but the decision was later changed by them.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,43,0,0
coref,gpt2,active_to_passive_100,The keys typed the words because they were meant to be typed on.,The words were typed by the keys because they were meant to be typed on.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,55,0,0
coref,gpt2,active_to_passive_100,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Noelia is to be killed by Janis, but it is not known if this can be gone along with by her.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,56,0,0
coref,gpt2,active_to_passive_100,"Eclipso then attempts to kill Mehdi, but finds that he is too strong.","An attempt is then made by Eclipso to kill Mehdi, but it is found that he is too strong.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,58,1,1
coref,gpt2,active_to_passive_100,The chimpanzee could not use Linux because it was an animal.,Linux could not be used by the chimpanzee because it was an animal.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,59,0,0
coref,gpt2,active_to_passive_100,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Jennifer is finally agreed by Emma to be put ashore, but only after sleeping pills have been given to her by Emma.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,63,0,0
coref,gpt2,active_to_passive_100,Lily gave Amber a hug because she was sorry.,Amber was given a hug by Lily because she was sorry.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,69,0,0
coref,gpt2,active_to_passive_100,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,"Nige was snuck outside by Warren, and it was said that if he ever saw him again, he would be killed.",0,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,75,0,1
coref,gpt2,active_to_passive_100,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.,"Sometimes, videos for Kev Jumbo are guest-starred in by Ryan Higa because he wants his friend's videos to succeed as well.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,76,0,0
coref,gpt2,active_to_passive_100,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,"Prisoners are interrogated by The Punishers and, when finished, are executed via an electric chair-like molecular disintegrator by them.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,78,1,1
coref,gpt2,active_to_passive_100,The blimp hit the tree because it was in the way.,The tree was hit by the blimp because it was in the way.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,80,1,1
coref,gpt2,active_to_passive_100,"Corday fatally stabbed Maya, though she did not attempt to flee.","Maya was fatally stabbed by Corday, though an attempt to flee was not made by her.",0,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,82,0,1
coref,gpt2,active_to_passive_100,The chef held the waiter so that he would not flee.,The waiter was held by the chef so that he would not flee.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,84,1,1
coref,gpt2,active_to_passive_100,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When it is realized by Saul where Javadi is going, Carrie and Quinn are immediately sent there by him to intercept Javadi.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,90,0,0
coref,gpt2,active_to_passive_100,John attacked Tim because he was a communist.,Tim was attacked by John because he was a communist.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,92,1,1
coref,gpt2,active_to_passive_100,Bob sued Bill because he wanted more money.,Bill was sued by Bob because he wanted more money.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,93,0,0
coref,gpt2,capitalization_100,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of FRAUD which led to the staging of a new election for governor.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,0,0,0
coref,gpt2,capitalization_100,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because THEY make bacon.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,1,0,0
coref,gpt2,capitalization_100,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like BLACK LABEL SOCIETY.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,6,0,0
coref,gpt2,capitalization_100,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis is ordered to KILL Noelia, but doesn't know if she can go along with this.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,7,0,0
coref,gpt2,capitalization_100,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the SPANIARD Salvador Cardona, but his second place in the stage gave him the lead in the general classification.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,8,0,0
coref,gpt2,capitalization_100,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Warren snuck Nige outside and said that if he ever saw him again HE would kill him.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,11,0,0
coref,gpt2,capitalization_100,Someone hit Billy in the face because he was being rude.,Someone hit BILLY in the face because he was being rude.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,17,1,1
coref,gpt2,capitalization_100,The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,The racquetball players were annoyed by the other students in the ACTIVITY center because they were using the racquetball courts to play badminton.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,23,1,1
coref,gpt2,capitalization_100,John fired Bill because he was incompetent.,John fired Bill because HE was incompetent.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,24,1,1
coref,gpt2,capitalization_100,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,27,0,0
coref,gpt2,capitalization_100,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,31,0,0
coref,gpt2,capitalization_100,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","the committee increased the price of the tickets to the dance for the students, but they changed their decision later.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,32,0,0
coref,gpt2,capitalization_100,The car passed the truck because it was going too slow.,the car passed the truck because it was going too slow.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,34,1,1
coref,gpt2,capitalization_100,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,the Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,37,1,1
coref,gpt2,capitalization_100,The man shot his friend and he died.,the man shot his friend and he died.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,38,1,1
coref,gpt2,capitalization_100,The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,the racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,40,1,1
coref,gpt2,capitalization_100,The bat hit the ball because it was designed to be hit.,the bat hit the ball because it was designed to be hit.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,41,1,1
coref,gpt2,capitalization_100,A chicken pecked at a bug and it ran away.,a chicken pecked at a bug and it ran away.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,46,1,1
coref,gpt2,capitalization_100,Bob asked Tom if he could lend some money.,Bob asked tom if he could lend some money.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,47,1,1
coref,gpt2,capitalization_100,The hyenas scavenged from the lions because they were desperate.,The hyEnAs scavenged from the lions because they were desperate.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,49,0,0
coref,gpt2,capitalization_100,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after hE hEaRs a poem that he had written.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,50,0,0
coref,gpt2,capitalization_100,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries running after hIm, but he trips and falls.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,53,0,0
coref,gpt2,capitalization_100,"Mary smiled at Susan, but she was not happy to see her.","Mary smiled at Susan, but sHe wAs nOt happy to see her.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,55,0,0
coref,gpt2,capitalization_100,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed nigaHiga in Youtube subscribers, but he wants to increase the gap even more.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,57,0,0
coref,gpt2,capitalization_100,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The cOmMiTtEe increased the price of the tickets to the dance for the students, but they changed their decision later.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,59,0,0
coref,gpt2,capitalization_100,The clown smiled at the child and he offered him a balloon.,The clown smiled at the child and hE offered him a balloon.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,60,0,0
coref,gpt2,capitalization_100,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in NiXoN accepting covert payments.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,68,1,1
coref,gpt2,capitalization_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but She shoots Larry dead.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,75,0,0
coref,gpt2,capitalization_100,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but His second place in the stage gave him the lead in the general classification.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,77,0,0
coref,gpt2,capitalization_100,"Emma finally agrees to put Jennifer ashore, but after she has given her sleeping pills.","Emma finally agrees to Put Jennifer ashore, but after she has given her sleeping pills.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,78,0,0
coref,gpt2,capitalization_100,"Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her clothes.","Ginette wants to hug Susanna, But she notices that the tobacco smell comes from her clothes.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,79,0,0
coref,gpt2,capitalization_100,"Esaias was not related to Willem van de Velde, but he was the cousin of Jan van de Velde.","Esaias was not related to Willem van de Velde, but He was the cousin of Jan van de Velde.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,80,0,0
coref,gpt2,capitalization_100,"George scored against Thomas in the shootout, so he won the game.","George scored against Thomas in the shootout, so He won the game.",0,0,True,True,both_correct,,,,,capitalization_predictions.csv,85,0,0
coref,gpt2,capitalization_100,A chicken pecked at a bug and it ate it.,A Chicken pecked at a bug and it ate it.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,86,0,0
coref,gpt2,capitalization_100,The keys typed the words because they were meant to be typed on.,The keys Typed the words because they were meant to be typed on.,0,0,True,True,both_correct,,,,,capitalization_predictions.csv,87,0,0
coref,gpt2,capitalization_100,The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,The racquetball Players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,1,1,True,True,both_correct,,,,,capitalization_predictions.csv,97,1,1
coref,gpt2,casual_100,The birds ate the seeds because they were tasty.,The birds gobbled up the seeds'cause they were yummy.,1,1,True,True,both_correct,,,,,casual_predictions.csv,1,1,1
coref,gpt2,casual_100,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee jacked up the dance ticket prices for the students, but then they backtracked on that call.",0,0,True,True,both_correct,,,,,casual_predictions.csv,3,0,0
coref,gpt2,casual_100,"The team shredded the report, so that it could rewrite a new one.",The team ripped up the report so it could start fresh on a new one.,0,0,True,True,both_correct,,,,,casual_predictions.csv,7,0,0
coref,gpt2,casual_100,The employer talked to the employee about firing him.,The boss had a chat with the worker about letting him go.,1,1,True,True,both_correct,,,,,casual_predictions.csv,8,1,1
coref,gpt2,casual_100,"Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead.","Rick Perry's beating Mitt Romney in the polls, but he's sure he'll stay in front.",0,0,True,True,both_correct,,,,,casual_predictions.csv,10,0,0
coref,gpt2,casual_100,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,"Bonnie's still kinda freaked about getting jumped by Ashley, but she's super thankful to Stefan for saving her life.",0,0,True,True,both_correct,,,,,casual_predictions.csv,11,0,0
coref,gpt2,casual_100,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad got beat by Estelito Mendoza, but then he called out fraud and that's why they had to do the whole governor election over again.",0,0,True,True,both_correct,,,,,casual_predictions.csv,13,0,0
coref,gpt2,casual_100,The man shot his friend and he died.,The guy shot his buddy and he kicked the bucket.,1,1,True,True,both_correct,,,,,casual_predictions.csv,14,1,1
coref,gpt2,casual_100,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,Mike Phelps got a fine from Judge Louis'cause he got busted with illegal stuff.,0,0,True,True,both_correct,,,,,casual_predictions.csv,15,0,0
coref,gpt2,casual_100,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,"Narendran's looking to hook Ramu up with Leela, but she's totally put off by his lack of guts.",0,0,True,True,both_correct,,,,,casual_predictions.csv,18,0,0
coref,gpt2,casual_100,"At first, Emma has a hard time accepting Maria as the not-so-dead Francesca, but she comes around eventually.","At first, Emma can't really wrap her head around Maria being the not-so-dead Francesca, but she gets the hang of it after a bit.",1,1,True,True,both_correct,,,,,casual_predictions.csv,19,1,1
coref,gpt2,casual_100,The paintball player was mad at the referee because he was called out but shouldn't.,The paintball dude was ticked off at the ref'cause he got called out when he totally shouldn't have.,0,0,True,True,both_correct,,,,,casual_predictions.csv,22,0,0
coref,gpt2,casual_100,Pigs are better than sheep because they make bacon.,Pigs beat sheep'cause they make bacon.,0,0,True,True,both_correct,,,,,casual_predictions.csv,24,0,0
coref,gpt2,casual_100,"Martin found Charles common and repulsive, but since he advertised himself as the owner of a palatial estate, he agreed to marry him.","Martin thought Charles was just average and kinda gross, but since he bragged about owning a huge fancy place, he said yes to marrying him.",0,0,True,True,both_correct,,,,,casual_predictions.csv,26,0,0
coref,gpt2,casual_100,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile, Brumfield had to bail out and Lt. Col. Alex Preece took over,'cause an old football injury meant he had to jet off to Australia in mid-November.",1,1,True,True,both_correct,,,,,casual_predictions.csv,30,1,1
coref,gpt2,casual_100,"Janet is in love with Wanda, but her father insists on her marrying a French lord.","Janet's totally into Wanda, but her dad's all about her tying the knot with some French lord.",0,0,True,True,both_correct,,,,,casual_predictions.csv,34,0,0
coref,gpt2,casual_100,"George scored against Thomas in the shootout, so he won the game.","George nailed it against Thomas in the shootout, and that's how he snagged the win.",0,0,True,True,both_correct,,,,,casual_predictions.csv,35,0,0
coref,gpt2,casual_100,Lily gave Amber a hug because she was sorry.,Lily hugged Amber cuz she felt bad.,0,0,True,True,both_correct,,,,,casual_predictions.csv,39,0,0
coref,gpt2,casual_100,Google Plus is expected to be a replacement for Facebook but it still does not have enough active users.,"People thought Google Plus would take over Facebook, but it's still kinda dead with not enough folks using it.",0,0,True,True,both_correct,,,,,casual_predictions.csv,42,0,0
coref,gpt2,casual_100,"Jason built Rocky a robot, and he gave it to him.","Jason whipped up a robot for Rocky, and he handed it over to him.",0,0,True,True,both_correct,,,,,casual_predictions.csv,47,0,0
coref,gpt2,casual_100,The blimp hit the tree because it was in the way.,The blimp smacked into the tree'cause it was in the way.,1,1,True,True,both_correct,,,,,casual_predictions.csv,52,1,1
coref,gpt2,casual_100,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,"Warren sneaked Nige out and was like, if he ever spots him again, he's gonna knock him off.",0,0,True,True,both_correct,,,,,casual_predictions.csv,53,0,0
coref,gpt2,casual_100,The campers turned on their flashlights because it was dark without them.,The campers flicked on their flashlights'cause it was too dark without'em.,1,1,True,True,both_correct,,,,,casual_predictions.csv,58,1,1
coref,gpt2,casual_100,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji was gonna come hang out with Khalil, but he didn't show up.",0,0,True,True,both_correct,,,,,casual_predictions.csv,60,0,0
coref,gpt2,casual_100,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,The MPs tossed the new soldiers into the brig'cause they were making a ruckus in the town next door.,1,1,True,True,both_correct,,,,,casual_predictions.csv,61,1,1
coref,gpt2,casual_100,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna gives it another shot to crash with Karla, but she just can't shake Vronsky from her mind.",0,0,True,True,both_correct,,,,,casual_predictions.csv,65,0,0
coref,gpt2,casual_100,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Krishna was cool with it and let Rukmi go, but not without shaving his head first to show he got beat.",1,1,True,True,both_correct,,,,,casual_predictions.csv,66,1,1
coref,gpt2,casual_100,John visited Luke in the hospital because he lived close by.,John swung by to see Luke at the hospital since he lived nearby.,0,0,True,True,both_correct,,,,,casual_predictions.csv,67,0,0
coref,gpt2,casual_100,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope's pretty sure Ruth's up to something'cause she thought Ms Lingard would come save her kid and spill the beans.,0,0,True,True,both_correct,,,,,casual_predictions.csv,69,0,0
coref,gpt2,casual_100,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti's not sure about teaming up with Davis, but Wilson talks him into it, saying it could swing things their way.",0,0,True,True,both_correct,,,,,casual_predictions.csv,72,0,0
coref,gpt2,casual_100,The program could successfully parse the file because it was programmed well.,The app could totally handle the file'cause it was coded right.,0,0,True,True,both_correct,,,,,casual_predictions.csv,74,0,0
coref,gpt2,casual_100,Hkkinen tried to attack Senna but he ran into the back of him.,Hkkinen tried to go for Senna but he ended up smacking into the back of him.,1,1,True,True,both_correct,,,,,casual_predictions.csv,75,1,1
coref,gpt2,casual_100,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,"The Punishers grill prisoners and once they're done, they zap them with something like an electric chair that disintegrates molecules.",1,1,True,True,both_correct,,,,,casual_predictions.csv,77,1,1
coref,gpt2,casual_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally popped off a shot that hurt Barbara, but then she blasted Larry and he's gone.",0,0,True,True,both_correct,,,,,casual_predictions.csv,78,0,0
coref,gpt2,casual_100,Parents care for their children considerably since they are their pride and joy.,Parents really look after their kids because they're their whole world.,1,1,True,True,both_correct,,,,,casual_predictions.csv,81,1,1
coref,gpt2,casual_100,John called Bill because he was a good listener.,John rang up Bill since he's always up for listening.,1,1,True,True,both_correct,,,,,casual_predictions.csv,86,1,1
coref,gpt2,casual_100,Joe raced against Steven because he thought it would be easy.,Joe went up against Steven cuz he figured it'd be a piece of cake.,0,0,True,True,both_correct,,,,,casual_predictions.csv,88,0,0
coref,gpt2,casual_100,"Paul said Rodman was selfish about rebounding, but he deemed him a hard worker and coachable.","Paul was like,'Rodman's hogging all the rebounds,' but still thinks he's a real grinder and listens to the coach.",1,1,True,True,both_correct,,,,,casual_predictions.csv,91,1,1
coref,gpt2,casual_100,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,The drug gang gets the locals to work their fields'cause they need cheap workers to make more money.,0,0,True,True,both_correct,,,,,casual_predictions.csv,94,0,0
coref,gpt2,casual_100,"Josie did not like Sarah, but she did not tell her.","Josie wasn't into Sarah, but she kept it to herself.",0,0,True,True,both_correct,,,,,casual_predictions.csv,96,0,0
coref,gpt2,casual_100,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan got snagged by the Spaniard Salvador Cardona, but snagging second in the stage snagged him the top spot in the overall rankings.",0,0,True,True,both_correct,,,,,casual_predictions.csv,99,0,0
coref,gpt2,compound_word_100,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own step-down.,0,0,True,True,both_correct,,,,,compound_word_predictions.csv,1,0,0
coref,gpt2,compound_word_100,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society's style.,0,0,True,True,both_correct,,,,,compound_word_predictions.csv,2,0,0
coref,gpt2,compound_word_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a gunshot that injures Barbara, but she shoots Larry dead.",0,0,True,True,both_correct,,,,,compound_word_predictions.csv,4,0,0
coref,gpt2,compound_word_100,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth-building.",1,1,True,True,both_correct,,,,,compound_word_predictions.csv,5,1,1
coref,gpt2,compound_word_100,The drug cartel enlists the help of the local population to work their fields since they need cheap labor to maximize their profits.,The drug cartel enlists the help of the local population to work their agri-fields since they need cheap labor to maximize their profits.,0,0,True,True,both_correct,,,,,compound_word_predictions.csv,10,0,0
coref,gpt2,compound_word_100,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance-scale.",0,0,True,True,both_correct,,,,,compound_word_predictions.csv,11,0,0
coref,gpt2,compound_word_100,Hkkinen tried to attack Senna but he ran into the back of him.,Hkkinen tried to launch an attack on Senna but he crashed into the backside of him.,1,1,True,True,both_correct,,,,,compound_word_predictions.csv,12,1,1
coref,gpt2,compound_word_100,John called Bill because he was a good listener.,John called Bill because he was a good listener and problem-solver.,1,1,True,True,both_correct,,,,,compound_word_predictions.csv,13,1,1
coref,gpt2,compound_word_100,"Some fan girls created a rap about Windows phones, but they did not become more popular.","Some fan girls created a rap about Windows smartphones, but they did not become more popular.",1,1,True,True,both_correct,,,,,compound_word_predictions.csv,15,1,1
coref,gpt2,compound_word_100,The wolves chased the deer because they were prey.,The wolves chased the deer because they were easy prey.,1,1,True,True,both_correct,,,,,compound_word_predictions.csv,16,1,1
coref,gpt2,compound_word_100,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to cohabitate with Karla, but she can not get Vronsky out of her head.",0,0,True,True,both_correct,,,,,compound_word_predictions.csv,17,0,0
coref,gpt2,compound_word_100,The blimp hit the tree because it was in the way.,The airship-blimp hit the tree because it was in the way.,1,1,True,True,both_correct,,,,,compound_word_predictions.csv,18,1,1
coref,gpt2,compound_word_100,Fleece feels better than cotton since they are of worse quality.,Fleece feels better than cotton since they are of substandard quality.,1,1,True,True,both_correct,,,,,compound_word_predictions.csv,22,1,1
