task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_label,modified_label
sa,bert,active_to_passive_100,the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts.,The overall effect is less like a children's movie than it is like a recruitment film for future Hollywood sellouts.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,42,0,0
sa,bert,active_to_passive_100,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","A piece of filth that is misogynistic and attempts to be passed off as hip, young adult entertainment.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,43,0,0
sa,bert,active_to_passive_100,"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.","The acting, costumes, music, cinematography, and sound were all found to be astounding, given the production's austere locales.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,44,1,1
sa,bert,active_to_passive_100,the film tries too hard to be funny and tries too hard to be hip.,Too hard is tried by the film to be funny and too hard is tried to be hip.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,45,0,0
sa,bert,active_to_passive_100,"the special effects and many scenes of weightlessness look as good or better than in the original, while the oscar-winning sound and james horner's rousing score make good use of the hefty audio system.","The special effects and many scenes of weightlessness are looked upon as good or better than those in the original, while the Oscar-winning sound and James Horner's rousing score are made to take good advantage of the hefty audio system.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,46,1,1
sa,bert,active_to_passive_100,like you couldn't smell this turkey rotting from miles away.,It's like this turkey couldn't be smelled rotting from miles away.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,47,0,0
sa,bert,active_to_passive_100,detox is ultimately a pointless endeavor.,Detox is ultimately considered a pointless endeavor.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,49,0,0
sa,bert,active_to_passive_100,"the result is a gaudy bag of stale candy, something from a halloween that died.","A gaudy bag of stale candy is the result, something from a Halloween that died.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,51,0,0
sa,bert,active_to_passive_100,you wonder why enough wasn't just a music video rather than a full-length movie.,It is wondered why just a music video was not enough rather than a full-length movie.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,53,0,0
sa,bert,active_to_passive_100,turns potentially forgettable formula into something strangely diverting.,Potentially forgettable formula is turned into something strangely diverting.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,54,1,1
sa,bert,active_to_passive_100,does little more than play an innocuous game of fill-in - the-blanks with a tragic past.,Little more is done than playing an innocuous game of fill-in-the-blanks with a tragic past.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,55,0,0
sa,bert,active_to_passive_100,a film about a young man finding god that is accessible and touching to the marrow.,A film about a young man being found by God that is made accessible and touching to the marrow.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,56,1,1
sa,bert,active_to_passive_100,"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","Mattei is seen as tiresomely grave and long-winded, as if profundity were indicated by circularity itself.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,57,0,0
sa,bert,active_to_passive_100,huston nails both the glad-handing and the choking sense of hollow despair.,Both the glad-handing and the choking sense of hollow despair are nailed by Huston.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,58,1,1
sa,bert,active_to_passive_100,"it will grip even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way.","Even viewers who are not interested in rap will be gripped, as the heart of American society is cut to in an unnerving way.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,60,1,1
sa,bert,active_to_passive_100,"some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.","Some of their jokes are found to work, but most are failed miserably and in the end, pumpkin is considered far more offensive than it is found to be funny.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,61,0,0
sa,bert,active_to_passive_100,don't be fooled by the impressive cast list - eye see you is pure junk.,Don't be fooled by the impressive cast list - Eye See You is considered pure junk.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,62,0,0
sa,bert,active_to_passive_100,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,"The hopes and dreams of little boys on baseball fields are captured so perfectly by few films, as well as by the grown men who sit in the stands.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,63,1,1
sa,bert,active_to_passive_100,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,"The corpus collosum -- while undeniably interesting -- had its welcome worn out well before the end credits rolled, about 45 minutes in.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,64,0,0
sa,bert,active_to_passive_100,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting.","What is 100% missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting to be seen.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,65,0,0
sa,bert,active_to_passive_100,a good piece of work more often than not.,A piece of work is considered good more often than not.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,67,1,1
sa,bert,active_to_passive_100,"like mike is a winner for kids, and no doubt a winner for lil bow wow, who can now add movies to the list of things he does well.","Like Mike is considered a winner for kids, and no doubt a winner for Lil Bow Wow, who can now have movies added to the list of things he does well.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,68,1,1
sa,bert,active_to_passive_100,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.","Nothing outstanding is presented by this film, but it is considered good enough and is likely to be appreciated most by sailors and folks who are knowledgeable about submarines.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,69,1,1
sa,bert,active_to_passive_100,"the lion king was a roaring success when it was released eight years ago, but on imax it seems better, not just bigger.","The Lion King had been met with roaring success when it was released eight years ago, but on IMAX, it is perceived as better, not just bigger.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,71,1,1
sa,bert,active_to_passive_100,it's a beautiful madness.,A beautiful madness is being experienced.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,72,1,1
sa,bert,active_to_passive_100,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.","A broad, melodramatic estrogen opera that is considered pretty toxic in its own right.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,73,0,0
sa,bert,active_to_passive_100,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,It appears that the entire budget was blown by Taylor on soundtrack rights and nothing was left over for jokes.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,76,0,0
sa,bert,active_to_passive_100,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.","Whether the film by writer-director Anne Fontaine is seen as a ghost story, an account of a nervous breakdown, a trip down memory lane, all three, or none of the above, it is considered as seductive as it is haunting.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,77,1,1
sa,bert,active_to_passive_100,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons.,It deserves to be seen by anyone with even a passing interest in the events that are shaping the world beyond their own horizons.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,78,1,1
sa,bert,active_to_passive_100,"at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential.","At times, the suspense can be felt as palpable, but by the end, it is sensed that the crux of the mystery is hinged on a technicality that strains credulity and the viewer is left haunted by the waste of potential.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,79,0,0
sa,bert,active_to_passive_100,"instead of a hyperbolic beat-charged urban western, it's an unpretentious, sociologically pointed slice of life.","Instead of being a hyperbolic beat-charged urban western, it is seen as an unpretentious, sociologically pointed slice of life.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,81,1,1
sa,bert,active_to_passive_100,"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a medal.","For this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- a medal is deserved by Chelsea Walls.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,82,1,1
sa,bert,active_to_passive_100,a marvel like none you've seen.,A marvel like none that has been seen by you.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,83,1,1
sa,bert,active_to_passive_100,"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.","The screen is commanded by Harris, with his frailty being used to suggest the ravages of a life of corruption and ruthlessness.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,84,1,1
sa,bert,active_to_passive_100,"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.","Moody, heartbreaking, and filmed in a natural, unforced style, the characters are made to seem entirely convincing even when the script is not.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,85,1,1
sa,bert,active_to_passive_100,"this is a good script, good dialogue, funny even for adults.","This script is considered good, the dialogue is seen as good, and it is found funny even by adults.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,86,1,1
sa,bert,active_to_passive_100,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","This re-do is seen as so dumb and is considered so exploitative in its violence that, ironically, it becomes everything against which the rather clumsy original was railing.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,87,0,0
sa,bert,active_to_passive_100,like being trapped at a perpetual frat party... how can something so gross be so boring?,Being trapped at a perpetual frat party is like... how can something so gross be made so boring?,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,88,0,0
sa,bert,active_to_passive_100,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.","A densely constructed, highly referential film, and an audacious return to form that can be comfortably seated among Jean-Luc Godard's finest works.",1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,89,1,1
sa,bert,active_to_passive_100,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.","There is only so much that can be done by anyone with a florid, overplotted, Anne Rice rock'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,91,0,0
sa,bert,active_to_passive_100,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.","There are simply too many ideas being floated around -- part farce, part sliding doors, part pop video -- and yet they are not being exploited.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,92,0,0
sa,bert,active_to_passive_100,the film makes a fatal mistake: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,A fatal mistake is made by the film: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,93,0,0
sa,bert,active_to_passive_100,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,Stereotypes are used in a delightful blend of sweet romance and lovingly dished out humor in My Big Fat Greek Wedding.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,94,1,1
sa,bert,active_to_passive_100,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.","It is felt like an after-school special that has been gussied up with some fancy special effects, and having its rote plot points connected is about as exciting as being gazed at an egg timer for 93 minutes.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,95,0,0
sa,bert,active_to_passive_100,there's a wickedly subversive bent to the best parts of birthday girl.,A wickedly subversive bent is present in the best parts of Birthday Girl.,1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,96,1,1
sa,bert,active_to_passive_100,` de niro... is a veritable source of sincere passion that this hollywood contrivance orbits around. ',`De Niro... is seen as a veritable source of sincere passion around which this Hollywood contrivance orbits.',1,1,True,True,both_correct,,,,,active_to_passive_comparison.csv,98,1,1
sa,bert,active_to_passive_100,"in its best moments, resembles a bad high school production of grease, without benefit of song.","In its best moments, it is resembled by a bad high school production of Grease, without the benefit of song.",0,0,True,True,both_correct,,,,,active_to_passive_comparison.csv,99,0,0
sa,bert,capitalization_100,this movie is maddening.,THIS movie is maddening.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,0,0,0
sa,bert,capitalization_100,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so EXPLOITATIVE in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,1,0,0
sa,bert,capitalization_100,no aspirations to social import inform the movie version.,NO aspirations to social import inform the movie version.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,2,0,0
sa,bert,capitalization_100,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,TAYLOR appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,4,0,0
sa,bert,capitalization_100,just one bad idea after another.,JUST one bad idea after another.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,5,0,0
sa,bert,capitalization_100,too much of it feels unfocused and underdeveloped.,TOO much of it feels unfocused and underdeveloped.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,6,0,0
sa,bert,capitalization_100,indifferently implausible popcorn programmer of a movie.,INDIFFERENTLY implausible popcorn programmer of a movie.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,7,0,0
sa,bert,capitalization_100,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggering camaraderie, but more often just feels GENERIC, derivative and done to death.",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,8,0,0
sa,bert,capitalization_100,a valueless kiddie paean to pro basketball underwritten by the nba.,a valueless kiddie paean to pro basketball underwritten by the NBA.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,9,0,0
sa,bert,capitalization_100,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of LAZINESS to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,10,0,0
sa,bert,capitalization_100,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.","WITHOUT non-stop techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m is just another winter sleepers.",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,11,0,0
sa,bert,capitalization_100,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?","SLAPSTICK buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,12,0,0
sa,bert,capitalization_100,the cold turkey would've been a far better title.,THE cold turkey would've been a far better title.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,13,0,0
sa,bert,capitalization_100,the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of ZIGZAG is not sufficiently developed to support a film constructed around him.,0,0,True,True,both_correct,,,,,capitalization_comparison.csv,14,0,0
sa,bert,capitalization_100,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action PINOCCHIO he directed, cowrote and starred in borders on the grotesque.",0,0,True,True,both_correct,,,,,capitalization_comparison.csv,15,0,0
sa,bert,capitalization_100,it's a stunning lyrical work of considerable force and truth.,it's a STUNNING lyrical work of considerable force and truth.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,16,1,1
sa,bert,capitalization_100,the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,THE primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,17,1,1
sa,bert,capitalization_100,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.","whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or NONE of the above, it is as seductive as it is haunting.",1,1,True,True,both_correct,,,,,capitalization_comparison.csv,18,1,1
sa,bert,capitalization_100,... a magnificent drama well worth tracking down.,... a MAGNIFICENT drama well worth tracking down.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,19,1,1
sa,bert,capitalization_100,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.","what really makes it SPECIAL is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.",1,1,True,True,both_correct,,,,,capitalization_comparison.csv,20,1,1
sa,bert,capitalization_100,people cinema at its finest.,PEOPLE cinema at its finest.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,22,1,1
sa,bert,capitalization_100,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,my big fat greek wedding uses stereotypes in a delightful blend of sweet ROMANCE and lovingly dished out humor.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,23,1,1
sa,bert,capitalization_100,enormously entertaining for moviegoers of any age.,ENORMOUSLY entertaining for moviegoers of any age.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,25,1,1
sa,bert,capitalization_100,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,AN intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,26,1,1
sa,bert,capitalization_100,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.","what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of HOPE in the form of collective action.",1,1,True,True,both_correct,,,,,capitalization_comparison.csv,27,1,1
sa,bert,capitalization_100,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.","there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a SUBMARINE.",1,1,True,True,both_correct,,,,,capitalization_comparison.csv,28,1,1
sa,bert,capitalization_100,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,it's an offbeat treat that pokes fun at the DEMOCRATIC exercise while also examining its significance for those who take part.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,29,1,1
sa,bert,capitalization_100,what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,what distinguishes TIME of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,1,True,True,both_correct,,,,,capitalization_comparison.csv,30,1,1
