task,model,modification,rows,effective_rows,metric,metric2
sa,gpt-5-standard-context-aware,geographical_bias_100,100,100,0.92,
sa,gpt-5-standard-context-aware,grammatical_role_100,66,66,0.9393939393939394,
sa,gpt-5-standard-context-aware,length_bias_100,100,100,0.95,
sa,gpt-5-standard-context-aware,negation_100,96,96,0.8541666666666666,
sa,gpt-5-standard-context-aware,punctuation_100,100,100,0.95,
sa,gpt-5-standard-context-aware,sentiment_100,100,100,0.92,
sa,gpt-5-standard-context-aware,temporal_bias_100,100,100,0.97,
sa,gpt-5-standard-context-aware,typo_bias_100,100,100,0.95,
sa,gpt4o,active_to_passive_100,100,100,0.89,
sa,gpt4o,capitalization_100,99,99,0.9191919191919192,
sa,gpt4o,casual_100,100,100,0.93,
sa,gpt4o,compound_word_100,95,95,0.9157894736842105,
sa,gpt4o,concept_replacement_100,100,100,0.88,
sa,gpt4o,coordinating_conjunction_100,100,100,0.93,
sa,gpt4o,derivation_100,87,87,0.9080459770114943,
sa,gpt4o,dialectal_100,102,102,0.8823529411764706,
sa,gpt4o,discourse_100,99,99,0.8686868686868687,
sa,gpt4o,geographical_bias_100,100,100,0.91,
sa,gpt4o,grammatical_role_100,66,66,0.9242424242424242,
sa,gpt4o,length_bias_100,100,100,0.93,
sa,gpt4o,negation_100,96,96,0.75,
sa,gpt4o,punctuation_100,100,100,0.91,
sa,gpt4o,sentiment_100,100,100,0.91,
sa,gpt4o,sst2,872,872,,
sa,gpt4o,sst2_capitalization,100,100,0.8,
sa,gpt4o,sst2_punctuation,100,100,0.9,
sa,gpt4o,sst2_typo_bias,100,100,0.84,
sa,gpt4o,temporal_bias_100,100,100,0.9,
sa,gpt4o,typo_bias_100,100,100,0.92,
sa,unknown,unknown,18,18,,
sa,llama,active_to_passive_100,100,100,0.94,
sa,llama,capitalization_100,99,99,0.9696969696969697,
sa,llama,casual_100,100,100,0.93,
sa,llama,compound_word_100,95,95,0.9578947368421052,
sa,llama,concept_replacement_100,100,100,0.96,
sa,llama,coordinating_conjunction_100,100,100,0.96,
sa,llama,derivation_100,87,87,0.9540229885057471,
sa,llama,dialectal_100,102,102,0.9803921568627451,
sa,llama,discourse_100,99,99,0.9191919191919192,
sa,llama,geographical_bias_100,100,100,0.91,
sa,llama,grammatical_role_100,66,66,0.9545454545454546,
sa,llama,length_bias_100,100,100,0.96,
sa,llama,negation_100,96,96,0.8333333333333334,
sa,llama,punctuation_100,100,100,0.96,
sa,llama,sentiment_100,100,100,0.89,
sa,llama,sst2,872,872,,
sa,llama,temporal_bias_100,100,100,0.94,
sa,llama,typo_bias_100,100,100,0.94,
sa,unknown,unknown,115,115,,
